nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
"Alejandro Gaitán Piña",20167844,7,AlejandropiO�a@viajesanma.ceele,Alejandropiña,t5v8cfm7G9IObk,"+56 9 9065 1717",322,71624,"Cena de Trabajo",536404,2025-02-14,-406000,2
"Eduardo Almaraz López",3269097,1,eduardo3912@tourket.com,eduardo7593,hgcbK8i0MGW,"+56 9 7073 6580",2278,62370,Aniversario,536410,2026-01-21,2597000,7
"Diego Espinosa Espinosa",9907928,2,diego3113@outluc.com,diego6689,xVDxrcH95nl3p,"+56 9 0420 5617",920,68538,"Cena de Trabajo",536411,2025-03-16,336000,3
"María Elena Sánchez Armijo",10667998,3,maelsOear@tourket.com,Maríaarmijo,g7pcs2tDgmA,"+56 2 8666 9108",2737,71738,"Salida con Amigos",536415,2025-05-05,2832000,8
"Mayte Sáenz Quiñónez",20690453,4,mayte1926@viajesanma.com,Maytequiñónez,mS7Kushl,"+56 2 2902 9975",7033,66157,"Salida con Amigos",536416,2025-03-26,114000,1
"Sr. Víctor Fajardo Romero",18763137,8,srvOAfaro@marmol.com,srvífaro,63ykvBTd,"+56 2 6746 0340",2540,70574,Vacaciones,536417,2026-09-09,1566000,9
"Sr. Víctor Fajardo Romero",18763137,8,srvOAfaro@marmol.ceele,srvífaro,63ykvBTd,"+56 2 6746 0340",2540,70574,Vacaciones,536418,2026-06-28,369000,9
"Sta. Ariadna Tapia Barreto",11476978,9,startaba@viajesanma.com,sta.4934,sbZrKqX3X3V3LRQ,"+56 2 5540 3356",1520,64660,"Salida con Familia",536419,2026-08-02,202000,2
"Sta. Ariadna Tapia Barreto",,9,startaba@viajesanma.com,sta.4934,,,1520,64660,"Salida con Familia",,,70000,2
"Diego Espinosa Espinosa",9907928,2,diego3113@outluc.ceele,diego6689,xVDxrcH95nl3p,"+56 9 0420 5617",920,63285,"Cena de Trabajo",536429,2025-03-16,153000,1
"Diego Espinosa Espinosa",9907928,2,diego3113@outluc.com,diego6689,xVDxrcH95nl3p,"+56 9 0420 5617",920,63285,"Cena de Trabajo",536430,2025-06-27,95000,1
"Vicente Gaitán Fajardo",,0,Vicentefajardo@outluc.com,,,"+56 2 4722 4397",,70427,"Cena de Trabajo",536431,2025-02-15,,8
"Sr. Ricardo Balderas Cano",13747117,5,Sr.cano@wass.com,Sr.cano,NNH621zmneRv,"+56 2 4572 8266",4690,68082,"Salida con Amigos",536432,2025-03-01,600000,5
"Sr. Ricardo Balderas Cano",13.747.117,5,Sr.cano@wass.com,Sr.cano,NNH621zmneRv,+56-2-4572-8266,4690,68082,"Salida con Amigos",536435,2025-03-02,800000,5
"Arturo Duarte Bonilla",15.808.833,9,ardubo@tourket.com,ardubo,goEFyFwpE7Iy,+56-2-2866-7678,8330,66706,"Cena de Trabajo",536442,2025-05-27,549000,9
"Arturo Duarte Bonilla",15.808.833,9,ardubo@tourket.ceele,ardubo,goEFyFwpE7Iy,"+56 2 2866 7678",8330,66706,"Cena de Trabajo",536450,2025-02-26,1548000,9
"Sra. Ernesto Quiñónez Abeyta",593812,0,srerquab@tourket.com,srerquab,72i5QnsXZ,"+56 9 0053 1866",3642,71293,Vacaciones,536456,2025-03-05,534000,3
"Sr. Catalina Ojeda Quesada",18216621,9,Sr.quesada@marmol.com,srcaojqu,dwm8xOmF,+56-9-3534-0959,931,65464,"Cena de Trabajo",536457,2025-01-05,2086000,7
"Agustín Balderas Deleón",3969579,0,agbade@tourket.com,agustín9752,J3t3nqsG8IzS1v,"+56 2 2995 4939",8745,72263,"Cena de Trabajo",536460,2025-03-14,340000,5
"César Centeno Iglesias",27072823,5,cOoceig@viajesanma.com,Césariglesias,6isrYLrKF5kQ,"+56 9 1725 0360",166,65859,"Cena de Trabajo",536461,2025-06-14,370000,10
"Clemente Barrios Mayorga",28429099,2,Clementemayorga@outluc.com,clemente4361,mr8AIW2XH,"+56 9 7279 0427",9761,65972,"Salida con Amigos",536462,2025-12-24,2376000,9
"Clemente Barrios Mayorga",28429099,2,Clementemayorga@outluc.com,clemente4361,mr8AIW2XH,"+56 9 7279 0427",9761,65972,"Salida con Amigos",536470,2026-03-29,639000,9
"Sr. José María Palomino Flórez",24006668,8,sr.1020@tourket.com,Sr.flórez,dDjWkY0bALQ,"+56 9 8117 4749",6454,64386,Aniversario,536474,2025-01-02,460000,4
"Sr. José María Palomino Flórez",24006668,8,sr.1020@tourket.com,Sr.flórez,dDjWkY0bALQ,"+56 9 8117 4749",6454,64386,Aniversario,536476,2025-01-25,1012000,4
"Sr. José María Palomino Flórez",24.006.668,8,sr.1020@tourket.com,Sr.flórez,dDjWkY0bALQ,"+56 9 8117 4749",6454,64386,Aniversario,536477,2025-06-03,472000,4
"Jorge Luis Campos Rodrígez",9506282,2,JorgerodrOAgez@edubus.cal,Jorgerodrígez,g0mucJtoY8wsA,"+56 9 8491 9137",4861,62470,Aniversario,536478,2025-03-07,75000,5
"Rocio Macías Tórrez",21763095,9,romatOI@marmol.ceele,rocio7442,bP37bhJIrNRMszX,"+56 9 2986 3860",9702,62035,Aniversario,536485,2025/05/30,-1719000,9
"Jesús Maldonado Osorio",8794717,3,jesOUs7266@outluc.com,jesús4510,O6wwP5D2x,"+56 2 2347 5488",2038,63894,Vacaciones,536492,2025-04-13,95000,1
"Pilar Melgar Araña",11421482,5,pilar6460@tourket.com,pimear,EXC7FFvDi0,"+56 9 8445 3089",3661,70661,"Salida con Amigos",536493,2026-07-03,1985000,5
"Javier Montalvo Cervantes",226232,0,javier2171@viajesanma.ceele,Javiercervantes,3sMLI1uaUaEjdP,"+56 2 1101 8712",7542,69257,Aniversario,536501,2025-12-25,1332000,4
"Hernán Ornelas Méndez",21083368,4,hernOen2484@wass.com,Hernánméndez,pUByqu3h,"+56 9 9269 7285",5195,64148,Vacaciones,536508,2025-06-12,2160000,9
"Hernán Ornelas Méndez",21083368,4,hernOen2484@wass.com,Hernánméndez,pUByqu3h,"+56 9 9269 7285",5195,64148,Vacaciones,536509,2025-08-23,1773000,9
"Hernán Ornelas Méndez",21083368,4,hernOen2484@wass.ceele,Hernánméndez,pUByqu3h,"+56 9 9269 7285",5195,64148,Vacaciones,536513,2025-12-08,-702000,9
,5015225,1,Rosariosauceda@@tourket.com,,3UfOERbFwkIUtQ,"+56 9 6697 4218",,,Vacaciones,536521,2025-01-08,1629000,
"Rosario Noriega Sauceda",5.015.225,1,Rosariosauceda@tourket.com,ronosa,3UfOERbFwkIUtQ,"+56 9 6697 4218",5968,63400,Vacaciones,536525,2026-03-19,594000,9
"Rosa Zarate Henríquez",544962,6,rozahe@wass.com,rozahe,384lq8JLpo,"+56 9 5575 2218",5239,70880,Aniversario,536526,2025-12-01,270000,1
"Sta. Joaquín Muñiz Peres",21346642,9,stjomupe@wass.com,sta.7409,asOv892FiMA,"+56 9 6595 9596",3384,65026,"Salida con Familia",536527,2026-02-25,196000,2
,21346642,9,stjomupe@wass.com,,,,3384,65026,,536528,2026-03-20,672000,2
"Sofia Arroyo Munguía",1530688,2,sofia1500@tourket.com,Sofiamunguía,M0tsoVN5J4dqlf5,"+56 2 1683 5803",7407,62535,"Salida con Amigos",536529,2025-02-08,746000,2
"Sta. Felipe Medrano Pérez",18369442,1,Sta.pOorez@wass.com,stfemepé,p0hkOYCp,"+56 9 6599 9310",529,68528,"Cena de Trabajo",536535,2026-01-17,588000,6
"Andrés Heredia Farías",1216311,8,andrOos2663@edubus.cal,anhefa,CSzKy7etW0S,"+56 9 0785 1443",4301,69010,"Salida con Familia",536540,2025/05/23,345000,5
"Andrés Heredia Farías",1.216.311,8,andrOos2663@edubus.ceele,anhefa,CSzKy7etW0S,"+56 9 0785 1443",4301,69010,"Salida con Familia",536541,2026-02-05,440000,5
"Andrés Heredia Farías",1216311,8,andrOos2663@edubus.cal,anhefa,CSzKy7etW0S,"+56 9 0785 1443",4301,69010,"Salida con Familia",536542,2026-04-14,495000,5
"Concepción Miranda Rivero",10804338,5,concepciOIn6445@wass.com,comiri,T8hNKcXvu5Q,"+56 2 7089 4905",136,64032,Vacaciones,536543,2025-02-12,68000,1
"Sta. Patricio Archuleta Vallejo",22018416,1,sta.8898@marmol.com,sta.4522,AN5qSXHVn,"+56 9 2395 7946",676,67777,"Salida con Familia",536544,2025-05-06,184000,2
"Sta. Patricio Archuleta Vallejo",22018416,1,sta.8898@marmol.com,sta.4522,AN5qSXHVn,"+56 9 2395 7946",676,67777,"Salida con Familia",536545,2026-08-25,154000,2
"Hugo Sosa Rael",19055940,8,hugo5745@wass.com,Hugorael,GcnGUz3WZ1I,"+56 2 1859 0070",7878,68820,"Cena de Trabajo",536546,2025-07-12,1310000,10
"Hugo Sosa Rael",19055940,8,hugo5745@wass.com,Hugorael,GcnGUz3WZ1I,"+56 2 1859 0070",7878,68820,"Cena de Trabajo",536547,2025-07-26,1740000,10
"Sr. Vicente Armendáriz Alva",5828697,4,Sr.alva@wass.ceele,Sr.alva,OPq5Z0oC,+56-2-5147-9399,6040,61940,Aniversario,536555,2025-02-21,4239000,9
"Sr. Vicente Armendáriz Alva",5828697,4,Sr.alva@wass.com,Sr.alva,OPq5Z0oC,"+56 2 5147 9399",6040,61940,Aniversario,536556,2025-02-18,1260000,9
"Sr. Vicente Armendáriz Alva",5828697,4,Sr.alva@wass.com,Sr.alva,OPq5Z0oC,"+56 2 5147 9399",6040,61940,Aniversario,536563,2025-03-17,2421000,9
"Sara Quiñones Huerta",6114691,1,sara8578@tourket.com,sara1722,u61QZJrt,"+56 9 1265 7493",2916,66946,"Salida con Amigos",536567,2025/03/23,1440000,10
"Sara Quiñones Huerta",6114691,1,sara8578@@tourket.com,sara1722,u61QZJrt,"+56 9 1265 7493",2916,66946,"Salida con Amigos",536568,2025/09/07,1020000,10
"Sara Quiñones Huerta",6114691,1,sara8578@tourket.com,sara1722,u61QZJrt,+56-9-1265-7493,2916,66946,"Salida con Amigos",536569,2025-09-17,890000,10
"Rubén Beltrán Cintrón",2.773.700,5,rubeci@marmol.ceele,rubeci,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",536570,2025-09-04,121000,1
"Rubén Beltrán Cintrón",2773700,5,rubeci@marmol.com,rubeci,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",536571,2025-10-04,166000,1
"Rubén Beltrán Cintrón",2773700,5,rubeci@marmol.com,rubeci,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",536578,2025-10-04,199000,1
"Claudio Saavedra Alba",9797214,1,claudio745@wass.com,clsaal,yYe1mGg6a11a,"+56 2 5238 6697",5485,64281,Vacaciones,536581,2025-04-28,92000,2
"Adriana Covarrubias Briseño",27.423.142,4,adcobr@marmol.com,adcobr,sR4Jl0EiAuLtsD,"+56 9 9590 8942",2050,65750,"Salida con Amigos",536582,2025-04-05,-60000,1
"Adriana Covarrubias Briseño",27423142,4,adcobr@marmol.com,adcobr,sR4Jl0EiAuLtsD,"+56 9 9590 8942",2050,65750,"Salida con Amigos",536583,2025-02-12,212000,1
"Adriana Covarrubias Briseño",27423142,4,adcobr@marmol.com,adcobr,sR4Jl0EiAuLtsD,"+56 9 9590 8942",2050,65750,"Salida con Amigos",536587,2025-04-21,157000,1
"Amalia Griego Olivárez",5860282,5,AmaliaolivOerez@viajesanma.com,amalia1580,dxvYf4IlHkya2,"+56 2 8253 8463",4005,67675,Aniversario,536588,2025-11-15,513000,9
"Amalia Griego Olivárez",5860282,5,AmaliaolivOerez@viajesanma.com,amalia1580,dxvYf4IlHkya2,"+56 2 8253 8463",4005,67675,Aniversario,536589,2026/08/29,1521000,9
"Amalia Griego Olivárez",5860282,,AmaliaolivOerez@viajesanma.com,amalia1580,dxvYf4IlHkya2,,,67675,Aniversario,536591,,783000,
"Horacio Mena Pelayo",20319615,6,homepe@viajesanma.com,Horaciopelayo,h2Mn9Fyqhz,"+56 2 6089 2994",8655,68938,"Salida con Familia",536595,2025-06-20,444000,4
"Horacio Mena Pelayo",20319615,6,homepe@@viajesanma.com,Horaciopelayo,h2Mn9Fyqhz,"+56 2 6089 2994",8655,68938,"Salida con Familia",536596,2025-02-14,140000,4
"Adriana Bétancourt Urbina",26.485.768,6,Adrianaurbina@edubus.cal,adriana1285,V5IR6n2WXpgdAGno,"+56 2 5919 5647",7183,63754,"Salida con Amigos",536597,2026-03-09,585000,5
"Adriana Bétancourt Urbina",26.485.768,6,Adrianaurbina@edubus.cal,adriana1285,V5IR6n2WXpgdAGno,+56-2-5919-5647,7183,63754,"Salida con Amigos",536598,2026-11-05,500000,5
"Mario Tejeda Mendoza",25643078,9,Mariomendoza@viajesanma.com,Mariomendoza,HUlB30vAT1CHJSs,"+56 2 9656 7762",3372,68791,"Cena de Trabajo",536606,2026-08-03,318000,2
"Mario Tejeda Mendoza",25643078,9,Mariomendoza@viajesanma.com,Mariomendoza,HUlB30vAT1CHJSs,"+56 2 9656 7762",3372,68791,"Cena de Trabajo",536611,2026-07-22,144000,2
"Tomás Delgadillo Jurado",29825520,0,todeju@viajesanma.com,todeju,m3bg0xxBCqyAB,"+56 2 7236 3863",5520,66291,Vacaciones,536615,2025-04-23,570000,6
"Tomás Delgadillo Jurado",29825520,0,todeju@viajesanma.com,todeju,m3bg0xxBCqyAB,"+56 2 7236 3863",5520,66291,Vacaciones,536616,2025-03-04,420000,6
"Sra. Gustavo Ceballos Vigil",1692818,6,sra.4773@edubus.cal,srgucevi,nFjE16ZcKjIy,"+56 2 2417 0951",1295,70811,"Salida con Amigos",536620,2025-01-18,935000,5
"Adán Ortiz Sánchez",9749165,8,adorsOe@edubus.cal,adán2351,ZRpNX0Lp92GNp3X,+56-2-7873-5176,9267,71541,"Salida con Familia",536621,2026-01-03,1190000,10
"Agustín Menchaca Verdugo",25970156,2,agustOAn509@viajesanma.com,agmeve,7ejw6vPe2,"+56 9 9329 3777",2362,61646,"Salida con Familia",536624,2025-02-03,4293000,9
"Agustín Menchaca Verdugo",25970156,2,agustOAn509@viajesanma.com,agmeve,7ejw6vPe2,"+56 9 9329 3777",2362,61646,"Salida con Familia",536627,2025-01-03,1008000,9
"Francisco Vigil Trejo",2868429,0,francisco7878@outluc.com,Franciscotrejo,2TA8HtCoV9K,"+56 9 5837 1650",9192,69768,"Salida con Amigos",536628,2025-02-20,1062000,6
"Santiago Barrera Burgos",4.510.825,2,Santiagoburgos@outluc.com,sababu,VIuwfgFlE7bck4ZK,"+56 9 3001 9227",102,71428,"Salida con Familia",536629,2025-07-21,240000,3
"Dolores Rosas Vera",3910584,5,dorove@viajesanma.com,dorove,m6pviFCJxut0pB,"+56 2 7609 2155",8447,70819,Vacaciones,536630,2026-06-23,2536000,8
"Lucas Matos Aragón",4091086,7,lumaar@tourket.com,lumaar,A1HVn5ISNm2PLXR,"+56 9 1677 8068",1257,63363,"Salida con Familia",536636,2025-04-08,216000,6
,11462568,0,Samuelserna@tourket.com,sapese,,"+56 2 9886 4414",,61579,"Salida con Familia",,2025-05-15,,1
"Samuel Pelayo Serna",11462568,0,Samuelserna@tourket.com,sapese,WRbTdbVe7HPl6fTz,"+56 2 9886 4414",2134,61579,"Salida con Familia",536638,2026-06-05,265000,1
"Mario Vanegas Canales",1500387,1,Mariocanales@viajesanma.com,Mariocanales,fU90v1IYS,"+56 2 9890 2861",8189,62194,Vacaciones,536639,2025/11/03,328000,8
"Sra. Virginia Ontiveros Velasco",,2,sra.141@wass.ceele,,,"+56 9 9520 2956",3710,,Vacaciones,536640,,-1104000,6
