correo,puntos
Juliarosales301@outluc.com,
Antonioquiroz229@tourket.com,-5610
Isabelalcántar881@edubus.cal,
olivia5797726@wass.com,
leonor3521619@wass.com,
caridad6182643@tourket.com,
sra.7859461@tourket.com,
sta.847296@wass.com,-6063
ana8583900@tourket.com,-7446
claudia8569766@viajesanma.com,
Albertocervantes264@tourket.com,-14384
Armandomagaña635@viajesanma.com,
Horacioguzmán500@tourket.com,
Estersegura683@wass.com,
glcate278@wass.com,
Manuelbecerra686@marmol.com,
Raúlrangel650@marmol.com,
Sr.tapia171@tourket.com,-17563
sra.3998257@viajesanma.com,-265
jacobo6008124@wass.com,
Sta.escobedo349@outluc.com,
Germánvélez748@outluc.com,-13314
loallo917@marmol.com,-820
Maríamontero518@outluc.com,-388
gupita391@marmol.com,
raregu307@viajesanma.com,
srromoyá724@viajesanma.com,-7975
Sra.berríos215@outluc.com,
stredejehi377@tourket.com,
alberto1905433@edubus.cal,
Ceciliaporras578@outluc.com,
heosto940@tourket.com,
Ramiropuente583@marmol.com,
cltrpu724@marmol.com,-13533
juan4715798@outluc.com,-10317
Bernardomaya294@tourket.com,
gilomá332@viajesanma.com,-27537
Juanavargas840@outluc.com,-4921
roquva333@marmol.com,
Germánbriseño409@viajesanma.com,
Sr.santacruz224@wass.com,
sr.627752@outluc.com,-7661
cacrba774@wass.com,
Sta.arguello397@marmol.com,
óscar9253359@viajesanma.com,
Rocioescobedo268@tourket.com,
sr.6831640@edubus.cal,
Virginiaceja502@tourket.com,-5496
sta.6818357@outluc.com,
Isabelrascón708@tourket.com,-4305
Lauramartínez879@outluc.com,
ignacio328827@edubus.cal,
Sta.deleón863@outluc.com,
anita2563271@edubus.cal,-2604
sr.4206103@wass.com,-8630
stcrcade634@outluc.com,
sra.4309217@wass.com,
jucéalgo727@outluc.com,
margarita8382853@tourket.com,
Marcotejeda365@viajesanma.com,
sr.9197608@edubus.cal,
luroso389@tourket.com,
agdeca352@tourket.com,
gerore970@edubus.cal,
Anitabernal246@viajesanma.com,-2232
rosario2887410@edubus.cal,
Gabrielaalcaraz113@marmol.com,-10313
sta.960821@marmol.com,-10561
Juanpedraza550@tourket.com,
juan3320373@wass.com,-7899
fealca570@outluc.com,
juvema506@marmol.com,
agustín9413325@outluc.com,
srtobeal705@outluc.com,-8484
Horaciozúñiga110@edubus.cal,-5333
ancole362@viajesanma.com,
Soniapineda919@outluc.com,
srrotece660@tourket.com,-4026
Eduardomondragón246@viajesanma.com,
anludemi528@outluc.com,
Hugosoria320@outluc.com,
Manuelatoledo658@tourket.com,-11441
yolanda8323644@viajesanma.com,
Blancabenítez623@tourket.com,
sr.6145544@tourket.com,-906
srvigave561@edubus.cal,
Martínescamilla586@outluc.com,
cacoma845@viajesanma.com,-1356
sr.7926462@marmol.com,-11720
sranzeva503@viajesanma.com,
Teresaanda894@marmol.com,
manuel5946867@tourket.com,-25048
Federicoarreola639@wass.com,
Sra.navarrete287@tourket.com,-774
gabriel3697357@edubus.cal,
micaela196704@outluc.com,
miguel1934865@outluc.com,
alfequ786@wass.com,
anesca757@outluc.com,-4888
Blancapuente777@marmol.com,
Ricardoalva341@tourket.com,
Mateoenríquez341@tourket.com,-8596
claudia5533616@edubus.cal,
Florenciatamayo112@edubus.cal,-673
emhuco747@viajesanma.com,
Mariogastélum767@tourket.com,-14871
mario8248936@viajesanma.com,-2614
reina6722345@outluc.com,
tecaza414@viajesanma.com,
alyábu227@tourket.com,
Sra.quintanilla493@viajesanma.com,
alejandro1114795@viajesanma.com,
Blancaacevedo582@tourket.com,-16766
cégudí854@wass.com,-5070
Luisportillo880@marmol.com,
Sta.perea521@tourket.com,
olivia4165777@edubus.cal,
elpase849@viajesanma.com,-9231
Sta.cardenas262@viajesanma.com,-37863
gilberto4249738@wass.com,
roares206@tourket.com,
ropése963@tourket.com,-7800
rodrigo8215714@edubus.cal,
Anitaríos329@tourket.com,
elisa3593857@wass.com,
Maríatafoya556@tourket.com,
sr.2196934@outluc.com,-13227
samuel6904991@viajesanma.com,-7763
martín1813330@wass.com,
Maricarmensegovia355@viajesanma.com,
caolli626@edubus.cal,-18102
malutama814@tourket.com,
eva5958152@marmol.com,
claudia3864958@marmol.com,-6558
dosaro280@edubus.cal,
antonio3144186@viajesanma.com,-4686
sr.1848142@outluc.com,
Rosacavazos603@viajesanma.com,-14406
jaime9812696@viajesanma.com,
sra.8371668@tourket.com,
maría2605675@outluc.com,
igmano562@marmol.com,
igalal276@marmol.com,-8633
antonio6322474@wass.com,
cotoqu219@viajesanma.com,
srdénise164@marmol.com,-16013
martín6390573@edubus.cal,-1834
Sra.montes459@tourket.com,
srbahuro235@viajesanma.com,-10676
Hernántorres698@outluc.com,
lovico890@tourket.com,-10048
Susanaserrato707@outluc.com,-16195
leonor6694280@wass.com,-8081
romasa126@edubus.cal,-7521
Sr.archuleta598@edubus.cal,
guraza832@wass.com,
gerardo5212629@viajesanma.com,-6910
maría2395412@outluc.com,-20839
stletrar505@viajesanma.com,
sra.5943477@edubus.cal,
anbapá260@wass.com,
Anaquiroz253@outluc.com,-14388
sressoga952@tourket.com,-11096
essaca988@tourket.com,-11715
srmababa946@wass.com,
salvador3819754@marmol.com,
Horacioalfaro577@edubus.cal,
edhusa624@wass.com,
eva6365391@outluc.com,
claudio1581442@viajesanma.com,
peloan719@tourket.com,-970
Albertosaldaña982@wass.com,
francisca2718680@edubus.cal,-3186
Agustínburgos608@outluc.com,-520
srhoguhi542@outluc.com,-7703
Carlostapia868@wass.com,-1792
salvador7196389@outluc.com,-16050
rosalia9151870@tourket.com,
blviju147@tourket.com,-1201
Tomásespinal733@wass.com,
rosario675411@wass.com,
marisol5737307@viajesanma.com,-10504
Sr.nazario703@marmol.com,
stmaburo600@edubus.cal,
lecaba295@marmol.com,-6132
Julioroldán951@outluc.com,
raúl9292389@wass.com,
dorotea7696397@marmol.com,-5797
Mateovarela616@tourket.com,-16033
srcagoal565@marmol.com,
lourdes1987188@edubus.cal,
estela8497596@outluc.com,
sta.8931768@edubus.cal,
jetara275@marmol.com,-5193
Elvirahinojosa356@viajesanma.com,
lourdes7750833@marmol.com,
federico5040630@marmol.com,
alberto3440561@wass.com,
óstobe285@marmol.com,
maría4407147@wass.com,
Maríabanda906@marmol.com,-3242
beváfe523@edubus.cal,
ester2567245@outluc.com,
sredalto390@outluc.com,
loprza635@tourket.com,
Sra.rodarte620@tourket.com,-9598
Ernestosolano658@tourket.com,
alcaba134@viajesanma.com,
aravay153@edubus.cal,-25647
dacasa855@viajesanma.com,
Carolinanarváez993@marmol.com,-272
mariana3010734@outluc.com,-3419
francisca1636647@edubus.cal,-4400
Ramiromercado584@marmol.com,
crpaar994@marmol.com,-9647
blpavi311@edubus.cal,-12795
Julioalva805@tourket.com,
Sra.parra695@edubus.cal,
Felipecaraballo409@wass.com,
srarchme180@edubus.cal,-6503
stmaeujues659@marmol.com,
Sr.tirado913@outluc.com,-11868
hocace205@viajesanma.com,-4386
Gloriaelizondo242@wass.com,
Sr.marrero675@wass.com,-10348
gucuag705@viajesanma.com,
magrga513@tourket.com,
Miguelortiz381@viajesanma.com,
gloria1758391@edubus.cal,
Julialeal136@wass.com,-1690
estela8247925@wass.com,
benaco350@edubus.cal,
Sr.acevedo879@edubus.cal,-3126
alejandro481955@edubus.cal,-23055
teodoro5107494@tourket.com,
carolina833891@viajesanma.com,-7222
sta.2314178@marmol.com,
maanguco758@tourket.com,
víctor2838763@viajesanma.com,
sta.2691341@tourket.com,
Lorenzocarrasquillo383@marmol.com,
marco8536482@viajesanma.com,
cristobal6780995@outluc.com,
emilio9125324@marmol.com,
magdalena6480648@edubus.cal,
Hernáncarvajal329@wass.com,-500
esperanza714944@viajesanma.com,
sra.1090676@marmol.com,
luz4136884@tourket.com,
viarga905@outluc.com,-13889
césar6595241@wass.com,
marcos4067544@wass.com,
pafldean477@outluc.com,
srfrcasa970@tourket.com,-6676
marire597@viajesanma.com,
juorpe522@marmol.com,
felipe5223170@outluc.com,
jucahece652@tourket.com,-3577
lola5393671@viajesanma.com,-16928
lorenzo9604784@edubus.cal,
elcava350@viajesanma.com,
cristian3464921@tourket.com,-11770
juan1549170@outluc.com,-484
Sta.alicea235@edubus.cal,
doropi546@tourket.com,-18266
Isabelvergara485@edubus.cal,
cristobal758674@marmol.com,-2468
julia3362510@viajesanma.com,
claudio4473225@marmol.com,
reina7291553@viajesanma.com,-10868
Sra.carrion912@outluc.com,-20177
eduardo3027688@marmol.com,
Marianoapodaca861@tourket.com,
maangasi138@edubus.cal,
Marcelaáguilar314@edubus.cal,
Sta.bahena605@marmol.com,-8332
lilia618791@viajesanma.com,-5780
erjasi436@wass.com,-8464
Reinaconcepción762@viajesanma.com,
lorena9566676@tourket.com,
srbeguca981@viajesanma.com,
bemori869@marmol.com,
Sr.esquivel621@marmol.com,-359
verónica7332996@marmol.com,-819
alfonso3241121@wass.com,
mapipá124@tourket.com,
dazúmu577@marmol.com,
Albertofranco136@wass.com,
viraal382@outluc.com,-6030
Estebanvargas460@edubus.cal,
camaro709@wass.com,
jemepe848@tourket.com,
marcos4781389@outluc.com,
Déborasolano286@marmol.com,-4538
Raúlcaraballo974@marmol.com,
jogrbr450@edubus.cal,-11736
Sta.acevedo242@tourket.com,
doagne287@edubus.cal,
alveol354@marmol.com,-23256
Gustavozelaya652@edubus.cal,
anmaolce802@viajesanma.com,
rafael8801697@marmol.com,-1305
alicia6908339@edubus.cal,
maricarmen9839855@outluc.com,
emmole216@viajesanma.com,-10409
Lolasegovia453@tourket.com,-19271
alberto5410136@edubus.cal,
maricarmen1043921@outluc.com,-3555
sta.2490450@wass.com,
srroguti835@tourket.com,
concepción4274506@wass.com,
Sta.pantoja213@wass.com,-23387
edanpa631@viajesanma.com,
sacara440@viajesanma.com,-6730
Sta.alvarado908@outluc.com,-3580
robamo385@edubus.cal,-460
raviig186@tourket.com,
srjocapr712@wass.com,
Enriquesotelo831@tourket.com,-3199
Maríaparedes646@outluc.com,0
maricarmen7666586@edubus.cal,15447
alragá795@marmol.com,
Ángelaalba718@viajesanma.com,3164
Lucasferrer412@outluc.com,10558
rosa6148769@tourket.com,0
Sta.cabán461@tourket.com,23166
Joséballesteros167@tourket.com,306
marcos9466158@outluc.com,6842
josefina4470996@viajesanma.com,3110
sta.6650224@outluc.com,0
Andreaguardado378@tourket.com,
Sr.corral649@tourket.com,0
sta.5614166@outluc.com,0
Sr.bustamante598@outluc.com,2960
Jesúshurtado122@edubus.cal,2880
octavio6319425@edubus.cal,
leonor8794107@wass.com,0
srlamare942@wass.com,0
Maríalucero990@tourket.com,27927
miánelbu961@marmol.com,0
sra.5833903@marmol.com,
Sr.armenta518@tourket.com,
dasoac580@marmol.com,0
maeucode191@edubus.cal,
maría6872169@marmol.com,0
Germánpelayo635@outluc.com,26551
crfllo203@edubus.cal,0
rasoar976@viajesanma.com,10405
cristobal4759218@marmol.com,1648
santiago253387@edubus.cal,1650
sr.9923211@tourket.com,
gusabr510@edubus.cal,4437
Sta.chávez640@outluc.com,558
stlumitema624@viajesanma.com,
lilia914103@wass.com,0
srsanape502@marmol.com,6228
Margaritaflores968@marmol.com,1152
Sta.villegas331@tourket.com,2934
evchpe183@viajesanma.com,2781
paacru281@marmol.com,0
pedro7959605@tourket.com,29890
cavaor428@marmol.com,15054
sra.4771595@marmol.com,0
cresca507@viajesanma.com,18195
Esperanzagastélum106@outluc.com,13763
Joaquínarmenta932@edubus.cal,0
srirávgo776@viajesanma.com,21002
conchita7188143@tourket.com,0
pablo5088683@outluc.com,-7406
subrqu744@marmol.com,15264
eloisa1278790@edubus.cal,1092
sta.5648347@marmol.com,14536
Timoteopizarro971@wass.com,0
Clarablanco549@viajesanma.com,445
Joséocasio511@viajesanma.com,0
Miguelmejía168@viajesanma.com,0
nibató846@marmol.com,4906
cajuvi986@marmol.com,16064
jaguvi499@viajesanma.com,3301
sr.6894983@wass.com,10617
claudia2190479@outluc.com,5610
Catalinaalcaraz270@tourket.com,1994
Sra.concepción176@outluc.com,0
fetrro362@tourket.com,7756
mihupé966@outluc.com,0
Franciscoávila759@wass.com,
sr.8161428@viajesanma.com,3088
Rosaliachavarría168@edubus.cal,1400
amhena219@outluc.com,
inés7084745@tourket.com,8712
srpareul537@tourket.com,23773
laura2478321@edubus.cal,0
gacoca437@viajesanma.com,0
sta.6474360@viajes.cl,
Silviaaguirre528@tourket.com,12576
david592704@outluc.com,0
agustín6701648@edubus.cal,19933
déolvi874@outluc.com,0
Robertosánchez319@marmol.com,267
Nicolásmeza899@edubus.cal,808
daniel1491180@viajesanma.com,18908
josé3191110@viajesanma.com,8510
frques693@marmol.com,18581
Sra.zavala806@edubus.cal,12063
Martaurrutia521@viajesanma.com,10250
Martínrazo938@tourket.com,2865
Maríaontiveros265@outluc.com,0
Santiagobeltrán904@wass.com,32803
sta.1348576@outluc.com,10776
stcavébo386@wass.com,12949
starcama253@wass.com,11098
sra.3998257@viajesanma.com,-265
saagse120@tourket.com,7963
locaac619@tourket.com,2990
licoro858@edubus.cal,0
virginia2661573@tourket.com,8905
Ignaciobarrera916@wass.com,0
loallo917@marmol.com,-820
Marcotoro670@outluc.com,0
srromoyá724@viajesanma.com,-7975
saarec726@outluc.com,0
alberto1905433@edubus.cal,
srlobudo327@viajesanma.com,125
elcece245@marmol.com,15453
josé8124366@outluc.com,1239
gibuhi919@wass.com,0
Rosaliaespinal416@outluc.com,16030
stjaessu577@edubus.cal,1900
sra.8832399@viajesanma.com,5619
Octaviogallegos933@tourket.com,0
sra.2800815@wass.com,1430
luis5325291@viajesanma.com,9174
Gabrielconcepción497@wass.com,0
joluroos644@wass.com,5576
Sra.saldaña995@tourket.com,0
Julioarmas913@edubus.cal,0
Gabrielaalcaraz113@marmol.com,-10313
Estergil582@marmol.com,744
Armandobueno823@edubus.cal,0
Sr.cerda516@viajesanma.com,7942
stfecete911@outluc.com,1904
mario7435376@tourket.com,7230
Sra.escobedo507@marmol.com,0
pabaza588@tourket.com,0
Patriciamurillo128@tourket.com,0
Luisaperalta279@wass.com,2220
Oliviapagan786@wass.com,12201
adriana1757297@wass.com,0
Soniapineda919@outluc.com,
sr.8593595@viajesanma.com,7287
Rosabalderas919@tourket.com,754
alfequ786@wass.com,
Ricardoalva341@tourket.com,
marisol4441568@edubus.cal,0
Mateoenríquez341@tourket.com,-8596
Juliaconcepción939@wass.com,6878
alyábu227@tourket.com,
emilio2530805@viajesanma.com,0
Carlosbarrientos319@outluc.com,1420
maricarmen6666109@outluc.com,0
diana2279787@edubus.cal,0
mariana1997804@viajesanma.com,1297
Hernánviera459@edubus.cal,11645
joluávju208@edubus.cal,2495
amalia5393784@outluc.com,6453
srjomeca273@marmol.com,0
claudia3864958@marmol.com,-6558
Juangranado636@outluc.com,0
lourdes6422863@viajesanma.com,5835
Sra.rodríquez838@marmol.com,9768
srdénise164@marmol.com,-16013
grarvi741@outluc.com,0
Elsahenríquez197@marmol.com,10386
Sta.quintanilla963@viajesanma.com,14943
cecilia7269936@viajesanma.com,0
sta.9055871@edubus.cal,16310
racace847@viajesanma.com,14132
maría2395412@outluc.com,-20839
localó436@edubus.cal,0
srmababa946@wass.com,
stmicica198@marmol.com,2368
anmazú491@edubus.cal,4317
Maríarascón933@tourket.com,0
eva6365391@outluc.com,
Susanacuellar663@outluc.com,14340
miáncola665@edubus.cal,927
Carlosriojas590@viajesanma.com,2985
Davidestévez480@outluc.com,3119
Julioroldán951@outluc.com,
guillermina8202874@marmol.com,24395
Ignacioolivárez206@marmol.com,0
benito1937907@viajesanma.com,18597
joedzaes177@wass.com,14413
Carlagrijalva207@marmol.com,7805
Emiliaarmijo452@marmol.com,6765
Aliciavelázquez168@tourket.com,4766
mabaes817@edubus.cal,12166
lola9542736@outluc.com,3975
víctor1250825@outluc.com,0
sta.2491727@edubus.cal,1438
gugopa303@outluc.com,1458
maría8303241@tourket.com,0
aravay153@edubus.cal,-25647
julia8270954@tourket.com,6052
francisca1636647@edubus.cal,-4400
sra.2260743@marmol.com,20075
Andreaposada220@outluc.com,6988
cecilia2200858@tourket.com,0
palaga859@edubus.cal,15841
Maríalinares370@outluc.com,0
gulesá471@tourket.com,15092
Julialeal136@wass.com,-1690
pejusa630@edubus.cal,2272
estela8247925@wass.com,
crreig672@edubus.cal,2670
lola1297974@outluc.com,4604
Sr.acevedo879@edubus.cal,-3126
carolina833891@viajesanma.com,-7222
Vicentedelgadillo488@edubus.cal,5508
víctor2838763@viajesanma.com,
josé2853454@outluc.com,6488
sra.5855316@edubus.cal,12567
jualig422@tourket.com,14915
Pilarvelasco414@viajesanma.com,8361
Alejandroaguilera226@tourket.com,5463
Lorenzosolano516@tourket.com,22680
visace262@viajesanma.com,13670
magdalena6480648@edubus.cal,
Sr.tirado736@outluc.com,0
stirmépr243@edubus.cal,2320
Sta.marroquín745@wass.com,0
sta.9270840@edubus.cal,19944
marilu3148893@edubus.cal,13197
maqura244@tourket.com,1638
rodrigo3395108@outluc.com,340
eloisa5952422@outluc.com,15627
soledad8677339@viajesanma.com,0
enrique1940689@tourket.com,6498
Sta.alicea235@edubus.cal,
Pilarrodarte968@tourket.com,25256
elisa8765548@wass.com,17404
mamovi842@edubus.cal,0
giurna570@edubus.cal,9873
matecolo762@edubus.cal,11403
bldevi570@tourket.com,8037
Amaliacarrero334@outluc.com,11356
maangasi138@edubus.cal,
sta.607395@viajesanma.com,18698
Marcelaáguilar314@edubus.cal,
isseme584@wass.com,3110
graciela7302116@edubus.cal,0
Jaimecortés541@wass.com,14813
Lorenagutiérrez892@wass.com,4582
rosaar844@wass.com,12934
lilia618791@viajesanma.com,-5780
srclpasi566@tourket.com,1654
Cristianesquibel551@viajesanma.com,4743
Claravela647@wass.com,16503
gerofa426@edubus.cal,9867
Timoteoferrer745@tourket.com,5237
fesahe371@viajesanma.com,11710
Elisarascón880@edubus.cal,5601
teodoro388300@viajesanma.com,0
santiago3282575@edubus.cal,0
srlubaqu223@wass.com,9989
alpopr301@tourket.com,9244
Sr.guajardo991@wass.com,22414
rihepu595@outluc.com,12657
edanpa631@viajesanma.com,
mariano2360541@edubus.cal,0
Sr.malave666@viajesanma.com,8840
Sr.bustamante598@outluc.com,2960
Maríalucero990@tourket.com,27927
sra.4771595@marmol.com,0
sr.6894983@wass.com,10617
Sra.concepción176@outluc.com,0
sta.6474360@viajes.cl,
Nicolásmeza899@edubus.cal,808
sta.1348576@outluc.com,10776
mariana1997804@viajesanma.com,1297
claudia3864958@marmol.com,-6558
maría2395412@outluc.com,-20839
srmababa946@wass.com,
cecilia2200858@tourket.com,0
pejusa630@edubus.cal,2272
sra.4771595@marmol.com,0
sta.1348576@outluc.com,10776
