id,nombre_anfitrion,contacto_anfitrion,descripcion,piezas,camas,banos
100704,Gabriela Flores Viera,,Disfruta de una estadía en el corazón de la ciudad,6,6,3
100982,Raquel Jaramillo Matos,,Relájate en un lugar tranquilo y acogedor,5,4,3
100990,Jorge Luis Fierro Valdez,,Ubicación céntrica con fácil acceso a atracciones turísticas,,4,3
101025,,,Experimenta el lujo y la comodidad en este alojamiento,4,4,2
101034,Guillermina Ulloa Preciado,+56 9 7642 8474,Experimenta el lujo y la comodidad en este alojamiento,3,,3
101141,Sra. Ana Caballero Alonso,+56 9 3902 4692,Disfruta de una estadía en el corazón de la ciudad,,2,3
101259,Sra. Carla Canales Lugo,+56 2 3112 7651,Descubre la historia de la ciudad desde tu ventana,,3,2
101320,,+56 2 6348 5466,,2,4,2
101329,Germán Gurule Jimínez,+56 9 4228 6526,Ideal para una escapada romántica,,4,3
101403,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,5,5,3
101435,Salvador Jaimes Cordero,+56 9 0417 0135,Ideal para una escapada romántica,,3,3
101581,Alberto Caraballo Villalobos,+56 2 4671 2709,Descubre la historia de la ciudad desde tu ventana,4,5,
101621,Blanca Sotelo Loya,+56 2 8547 6122,,4,5,3
101674,,+56 9 1359 8056,Disfruta de una estadía en el corazón de la ciudad,4,4,3
101796,,+56 2 2132 1598,Ubicación céntrica con fácil acceso a atracciones turísticas,5,3,2
101881,Víctor Sarabia Yáñez,,Experimenta el lujo y la comodidad en este alojamiento,6,2,1
101938,Cristobal Viera Juárez,+56 2 3729 7877,Descubre la historia de la ciudad desde tu ventana,6,4,
102151,Daniela Ortiz Maya,+56 9 5310 9527,,4,4,3
102258,Carlota Santana Montoya,,Ubicación céntrica con fácil acceso a atracciones turísticas,2,3,2
102318,,+56 9 6088 1551,Ubicación céntrica con fácil acceso a atracciones turísticas,5,3,1
102580,,+56 2 8764 4448,Ideal para una escapada romántica,,4,3
102611,Mónica Espinosa Huerta,,,6,6,3
102738,Victoria Olivárez Miranda,+56 2 8990 2506,Experimenta el lujo y la comodidad en este alojamiento,5,4,
103038,Irene Padilla Naranjo,+56 2 5546 1249,Ubicación céntrica con fácil acceso a atracciones turísticas,6,4,
103163,,+56 2 1141 6897,Experimenta el lujo y la comodidad en este alojamiento,,4,2
103505,Jaime Téllez Armendáriz,,Descubre la historia de la ciudad desde tu ventana,6,5,3
103941,José María Valladares Rodríguez,+56 2 8648 3949,,4,5,3
104006,Gloria Pelayo Lozada,+56 9 8739 7873,,4,4,2
104063,Adán Longoria Ballesteros,,Relájate en un lugar tranquilo y acogedor,,4,2
104155,,+56 2 8710 2339,Disfruta de una estadía en el corazón de la ciudad,2,3,2
104254,,+56 2 7323 5170,Perfecto para familias y grupos grandes,6,4,3
104478,Timoteo Venegas Hernández,+56 2 5335 5772,Descubre la historia de la ciudad desde tu ventana,5,6,
104653,Sr. Raquel Guerra Cisneros,,Experimenta el lujo y la comodidad en este alojamiento,2,5,4
104694,Luis Miguel Hurtado Adame,+56 2 2355 8921,,3,1,4
104914,Daniela Perea Montoya,+56 2 8650 7799,Aventúrate en la naturaleza y descansa en un lugar cómodo,,5,3
105027,,+56 9 8030 8287,Relájate en un lugar tranquilo y acogedor,3,3,1
105080,Sra. Jorge Esparza Batista,+56 9 9507 8244,Ideal para una escapada romántica,,4,3
105164,Adán Quintana Carvajal,+56 9 2970 8820,Relájate en un lugar tranquilo y acogedor,5,4,
105215,Sra. Catalina Leiva Lomeli,+56 9 2279 4345,Ideal para una escapada romántica,3,,2
105217,Nicolás Ornelas Narváez,,Descubre la historia de la ciudad desde tu ventana,5,5,3
105277,Rodrigo Trujillo Armas,+56 2 6491 5820,Relájate en un lugar tranquilo y acogedor,5,,3
105281,,+56 9 7848 2606,Ideal para una escapada romántica,6,5,3
105446,Sr. Magdalena Venegas Arias,+56 2 7919 7488,Relájate en un lugar tranquilo y acogedor,4,1,
105475,,+56 9 2515 0657,Ubicación céntrica con fácil acceso a atracciones turísticas,3,4,2
105619,Cristian Zamora Carvajal,+56 9 6723 1082,,3,4,2
105949,,+56 9 8834 9533,Ideal para una escapada romántica,4,4,3
106114,Ariadna Espino Laureano,+56 2 9366 0879,Ideal para una escapada romántica,,2,2
106128,Sra. Jerónimo Villegas Navarro,+56 2 4234 5174,Perfecto para familias y grupos grandes,2,,2
106154,,+56 2 0125 0949,Experimenta el lujo y la comodidad en este alojamiento,4,6,4
106184,Reina Montenegro Lugo,+56 9 5320 0218,Disfruta de una estadía en el corazón de la ciudad,5,,3
106391,Sta. Cristina Frías Páez,,Relájate en un lugar tranquilo y acogedor,4,3,3
106527,Sr. Lorenzo Aguirre Zúñiga,+56 9 6294 5331,,5,5,4
106758,Timoteo Cano Cabrera,+56 2 0758 7117,Experimenta el lujo y la comodidad en este alojamiento,,5,3
106831,Sra. Julia Salas Salgado,+56 2 6286 3313,,4,4,3
107023,Jorge Enríquez Delvalle,+56 2 0101 3697,Disfruta de una estadía en el corazón de la ciudad,,,4
107037,,+56 9 3719 4631,Descubre la historia de la ciudad desde tu ventana,4,5,4
107120,,+56 9 5349 4304,Ideal para una escapada romántica,5,1,4
107374,Gregorio Roldán Viera,,Ideal para una escapada romántica,4,5,3
107493,Guillermina Negrete Leyva,+56 2 7759 5818,,2,3,3
107500,,+56 9 9544 2265,Disfruta de una estadía en el corazón de la ciudad,5,4,3
107622,Sra. Cristobal Tapia Arteaga,+56 2 1628 9737,,5,2,2
107667,Alejandra Rascón Calderón,+56 2 6275 0293,,6,,4
107914,Cristina Blanco Patiño,+56 9 1560 6122,Relájate en un lugar tranquilo y acogedor,2,3,
107937,Diana Díaz Mercado,+56 2 2765 7560,Perfecto para familias y grupos grandes,3,,
107940,Hugo Matos Villaseñor,+56 9 5849 0628,Ideal para una escapada romántica,6,4,
107993,Timoteo Prieto Olivo,+56 9 6582 0652,Relájate en un lugar tranquilo y acogedor,2,3,
108239,Óscar Alva Blanco,,Relájate en un lugar tranquilo y acogedor,3,3,1
108329,Sr. Pedro Adame Pizarro,+56 2 7211 0539,Ubicación céntrica con fácil acceso a atracciones turísticas,3,,2
108364,,+56 2 2322 5922,Perfecto para familias y grupos grandes,6,6,4
108372,Patricio Vergara Carrion,,Ubicación céntrica con fácil acceso a atracciones turísticas,5,5,
108549,,+56 9 7640 6793,Experimenta el lujo y la comodidad en este alojamiento,6,,4
108589,Claudia Ornelas Olvera,+56 9 1902 5512,Experimenta el lujo y la comodidad en este alojamiento,3,4,
108600,,+56 2 8624 5318,Perfecto para familias y grupos grandes,5,4,4
108614,Alfredo Lovato Bernal,+56 9 7497 2820,,4,4,3
108631,Sr. Adriana Solorio Miranda,+56 9 8418 9929,Experimenta el lujo y la comodidad en este alojamiento,4,2,
108639,,+56 2 8536 9363,Disfruta de una estadía en el corazón de la ciudad,3,1,2
108672,Juan Carlos Alonzo Marrero,+56 2 8339 1270,Aventúrate en la naturaleza y descansa en un lugar cómodo,,5,3
109584,Elvira Delapaz Sedillo,+56 9 5788 5271,,2,2,1
109638,Sr. Jaime Ramírez Olvera,,Disfruta de una estadía en el corazón de la ciudad,6,5,4
109705,,+56 2 0522 4586,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,4,4
109729,,+56 9 4287 3096,,2,3,2
109812,Bernardo Guillen Castellanos,+56 9 9246 8549,Ideal para una escapada romántica,,3,1
110340,Arturo Herrera Alonzo,+56 2 6304 1603,Relájate en un lugar tranquilo y acogedor,5,4,
110388,Concepción Mercado Montez,+56 2 4543 5015,,6,6,3
110497,,+56 9 8987 0350,Relájate en un lugar tranquilo y acogedor,2,3,
110502,,+56 9 6513 8895,Ubicación céntrica con fácil acceso a atracciones turísticas,2,2,2
110652,,+56 2 8594 9685,Perfecto para familias y grupos grandes,3,2,2
111225,,+56 9 9028 8560,Ideal para una escapada romántica,3,2,2
111258,Ana María Nieves Sepúlveda,+56 9 2651 5455,,4,5,3
111272,Timoteo Flórez Prieto,+56 2 5427 8197,Experimenta el lujo y la comodidad en este alojamiento,6,5,
