id,correo_usuario,reserva_id,estrellas,descripcion
95,claudia8569766@viajesanma.com,,2,No me convenció del todo
96,claudia8569766@viajesanma.com,79625,,
97,grzama501@wass.com,,,
98,carlos8690348@marmol.com,79654,,
99,carlos8690348@marmol.com,79660,,
100,reina2052916@wass.com,79671,,
101,joeddása312@wass.com,79686,,
102,joeddása312@wass.com,79690,3,Podría mejorar
103,srtobeal705@outluc.com,79715,,
104,srtobeal705@outluc.com,79718,5,Muy satisfecho
105,vídere636@edubus.cal,,7,No lo recomendaría
106,alfama854@outluc.com,79749,,
107,enrique915368@marmol.com,79758,,
108,sta.6560419@marmol.com,79765,,
109,pablo8213860@tourket.com,79785,,
110,,79792,3,"Cumplió con mis expectativas, pero sin destacar"
111,mónica8395890@wass.com,79813,,
23748,,,,
112,,79835,5,Servicio de primera
113,concepción7470878@wass.com,79842,,
114,elcona993@viajesanma.com,79856,82,Sin duda volveré
115,virginia2661573@tourket.com,79868,,
116,Vicentegallegos656@outluc.com,79883,3,Podría mejorar
117,germán9680306@wass.com,79899,4,Bueno
118,lola9204912@edubus.cal,79904,1,No vuelvo más
119,Sra.quezada158@viajesanma.com,79970,43,No vuelvo más
120,edhina669@viajesanma.com,79923,5,Superó mis expectativas
121,claudia3931278@outluc.com,79974,5,Excelente
122,claudia3931278@outluc.com,79975,5,Muy satisfecho
123,Manuelcarrion396@outluc.com,79984,,
124,srjoemroze756@outluc.com,80000,5,Excelente
125,,80053,4,Me atendieron bien
126,jomupo612@viajesanma.com,80057,4,"Satisfecho, pero hay detalles por mejorar"
127,jomupo612@viajesanma.com,80059,5,Sin duda volveré
128,Raúlcaraballo974@marmol.com,80082,2,Regular
129,Fernandodelao282@viajesanma.com,80124,5,Servicio de primera
130,reina2052916@wass.com,80132,,
131,lumidejegr954@edubus.cal,80141,76,Podría mejorar
132,lumidejegr954@edubus.cal,,,
133,lumidejegr954@edubus.cal,80152,2,Regular
134,laarpe870@tourket.com,80157,,
135,Bernardosaucedo591@viajesanma.com,80167,,
136,Samuelflores464@marmol.com,80184,,
137,Florenciamenéndez180@marmol.com,,4,Bueno
138,Sr.rivas330@outluc.com,80243,,
139,Sr.rivas330@outluc.com,80250,49,"Cumplió con mis expectativas, pero sin destacar"
140,,80263,2,Regular
141,armando8798500@edubus.cal,80264,4,
142,ana6840583@wass.com,80269,,
143,Gustavoarias898@wass.com,80283,,
144,víctor2838763@viajesanma.com,80294,4,Me atendieron bien
145,teresa293918@wass.com,80320,,
146,teresa293918@wass.com,80323,17,Servicio regular
147,looroq121@edubus.cal,80365,,
148,sranmoac645@marmol.com,80386,,
149,sranmoac645@marmol.com,80387,,
150,Sr.archuleta598@edubus.cal,80399,1,Completamente decepcionado
151,Sr.archuleta598@edubus.cal,80403,2,No me convenció del todo
152,Sr.archuleta598@edubus.cal,80407,1,Pésimo
153,Germánpelayo635@outluc.com,80410,,
154,gloria8057209@marmol.com,80447,4,
155,estela7535658@outluc.com,80462,,Superó mis expectativas
156,,80463,,
157,Germánvélez748@outluc.com,80465,5,Servicio de primera
158,manaco947@edubus.cal,80476,1,
159,Estebancepeda983@outluc.com,80485,,Podría mejorar
160,Germánpedroza116@outluc.com,80505,,
161,Isabeltreviño375@edubus.cal,80512,3,Servicio regular
162,roques144@tourket.com,80521,5,Superó mis expectativas
163,Ricardoarevalo285@outluc.com,80524,,Hubo varios problemas
164,sr.1848142@outluc.com,80541,5,Excelente
165,essaca988@tourket.com,80555,,
166,essaca988@tourket.com,80559,2,
167,alfama854@outluc.com,80578,,
168,eva9441686@viajesanma.com,80590,,
169,berta7261434@outluc.com,80663,,
170,heesro210@viajesanma.com,80684,1,No vuelvo más
171,germán7896769@wass.com,80691,2,No lo recomendaría
172,germán7896769@wass.com,80696,5,Sin duda volveré
173,germán7896769@wass.com,80697,,
174,sta.2056184@viajesanma.com,80703,10,Aceptable
175,Sr.nazario703@marmol.com,80721,3,Servicio regular
176,,80727,,
177,disoes972@edubus.cal,80752,52,"Satisfecho, pero hay detalles por mejorar"
178,sr.9705134@edubus.cal,,2,Regular
179,sr.9705134@edubus.cal,80758,3,"Cumplió con mis expectativas, pero sin destacar"
180,,80763,1,Completamente decepcionado
181,sra.1772343@outluc.com,80764,,
182,papeba746@marmol.com,80772,,No me convenció del todo
183,srinmoca501@viajesanma.com,80795,,
184,Sr.covarrubias178@viajesanma.com,80809,,
185,Sra.rodarte459@edubus.cal,80822,,Regular
186,joaquín6801476@tourket.com,80829,,
187,joaquín6801476@tourket.com,80832,,
188,esperanza714944@viajesanma.com,80840,2,No me convenció del todo
189,,80843,3,Servicio regular
190,hugo7939269@wass.com,80851,4,Buena experiencia en general
191,césar1419783@marmol.com,80864,,
192,Luisportillo880@marmol.com,80895,,
193,sra.3720171@viajesanma.com,80917,,
194,sra.3720171@viajesanma.com,,,
195,Estebancepeda983@outluc.com,80947,,Hubo varios problemas
196,alesot998@viajesanma.com,80953,,
197,alesot998@viajesanma.com,80961,,
198,,80965,4,Buena experiencia en general
199,julio6852990@edubus.cal,80981,,
200,Eloisadelacrúz836@viajesanma.com,80999,1,Pésimo
201,Eloisadelacrúz836@viajesanma.com,81002,5,Excelente
202,esteban6021415@edubus.cal,81018,1,Completamente decepcionado
203,esteban6021415@edubus.cal,81022,,
204,esteban6021415@edubus.cal,81028,3,Aceptable
205,espese578@wass.com,,2,No lo recomendaría
206,vípuor366@wass.com,,5,Excelente
207,vípuor366@wass.com,81044,,
208,mabaes817@edubus.cal,81081,,
209,,81103,5,Superó mis expectativas
210,Micaelalozada680@tourket.com,81105,41,Malo
211,concepción7941327@tourket.com,81118,,Podría mejorar
212,Sta.nájera376@viajesanma.com,81141,,
213,sta.1931877@tourket.com,81173,,
214,Sra.cantú510@edubus.cal,81186,,
215,visaca599@outluc.com,81204,3,Servicio regular
216,Ignacioceja226@viajesanma.com,,,
217,sta.5368684@edubus.cal,81255,,
218,guadalupe9639467@tourket.com,81272,5,
24102,,,,
219,horacio4338693@tourket.com,81277,,
220,Sta.acevedo242@tourket.com,81282,1,Pésimo
221,jucasa710@tourket.com,81291,2,Regular
222,jucasa710@tourket.com,81293,3,Aceptable
223,jacobo6193596@outluc.com,,,
224,,81297,,Podría mejorar
225,Marisoltello847@tourket.com,81299,5,Excelente
226,enrique915368@marmol.com,81310,,
227,alcaba997@wass.com,,5,Superó mis expectativas
228,natalia5271573@marmol.com,81322,1,Completamente decepcionado
229,srrotece660@tourket.com,81333,4,Bueno
230,natalia6974153@marmol.com,81339,2,Regular
231,Sr.alva715@wass.com,81349,4,Buena experiencia en general
232,Mariocarrion592@wass.com,81362,,
233,olivia1780401@outluc.com,81380,4,"Satisfecho, pero hay detalles por mejorar"
234,Déboracolón750@marmol.com,81395,,Aceptable
235,Déboracolón750@marmol.com,81397,2,Hubo varios problemas
236,julio865652@edubus.cal,81408,4,Me atendieron bien
237,ernesto9672607@viajesanma.com,81439,,Muy insatisfecho
238,Sta.malave268@tourket.com,81447,89,
239,Verónicamaya872@marmol.com,81458,20,Me atendieron bien
240,Juanhurtado841@edubus.cal,81468,5,Superó mis expectativas
241,sra.4815900@wass.com,81490,5,Sin duda volveré
242,sra.4815900@wass.com,81491,3,Podría mejorar
243,hesocr680@viajesanma.com,81498,,
244,hesocr680@viajesanma.com,81501,5,Servicio de primera
245,hesocr680@viajesanma.com,81504,,
246,stcrurch737@wass.com,,3,"Cumplió con mis expectativas, pero sin destacar"
247,,81542,53,Muy insatisfecho
248,jogrbr450@edubus.cal,81544,,
249,jogrbr450@edubus.cal,81547,,
250,Franciscaprado488@edubus.cal,,4,Me atendieron bien
251,elcece245@marmol.com,81583,63,Servicio regular
252,Pedrocontreras666@outluc.com,81596,2,No me convenció del todo
253,jogaes577@marmol.com,81608,,
254,sr.6831640@edubus.cal,81636,5,Muy satisfecho
255,guillermina1983172@edubus.cal,81660,4,Me atendieron bien
256,,81662,,
257,,81663,3,Aceptable
258,hugo1217548@outluc.com,81677,4,"Satisfecho, pero hay detalles por mejorar"
259,hugo1217548@outluc.com,81685,,
260,claudia8569766@viajesanma.com,81690,1,Muy insatisfecho
261,clemente3647232@marmol.com,81701,,
262,gucovi741@edubus.cal,,,
263,sr.8593595@viajesanma.com,81737,3,Aceptable
264,Esterbarreto257@marmol.com,81740,2,Regular
265,,81804,5,Superó mis expectativas
266,masoulca458@tourket.com,81827,,
267,Sr.agosto700@tourket.com,81834,,
268,Claudiareyna794@tourket.com,81839,,
269,visena471@viajesanma.com,81856,,
270,sra.4898493@marmol.com,81868,,
271,sancho9254644@outluc.com,81873,,
272,Sra.camacho100@tourket.com,81875,,
273,Julioarmas646@viajesanma.com,81900,,
274,Julioarmas646@viajesanma.com,81904,,
275,sra.1700165@marmol.com,81915,,Sin duda volveré
276,srjanees224@viajesanma.com,81918,2,No me convenció del todo
277,stmaeutile367@outluc.com,81928,3,Aceptable
278,stmaeutile367@outluc.com,81933,,
279,Alfredosaucedo875@tourket.com,81946,,
280,srmateorág301@tourket.com,81954,1,Pésimo
281,sr.8335809@wass.com,81971,,
282,maigle370@wass.com,81981,1,Pésimo
283,Samuelalmonte447@tourket.com,82001,,
284,gucovi741@edubus.cal,,1,Pésimo
285,dorotea2336994@edubus.cal,82032,3,Servicio regular
286,Reinagutiérrez890@marmol.com,82041,,
287,Raúlrendón304@viajesanma.com,82042,,
288,adán6345653@edubus.cal,82064,2,Hubo varios problemas
289,adán6345653@edubus.cal,82066,4,Buena experiencia en general
290,adán6345653@edubus.cal,82068,100,Podría mejorar
291,felipe5223170@outluc.com,82089,,
292,,82112,,
293,Alejandravilla382@outluc.com,82123,1,No vuelvo más
294,sra.6948808@edubus.cal,82140,4,Buena experiencia en general
295,srangafi126@tourket.com,82157,,
296,srangafi126@tourket.com,82161,5,Sin duda volveré
297,,82180,,
298,joemcava219@viajesanma.com,82181,2,No me convenció del todo
299,ramón5115143@edubus.cal,82184,3,Aceptable
300,elcona993@viajesanma.com,82189,,
301,elcona993@viajesanma.com,82196,,
302,isabel1825952@marmol.com,,,
303,,82247,2,Hubo varios problemas
304,víctor7118912@edubus.cal,82284,,
305,víctor7118912@edubus.cal,82287,,
306,,82297,3,Servicio regular
307,baquor997@wass.com,82332,,Hubo varios problemas
308,baquor997@wass.com,82336,,Sin duda volveré
309,Rosalianegrete921@marmol.com,82355,,
310,Davidestévez480@outluc.com,82387,,
311,Sta.bahena605@marmol.com,82392,,Pésimo
312,lopate290@wass.com,82394,,"Cumplió con mis expectativas, pero sin destacar"
313,lopate290@wass.com,82398,,
314,sta.4694344@outluc.com,82411,,
315,sta.4694344@outluc.com,,1,Muy insatisfecho
316,horoma820@marmol.com,82423,,
317,Sr.aguayo835@viajesanma.com,,,
318,somaco153@wass.com,,,
319,somaco153@wass.com,82442,,
320,magrga513@tourket.com,82449,,
321,srsopead321@viajesanma.com,82453,,
322,srsopead321@viajesanma.com,82465,,
323,Sta.terán104@edubus.cal,82497,,Sin duda volveré
324,rosario3566896@wass.com,82507,,
325,rosario3566896@wass.com,82509,,"Cumplió con mis expectativas, pero sin destacar"
326,lotogr954@edubus.cal,82518,57,Hubo varios problemas
24707,,,,
327,calafl552@marmol.com,82549,,
328,calafl552@marmol.com,82552,2,No lo recomendaría
329,sr.8028205@wass.com,82558,,
330,Albertozamora667@wass.com,,,
331,joemviri782@viajesanma.com,82582,,
332,roberto8863130@marmol.com,82595,,
333,roberto8863130@marmol.com,82596,2,Regular
334,Marcorivas892@edubus.cal,82609,,
335,Marcorivas892@edubus.cal,82610,5,Superó mis expectativas
336,Marcorivas892@edubus.cal,,4,Me atendieron bien
337,Blancaacevedo582@tourket.com,82622,2,
338,Blancaacevedo582@tourket.com,82623,,
339,Blancaacevedo582@tourket.com,82625,3,Aceptable
340,sta.2167693@outluc.com,,5,Sin duda volveré
341,Rosaliaespinal416@outluc.com,82661,,
342,marcos7824125@viajesanma.com,82682,,
343,marcos6031841@wass.com,82782,1,Pésimo
344,,82708,1,
345,sta.3731668@viajesanma.com,82709,4,Bueno
346,sta.3731668@viajesanma.com,82716,,
347,,82725,4,
348,sta.6908701@wass.com,82732,1,No vuelvo más
349,Bernardomagaña276@marmol.com,82763,,
350,Bernardomagaña276@marmol.com,82765,,
351,,82768,5,
352,Caridadvaldez497@wass.com,82773,3,
353,marcos6031841@wass.com,,56,Me atendieron bien
354,marcos6031841@wass.com,82777,,Malo
355,marcos6031841@wass.com,82779,2,Regular
356,marcos6031841@wass.com,82780,3,"Cumplió con mis expectativas, pero sin destacar"
357,srfeesce671@tourket.com,82786,,
358,srfeesce671@tourket.com,82792,,
359,sta.7696723@outluc.com,82809,55,Superó mis expectativas
360,Catalinamalave590@outluc.com,82821,,
361,Nataliabeltrán632@outluc.com,,4,"Satisfecho, pero hay detalles por mejorar"
362,disoes972@edubus.cal,82853,,
363,Sta.gómez547@wass.com,82855,,
364,Gonzalomiramontes254@wass.com,82878,,
365,Patriciagriego307@viajesanma.com,82892,1,Pésimo
366,maría6158390@tourket.com,82901,,
367,ancoca758@outluc.com,82919,5,Superó mis expectativas
368,,82920,4,Bueno
369,Santiagomadrid737@edubus.cal,82934,68,Servicio regular
370,Santiagomadrid737@edubus.cal,82937,,
371,maalsa159@edubus.cal,82961,3,"Cumplió con mis expectativas, pero sin destacar"
372,cecahi896@marmol.com,82963,,
373,Octavioordóñez469@viajesanma.com,82973,5,Muy satisfecho
374,,82993,2,Hubo varios problemas
375,,83007,4,
376,mefian457@wass.com,83009,,
377,mefian457@wass.com,83020,5,Excelente
378,mefian457@wass.com,83023,,
379,Claravela647@wass.com,83034,,
380,Claravela647@wass.com,83035,,
381,Claravela647@wass.com,,,Aceptable
382,Claravela647@wass.com,83044,1,Muy insatisfecho
383,Rosariogutiérrez813@tourket.com,83051,,Buena experiencia en general
384,Rosariogutiérrez813@tourket.com,,3,Aceptable
385,sterigle541@viajesanma.com,83058,,
386,sterigle541@viajesanma.com,83060,,
387,magdalena7353992@viajesanma.com,83076,4,Me atendieron bien
388,Timoteobernal673@tourket.com,83087,,Servicio regular
389,Timoteobernal673@tourket.com,83094,,Completamente decepcionado
390,,,1,Pésimo
391,Teodorooquendo446@wass.com,83117,,
392,youryb332@tourket.com,83127,,
393,Déborasolano286@marmol.com,83130,,
394,sebaca580@outluc.com,,1,Malo
395,Martínsegovia988@marmol.com,83138,4,Me atendieron bien
396,sra.8371668@tourket.com,83142,1,Malo
397,srmabeme159@marmol.com,83151,,
398,sra.4898493@marmol.com,,3,Servicio regular
399,looroq121@edubus.cal,,5,Muy satisfecho
400,looroq121@edubus.cal,83225,,
401,looroq121@edubus.cal,83227,,
402,dapael281@outluc.com,83249,,
403,dapael281@outluc.com,83255,,
404,Maríadelacrúz753@marmol.com,83257,,
405,maocpa190@marmol.com,83269,,
406,rubén9665405@viajesanma.com,83277,,
407,,83301,3,"Cumplió con mis expectativas, pero sin destacar"
408,sta.2056184@viajesanma.com,83331,2,No me convenció del todo
409,sta.2056184@viajesanma.com,83339,2,No me convenció del todo
410,,83341,5,Servicio de primera
411,Sr.alonzo115@outluc.com,,,
412,doagne287@edubus.cal,,2,No lo recomendaría
413,Gracielagarica981@edubus.cal,83388,,Muy satisfecho
414,Marisolsauceda149@viajesanma.com,83400,,
415,Marisolsauceda149@viajesanma.com,83401,,
416,,83409,,No me convenció del todo
417,jeneib340@tourket.com,83422,,
418,anita5838732@outluc.com,83437,13,
419,tecaap205@tourket.com,83451,,
420,Andrészarate452@marmol.com,83466,,
421,,83467,,
422,stclmuay716@viajesanma.com,83495,,Buena experiencia en general
423,magdalena5113521@outluc.com,83504,,
424,magdalena5113521@outluc.com,83506,,Sin duda volveré
425,magdalena5113521@outluc.com,83507,5,Superó mis expectativas
426,racefe642@marmol.com,83567,,Buena experiencia en general
427,racefe642@marmol.com,83568,,
428,racefe642@marmol.com,83575,,
429,Maríahinojosa247@wass.com,,40,Podría mejorar
430,loorur460@marmol.com,,,
431,niorbe979@viajesanma.com,83613,,
432,Jerónimonevárez456@edubus.cal,83644,,
433,Jerónimonevárez456@edubus.cal,83648,,
434,Maríamontes830@outluc.com,83703,,
435,laroab875@edubus.cal,,5,Servicio de primera
436,laroab875@edubus.cal,83765,,Muy insatisfecho
437,Maríagaytán831@marmol.com,83774,,
438,Maríagaytán831@marmol.com,,,
439,adméta645@edubus.cal,83779,1,No vuelvo más
440,,83784,,
441,adméta645@edubus.cal,83785,,
442,adméta645@edubus.cal,83788,3,"Cumplió con mis expectativas, pero sin destacar"
443,adméta645@edubus.cal,83789,43,Servicio de primera
444,caridad9349337@wass.com,83809,4,"Satisfecho, pero hay detalles por mejorar"
445,caridad9349337@wass.com,83810,3,"Cumplió con mis expectativas, pero sin destacar"
446,Leonorcovarrubias580@wass.com,83818,,
447,Estebanjiménez364@tourket.com,83821,3,
448,rosario2287575@outluc.com,83831,,
449,srluágmo560@edubus.cal,83865,,
450,,83874,,
451,Miguelabeyta172@wass.com,83880,5,Sin duda volveré
452,satece760@wass.com,83886,4,Me atendieron bien
453,sta.5648347@marmol.com,83899,1,Completamente decepcionado
454,maannúde825@edubus.cal,83910,5,Muy satisfecho
455,,83916,,
456,Fernandocortés200@wass.com,83924,,
457,Gloriaochoa381@tourket.com,83968,,
458,vípuor366@wass.com,83976,44,No vuelvo más
459,girelo892@viajesanma.com,83994,47,Buena experiencia en general
460,victoria4583868@tourket.com,83997,3,Podría mejorar
461,caolli626@edubus.cal,84002,5,Excelente
462,sr.5767805@edubus.cal,84011,,
463,galova384@marmol.com,84024,,
464,galova384@marmol.com,84031,,
465,,84032,4,Bueno
466,Nataliabeltrán632@outluc.com,84034,,
467,Arturomesa113@wass.com,84043,3,"Cumplió con mis expectativas, pero sin destacar"
468,Sanchorico265@wass.com,84046,,
469,Amaliabarrientos651@viajesanma.com,84048,,
470,Andreaguardado405@marmol.com,,,
471,,84096,1,Muy insatisfecho
472,margarita8382853@tourket.com,84117,,
473,Adrianasaldaña573@tourket.com,84132,5,Excelente
474,eloisa5952422@outluc.com,84152,,
475,pablo6068667@tourket.com,84159,,
476,Maríadelrío123@tourket.com,84204,45,Hubo varios problemas
477,,84226,2,Hubo varios problemas
478,gucovi741@edubus.cal,84239,,
479,david4168988@wass.com,84273,,
480,Gabrielajaramillo327@viajesanma.com,84285,4,"Satisfecho, pero hay detalles por mejorar"
481,Evalucero285@viajesanma.com,84310,2,No lo recomendaría
482,lovico890@tourket.com,84312,4,Me atendieron bien
483,lovico890@tourket.com,,5,Excelente
484,esrodean849@outluc.com,84319,,
485,felipe4857164@viajesanma.com,84361,,
486,Sta.becerra674@viajesanma.com,84365,,
487,Tomásadorno795@tourket.com,84371,2,No me convenció del todo
488,srlairar358@tourket.com,84378,,
489,srlairar358@tourket.com,84386,,
490,,84391,1,Completamente decepcionado
491,sr.8028205@wass.com,84393,1,Completamente decepcionado
492,sr.8028205@wass.com,84396,,
493,isabel1825952@marmol.com,84399,2,No me convenció del todo
494,Sta.urías548@edubus.cal,84417,,
495,diroti491@viajesanma.com,84427,5,Superó mis expectativas
496,gumoyb716@viajesanma.com,84435,93,Podría mejorar
497,césar4731601@tourket.com,84462,,
498,stmaraji901@marmol.com,84486,,Muy insatisfecho
499,stmaraji901@marmol.com,84489,,
500,Oliviajimínez246@marmol.com,84515,3,"Cumplió con mis expectativas, pero sin destacar"
501,,84522,,
502,ricardo1354495@tourket.com,84525,5,Servicio de primera
503,miguel6197540@edubus.cal,84540,4,Me atendieron bien
504,Sra.ávila253@tourket.com,84542,,
505,Sra.ávila253@tourket.com,84543,,
506,,84546,4,Bueno
507,Jaimelongoria236@viajesanma.com,84552,,
508,Sta.molina427@wass.com,84562,,
509,,84578,,
510,Mariogastélum767@tourket.com,,4,Buena experiencia en general
511,Mariogastélum767@tourket.com,,,
512,Mariogastélum767@tourket.com,84596,,"Satisfecho, pero hay detalles por mejorar"
513,pablo2519980@wass.com,84600,,
514,,84624,,
515,Horacioriojas705@outluc.com,84629,,
516,sra.9404690@tourket.com,84657,,
517,mónica8949391@wass.com,84675,,
518,estela8247925@wass.com,84681,3,Servicio regular
519,majobrha614@marmol.com,84730,,
520,Sanchoelizondo371@wass.com,84738,,
521,Sanchoelizondo371@wass.com,84740,4,"Satisfecho, pero hay detalles por mejorar"
522,,84745,3,Aceptable
523,silvia7626610@edubus.cal,84758,,
524,silvia7626610@edubus.cal,84761,1,No vuelvo más
525,racová412@tourket.com,84768,,
526,racová412@tourket.com,84770,,
527,Benitonaranjo830@marmol.com,,,"Satisfecho, pero hay detalles por mejorar"
528,iscagu257@outluc.com,84797,,
529,Sta.arenas800@tourket.com,84810,,
530,magagu212@tourket.com,84822,,
531,magagu212@tourket.com,,2,Hubo varios problemas
532,Marianaharo153@wass.com,84836,4,Buena experiencia en general
533,Rosaliaespinal416@outluc.com,84837,,
534,Lorenapulido788@marmol.com,84871,2,No lo recomendaría
535,Sr.alicea538@wass.com,,4,Me atendieron bien
536,Carolinaborrego238@marmol.com,84884,1,Pésimo
537,Carolinaborrego238@marmol.com,84891,,
538,srrotece660@tourket.com,84911,,
539,srrotece660@tourket.com,84914,,
540,Barbarasandoval905@tourket.com,84920,,
541,Sta.acevedo242@tourket.com,84948,2,No me convenció del todo
542,Sta.acevedo242@tourket.com,84949,5,
543,,84959,,
544,Ernestoalarcón507@wass.com,84963,2,No lo recomendaría
545,Beatrizríos487@marmol.com,85002,,
546,sta.1827748@outluc.com,85006,,
547,sta.1827748@outluc.com,85007,,
548,Rodrigoporras672@edubus.cal,85009,,Malo
549,clvame410@outluc.com,85025,2,Regular
550,adán9883672@marmol.com,85031,4,Buena experiencia en general
551,luroro823@edubus.cal,85037,69,Excelente
552,,85038,,
553,,85051,,
554,alpoba274@edubus.cal,85087,2,Regular
555,horacio8321895@wass.com,85099,,
556,salvador2969268@marmol.com,,3,Aceptable
557,salvador2969268@marmol.com,85103,,
558,salvador2969268@marmol.com,85104,3,"Cumplió con mis expectativas, pero sin destacar"
559,rodrigo4080516@viajesanma.com,85116,,Hubo varios problemas
560,dasoba734@viajesanma.com,,2,No me convenció del todo
561,guagde444@tourket.com,85143,,
562,Rodrigocervantes565@tourket.com,85151,,"Cumplió con mis expectativas, pero sin destacar"
563,Rociocórdova126@marmol.com,85176,3,"Cumplió con mis expectativas, pero sin destacar"
564,Rociojáquez262@outluc.com,,1,Malo
565,Rociojáquez262@outluc.com,85192,12,Aceptable
566,,85202,4,"Satisfecho, pero hay detalles por mejorar"
567,saarag430@edubus.cal,85207,,
568,Anacarranza533@viajesanma.com,85214,,
569,,85231,,
570,alejandra2758964@viajesanma.com,85235,,
571,Sta.ojeda672@wass.com,85240,,
572,emilio5826826@viajesanma.com,,1,No vuelvo más
573,emilio5826826@viajesanma.com,,1,Completamente decepcionado
574,emilio5826826@viajesanma.com,85262,,
575,Sr.tapia171@tourket.com,85269,1,Muy insatisfecho
576,Sr.tapia171@tourket.com,85271,1,No vuelvo más
577,Sr.tapia171@tourket.com,85272,3,Aceptable
578,froral734@tourket.com,85308,5,Muy satisfecho
579,froral734@tourket.com,85306,3,Servicio regular
580,sra.2732880@wass.com,85318,,
581,Raúlvalencia784@wass.com,85325,,
582,Sra.agosto600@marmol.com,85349,,
583,lola495177@tourket.com,85351,,Bueno
584,lola495177@tourket.com,85352,4,Me atendieron bien
