id_panorama,nombre,edad
78435,Alicia Gaona Olivo,22
78435,Marisol Páez Vergara,91
78435,Ariadna Bravo Abeyta,51
78435,María del Carmen Pérez Arguello,18
78436,Timoteo Arriaga Ortega,64
,Jorge Arce Saldaña,109
78436,Raúl Adame Delgado,70
78436,Manuela Perea Reyna,85
78436,Manuel Sepúlveda Almaraz,82
78436,Catalina Almaraz Collazo,93
78437,Guillermina Llamas Marín,93
78437,Cecilia Tamayo Aguayo,110
78437,Ramón Lozada Acuña,84
78437,Eva Calderón Romo,78
78437,,68
78437,César Bernal Quintero,106
78438,Benjamín Barela Mota,15
78438,,104
78438,Germán Tapia Cabán,
78438,Sr. Eduardo Flores Linares,76
78438,,
78438,Samuel Delgadillo Delagarza,-18
78443,,103
78443,,56
78444,Luz Jáquez Abreu,33
78444,Diana Dávila Raya,38
78444,Octavio Aguayo Alcaraz,82
78444,Lilia Esparza Mateo,22
78446,,52
78449,Sra. Berta Mercado Saldivar,100
78449,,75
78449,Concepción Aguayo Almaraz,61
78449,Ana Rendón Pérez,94
,Carmen Arguello Borrego,101
78449,Verónica Maestas Santiago,57
78449,Lorenzo Sáenz Lovato,30
78449,Gabriel Polanco Padrón,
78450,Elisa Villareal Méndez,84
78450,Lourdes Blanco Garay,-60
78450,Victoria Maldonado Puga,57
78450,,99
78450,Rebeca Garibay Deleón,64
78450,Sta. Silvia Valdivia Fonseca,57
78450,Alberto Calvillo Tirado,17
78450,Mario Nájera Irizarry,20
,Graciela Esquibel Pichardo,68
,,37
78458,Agustín Pagan Granados,43
78458,Leonor Godoy Oquendo,109
78458,Sra. Enrique Zepeda Serna,75
78458,Sr. César Echevarría Sauceda,-54
78458,Sra. Rubén Rodríquez Saldaña,92
78458,Sergio Ozuna Montañez,9
78458,Esperanza Meza Contreras,11
78458,Pablo Delarosa Jaramillo,80
78464,Sra. Lola Chapa Batista,9
78464,Irene Alaniz Delacrúz,31
78466,Lucas Bañuelos Valentín,51
78466,Jaime Negrete Calvillo,65
78469,Sr. Martín Terrazas Villarreal,-37
78469,Carlota Zavala Perales,110
78469,Marcela Cordero Avilés,98
78469,Ángela Rojo Lucero,
78469,Caridad Bañuelos Alicea,22
78469,Ramona Cerda Vallejo,100
78469,Gustavo Solorzano Olivera,51
78470,María Luisa Curiel Garza,93
78470,Lorenzo Caldera Rincón,17
,Eloisa Urías Atencio,54
78470,Vicente Villagómez Posada,99
78470,Conchita Delgado Polanco,-45
78470,Sta. Guadalupe Laureano Carrillo,64
78470,Jorge Luis Delapaz Sáenz,18
78471,Horacio Godínez Limón,107
78471,,94
,Vicente Villaseñor Camacho,88
78471,Barbara Salas Valle,
78471,Sta. Gabriel Gamez Vela,64
78471,,67
78471,,110
78477,,62
78477,Lorenzo Rosado Navarro,101
78479,Verónica Guevara Pichardo,3
78479,Pablo Rolón Bétancourt,13
78496,Florencia Matías Rosas,-64
78496,,13
78499,Sr. Mariana Mascareñas Palomo,94
78499,José Eduardo Dueñas Blanco,95
78499,Ariadna Serrato Ruelas,35
78499,Sr. Luis Miguel Flórez Tamez,13
78499,Federico Nava Roque,81
78499,Alfonso Aguirre Piña,63
78499,Sra. Claudio Muñoz Jaime,71
78499,Marisol Romero Canales,12
78499,Bernardo Nieves Chávez,94
,Andrea Haro Cotto,23
78503,,4
,Esteban Juárez Robledo,30
78504,,52
,Clemente Portillo Arredondo,54
78505,Sr. Hugo Vaca Zelaya,18
78505,Fernando Laureano Caballero,110
78505,Ariadna Gallardo Ceja,5
78505,Lorenzo Munguía Guardado,5
78505,Conchita Salcido Malave,31
78505,Sta. Gabriel Gastélum Balderas,83
78505,Sergio Paredes Carreón,65
78505,Yolanda Campos Griego,
78505,Leticia Solís Mayorga,91
,José María Montemayor Merino,43
78506,Elvira Villarreal Lozano,-105
,,8
78506,,6
,Sta. Guillermo Beltrán Heredia,55
78508,,109
78515,Sr. Magdalena Garza Gómez,87
78515,Teresa Lebrón Delacrúz,55
78515,Sta. Gloria Juárez Granados,106
78522,Manuel Orozco Espinosa,58
,Isabela García Borrego,77
78528,Pilar Guerrero Rascón,-68
78528,,27
,Mario Urrutia Villareal,24
78529,Alejandro Rosales Delarosa,-35
,Benjamín Gonzales Solorio,
78536,María Pichardo Ponce,95
78537,Cecilia Jaramillo Lara,-110
78538,Pedro Cornejo Barraza,87
78539,Laura Esquibel Palomo,4
78540,Gerardo Valadez Rosario,82
78541,Sra. Homero Ramírez Méndez,13
78546,Natalia Castellanos Estrada,85
78546,Dorotea Deleón Blanco,43
78546,Alberto Gaytán Agosto,37
78546,Gregorio Espinosa Concepción,36
78546,Sofia Farías Rangel,8
78546,Ana Luisa Tórrez Arteaga,18
78546,Sra. Catalina Calderón Barraza,43
78546,Mercedes Leiva Pabón,
,Sta. Martín Páez Salcido,60
78547,,54
78548,Sta. Lola Escobar Patiño,10
78548,Josefina Pérez Cavazos,66
78548,Sr. Adela Alva Verdugo,58
78548,Jacobo Cavazos Pagan,41
78548,Magdalena Fuentes Escamilla,76
78548,Nicolás Fajardo Valladares,66
78548,Sr. Soledad Velázquez Baca,25
78548,Carlos Hernández Mojica,13
78549,Lucas Vigil Armenta,95
,Verónica Arevalo Saavedra,
78549,Sta. Elena Ballesteros Roybal,70
78549,Horacio Saiz Holguín,104
,César Ojeda Valles,101
78549,Juan Carrera Valadez,26
78549,Graciela Sotelo Caraballo,105
,Fernando Valentín Peña,-25
78553,Laura Cabrera Fajardo,58
78553,,38
78553,Josefina Calderón Torres,87
78553,Cristobal Ortiz Alarcón,8
78553,Gloria Arredondo Arteaga,11
78553,Sr. Bernardo Araña Armas,53
78553,Sra. Marisol Rincón Torres,101
78553,Lorena Rodarte Rentería,73
78554,Clemente Reyes Rodrígez,
78554,Alfonso Quezada Valdivia,59
78554,Sra. Conchita Aguirre Armas,95
78554,Luis Miguel Farías Negrete,27
78554,Sra. Martín Nieves Cintrón,73
78554,Silvia Zaragoza Escobar,6
78554,Hernán Regalado Bahena,92
78554,Sra. Mariana Duran Casillas,108
,Dorotea Carrion Jáquez,
78555,Patricio Serrato Vélez,-86
78555,Daniela Guajardo Sanches,100
78555,Ángela Negrete Jimínez,57
78555,Concepción Zamora Loera,21
78555,María Cristina Gamez Santana,28
78555,Lucas Ávila Narváez,30
78555,Benjamín Nevárez Valenzuela,
78556,Carlos Corrales Salinas,-74
78556,Santiago Sarabia Franco,-105
78556,Timoteo Calvillo Rodrígez,88
78556,Florencia Fernández Carrasco,81
78556,Gabriela Montalvo Mena,76
78556,Guadalupe Botello Espinoza,28
78556,Sta. Norma Alcala Mojica,14
78556,Samuel Gaona Garibay,44
78571,Marta Ocampo Mercado,38
78577,Sta. Verónica Alarcón Razo,-6
78584,Daniela Barrera Alicea,43
78584,Ramón Valverde Granados,90
78584,Estela Mota Cadena,
78584,Benito Arroyo Batista,61
78584,Sta. Caridad Casares Vela,12
78585,Felipe Ceballos Soto,29
78585,Beatriz Burgos Herrera,64
78585,Sta. Isabel Preciado Lugo,37
78585,Ignacio Benítez Zarate,92
78585,Víctor Anaya Abrego,28
78588,,78
78594,Sonia Villarreal Valenzuela,-95
,Sta. Homero Delgado Terán,19
,Sra. Sara Sisneros Núñez,72
78601,Jorge Luis Marín Alcaraz,40
78601,Gloria Gamez Delatorre,8
,José María Aponte Pineda,105
,Irene Chapa Alicea,35
78606,,87
,María Elena Mendoza Zamora,
78608,,3
78608,José Luis Contreras Santana,34
78608,Felipe Garza Alanis,61
78792,,16
78608,Josefina Guerrero Delagarza,12
78608,Benito Ruiz Zepeda,28
78608,Clara Camacho Moreno,54
78612,Homero Salcedo Garza,-44
78616,Jorge Cortez Gil,72
78616,Sr. Berta Urrutia Delagarza,92
78616,Daniel Martínez Preciado,85
78616,Vicente Vélez Parra,10
78616,Patricio Guevara Cardona,61
78617,Sra. Pablo Ramón Villanueva,8
78617,Elisa Frías Agosto,31
78617,Lorena Montoya Salgado,32
78617,,63
,Blanca Rodarte Collazo,94
78618,Mariana Ozuna Salas,22
78618,Luisa Valadez Balderas,104
78618,Carolina Limón Vélez,52
78618,María Soledad Hernández Nazario,99
78618,Octavio Paredes Juárez,60
78619,Sofia Cantú Posada,52
78619,Ramiro Vera Orosco,52
,Florencia Mena Morales,-63
78619,Cristian Leal Rubio,-13
78619,Sr. José Luis Solorio Figueroa,60
78620,Mercedes Jiménez Aguayo,10
78620,Alejandra Gollum Muñiz,68
78620,Ramón Magaña Velásquez,73
78620,Gregorio Ulibarri Montes,58
78620,Francisca Acosta Espinal,35
78621,Lucia Lozada Molina,13
78621,Daniela Rivera Urías,89
78621,Manuela Saldivar Holguín,-108
78621,Blanca Palacios Regalado,76
78621,Inés Cordero Carmona,14
,Alejandro Montero Arias,93
78629,,28
,,104
78629,Ramón Delatorre Yáñez,39
78629,,56
,Claudia Angulo Villegas,61
78632,Berta Monroy Alaniz,32
78632,Verónica Jimínez Santacruz,46
78632,Sra. Elsa Cantú Sauceda,4
78636,Julia Cabán Serna,89
78636,Lucia Estévez Quesada,21
78636,David Prieto Pérez,96
78636,,74
78639,Sta. Cecilia Rendón Munguía,24
78639,Sta. Irene Zaragoza Hernandes,48
78639,Luis Archuleta Samaniego,41
78640,Tomás Casares Padrón,97
78640,Roberto Montalvo Rael,57
78640,Óscar Robles Bustos,68
78641,José Eduardo Iglesias Espinosa,
78641,Sta. Irene Vaca Enríquez,104
78641,Alejandra Chávez Ballesteros,46
78644,Nicolás Valle Irizarry,47
78644,Adán Pabón Vásquez,68
78644,Olivia Menchaca Ceja,47
78645,Lucia Posada Zambrano,45
,Ricardo Barrera Díaz,63
78645,,108
78650,Luz Duarte Muro,88
78650,Miguel Ángel Roybal Linares,71
78650,Sr. Carlos Tovar Estrada,96
78650,Benito Segura Jaramillo,47
78650,María Teresa Lomeli Quiroz,5
78650,Sr. José María Luevano Mejía,57
78650,Teresa Anaya Serna,18
78651,Teodoro Roque Segura,90
78651,Josefina Quesada Olivares,110
78651,Fernando Maya Gamboa,57
78651,Gregorio Castillo Vigil,20
78651,Sta. Daniel Limón Parra,
78651,Marta Gil Pichardo,62
78651,Sta. Homero Cano Magaña,107
78653,Sra. César Casas Sedillo,-15
,Andrés Rodríquez Elizondo,71
78656,Horacio Cabán Orozco,-30
78656,,83
,Sta. Elvira Bravo Hinojosa,96
,Miguel Limón Mendoza,88
78657,,97
78658,,7
78658,Raquel Baca Valencia,-110
78658,,44
,Irene Frías Verduzco,78
78659,Gonzalo Duran Barrientos,8
78659,Teresa Tejada Sevilla,12
78659,Ramona Sotelo Chavarría,100
78659,Daniel Elizondo Barreto,
78659,Roberto Romero Caraballo,97
78659,Carmen Córdova Arevalo,108
78659,Manuel Garza Zúñiga,21
78660,Isabela Delarosa Bahena,43
78660,María José Domínquez Cintrón,-78
78660,Alejandro Salas Luna,49
78660,,76
,Sra. Claudio Bueno Mota,69
78660,,107
78660,Rosa Valladares Carmona,101
78661,Jesús Salas Fernández,30
,Ana Laureano Carranza,17
78661,Jesús Trujillo Maldonado,39
78661,Sra. Mercedes Gaytán Polanco,35
78661,Sra. Esperanza Armenta Barela,18
78661,Eloisa Mateo Carvajal,75
78661,Sra. Esperanza Terrazas Jurado,13
,Julio Chacón Vanegas,75
78664,Sta. Eloisa Heredia Rosado,39
78664,Gustavo Garica Pedraza,9
78665,Nicolás Barreto Puente,41
78665,Benjamín Villareal Ramón,85
78665,Fernando Toro Benavídez,58
78666,Sta. Federico Mejía Nevárez,65
,Sta. Gregorio Sarabia Ceballos,72
78666,Virginia Batista Olivera,20
78671,Santiago Irizarry Aguayo,
78671,,19
78671,Mayte Calvillo Montez,9
78671,Gerardo Guerrero Correa,41
78672,Débora Saavedra Ontiveros,94
78672,Juana Toledo Hernández,16
78672,Sr. Arturo Menéndez Piña,108
78672,Rubén Feliciano Laboy,21
78673,Sr. Ariadna Serna Valencia,73
78673,Ana Robledo Villarreal,94
78673,Marilu Barragán Matos,63
78673,Martín Pagan Casas,-78
,Sr. Arturo Vélez Tapia,91
78674,Sr. Graciela Banda Alva,77
78674,Sergio Ozuna Sanabria,75
78674,Mateo Flores Arroyo,91
78675,Alejandro Alcaraz Nieves,15
79407,,98
78675,Sta. Ana Santacruz Flores,110
78675,Ángela Farías Soliz,16
78675,Felipe Mojica Valle,110
78678,Teresa Ruelas Cuellar,110
78678,Andrea Chávez Casas,9
78678,Mario Sisneros Blanco,90
78678,Carmen Olivo Olivares,19
78679,Juan Carlos Rincón Leyva,82
78679,Jacobo Niño Lucero,45
78679,María Concepción Viera,53
78679,Julio César Miranda Olivárez,9
78682,Hugo Macías Llamas,56
78682,Natalia Canales Ibarra,40
78682,Sta. César Ornelas Delarosa,5
78682,Sr. Víctor Alcántar Uribe,90
78682,Marcos Peralta Lucio,50
78683,Dorotea Jaime de Jesús,80
78683,,9
78683,Estela Corrales Tamayo,12
,Vicente Maya Canales,60
,Sra. Claudia Cotto González,71
,Cristina Quiñones Fernández,84
78689,Sta. Patricia Barragán Cavazos,93
78689,Alejandro Arellano Olivo,14
78689,Sta. Ricardo Delvalle Muro,64
78689,Sra. Jorge Benavides Peralta,31
78689,Gonzalo Banda Apodaca,58
78692,Adán Armendáriz Delgado,
78693,,27
78694,Raquel Escamilla Cabán,15
78697,Vicente Reyes Gracia,74
78698,Carla Valladares Rosas,
78699,Martín Corona Castro,74
78700,Jacobo Alicea Villarreal,48
78701,Sr. Daniel Anaya Riojas,
78702,Raquel Garay Carrasco,29
78732,,66
78708,,77
78708,,39
,Sta. Verónica Alanis Quiroz,36
78709,Horacio Collazo Quintanilla,-86
,María Teresa Luna Rodarte,
78711,Catalina Rodarte Matías,-31
78714,,39
78721,Antonia Paz Razo,14
,Bernardo Guillen Lerma,39
78721,Diego Bustamante Santana,61
78721,Teodoro Casas Velásquez,97
78721,Guadalupe Mondragón Padilla,54
78722,Sr. Isabela Saldivar Córdova,66
78722,Rosalia Salcedo Padrón,22
78722,Rebeca Salazar Sisneros,90
78722,Micaela Carranza Dueñas,110
78722,Débora Rosado Barrientos,25
78724,Blanca Delarosa Granados,24
78724,Ramiro Grijalva Mares,102
78724,Octavio Briones Alarcón,101
78724,Elisa Vélez Limón,106
78724,Jerónimo Avilés Alanis,103
78725,Víctor Carrera Casares,63
78725,Armando Alvarez Chapa,19
78725,,74
,Sr. Jesús Barrera Gracia,51
78725,Sta. Fernando Ferrer Cedillo,24
,Julio César Luna Madera,63
78731,,23
78738,Lorena Cruz Puga,6
78738,Jesús Heredia Nazario,13
78739,Esteban Toledo Cadena,
78739,Ana María Haro Negrón,34
78740,Manuela Camarillo León,37
78740,Verónica Núñez Rael,23
78741,Sta. Benito Cabán Barela,35
,Sta. Francisca Delao Hernández,96
78744,Guadalupe Urrutia Ureña,99
78744,Luz Méndez Maya,64
78745,Sta. Susana Riojas Madrid,79
78745,David Muñiz Castillo,65
78746,María José Banda Benítez,109
78746,Sr. Arturo Montez Camarillo,13
78747,Patricio Porras Guzmán,12
78747,Eloisa Arredondo Sandoval,17
78750,,-34
78750,Mayte Agosto Frías,16
78751,Sergio Apodaca Caballero,12
78751,Reina Maestas Enríquez,105
78752,Carla de Anda Polanco,45
78752,Nicolás Berríos Uribe,69
78753,Sra. Arturo Banda Villareal,32
78753,Federico Olivárez Ozuna,47
78754,Tomás Menchaca Borrego,110
78754,Agustín Escobar Arredondo,107
78755,Sta. Diego Melgar Bustos,68
78755,,90
78763,Teodoro Delrío Barela,
78763,Beatriz Negrón Curiel,93
78763,Fernando Zamora Marroquín,55
78764,Eduardo Véliz Farías,
78764,Raúl Sauceda Salcedo,108
78764,Santiago Alemán Ocasio,83
78765,Carla Guerra Arredondo,44
78765,Gabriel Rojas Palomo,22
78765,Miguel Griego Holguín,100
78766,Eduardo Tamez Bustamante,93
78766,Sr. Alejandra Rael Matías,96
78766,Sta. Antonia Negrón Salcedo,16
,Sta. Gloria Márquez Chavarría,110
78767,Rebeca Brito Gamboa,29
78767,Catalina Ávila León,8
78770,Agustín Tejeda Jaramillo,-34
78770,Inés Candelaria Fonseca,53
78770,Daniel Duran Cuellar,60
78771,Carla Tovar Cruz,96
,Pedro Perea Carrasco,97
,Guillermo Fuentes Cotto,77
78776,Sta. María Luisa Sotelo Franco,15
78776,Carlos Galarza Quesada,81
78776,Ana María Mireles Agosto,71
78776,Sr. Salvador Polanco Sedillo,105
78776,Javier Salcedo Soliz,104
78776,Cristian Tijerina Sauceda,-45
,Agustín Arroyo Chávez,95
78781,Sonia Acosta Irizarry,-12
78781,Óscar Adorno Cerda,75
78781,Jacobo Paz Villanueva,18
78781,Ana María Maestas Salcedo,100
78781,Jaime Sotelo Espino,19
78781,José Emilio Henríquez Posada,40
78782,,52
,María Eugenia Peña Estrada,15
78785,,44
78789,Sr. Federico Gracia Henríquez,-106
,Elena Abreu Ramos,109
,Vicente Roybal Matías,94
78793,Arturo Verdugo Marrero,87
78793,Sra. Jesús Saavedra Parra,68
78793,Sra. Estela Prieto Riojas,7
,Fernando Delagarza Feliciano,88
78793,Mateo Deleón Garica,105
78793,Sra. Joaquín Olvera Medrano,99
78793,,102
78793,Francisca Matos Baeza,78
78798,Elvira Sierra Heredia,17
78798,Marco Antonio Armenta Zavala,26
78798,Timoteo Godínez Cavazos,109
78798,Blanca Hurtado Sánchez,42
78798,Catalina Gil Valdez,11
78798,César Jaime Tafoya,16
78799,Gonzalo Anaya Leyva,64
78799,Mateo Barraza Villanueva,105
78799,Sr. María Cristina Serrano Navarrete,8
78799,Sr. Esperanza Sauceda Bustamante,71
78799,Sta. Gabriela Duran Longoria,28
78799,,34
78801,,31
78804,Octavio Heredia Escobedo,19
78804,Olivia Perea Delacrúz,63
78804,Guillermo Santillán Anaya,75
,Sr. Eloisa Llamas Pacheco,-10
78804,María del Carmen Villalobos Guevara,90
78804,Octavio Preciado Hurtado,
78805,Alberto Alcántar Espinosa,-49
78806,,67
78806,Martín Riojas Maestas,-48
78807,,106
,Diana Vargas Varela,73
78812,,8
78813,Ramiro Batista Amaya,38
78813,Olivia Ledesma Monroy,53
78813,Patricio Cadena Casárez,25
78813,Miguel Ángel Puga Estévez,68
78813,Sr. Federico Deleón Aranda,53
78813,Sra. Olivia Pulido Ureña,96
78813,Sta. Miguel Paredes Riojas,4
78813,Carolina Barraza Vergara,61
78813,Francisco Niño Abrego,13
,Clara Armas Tejada,11
78814,Blanca Alejandro Montañez,-68
78817,Antonia Guerra Soto,75
78817,Patricio Cuellar Quintero,10
,Jorge Luis Duran Alaniz,103
78826,Sra. María Eugenia Madrid Lebrón,28
78826,Susana Acuña Meza,-54
78826,Blanca Colón Rodríguez,54
78826,Patricio Márquez Valdivia,100
78826,Lucia Pedroza Peres,53
78826,Sancho Valdivia Baca,26
78826,Sr. Juana Contreras Orozco,99
78826,Carmen Garibay Estrada,21
78826,Gilberto de Anda Pacheco,47
78826,Ana Águilar Ruiz,13
78827,Santiago Concepción Navarrete,35
78827,Yolanda Solorio Arguello,27
78827,Mateo Almaraz Escobedo,93
78827,Rubén Nieto Ceja,18
78827,Luz Segura Flores,109
78827,Mayte Luna Rodrígez,13
78827,Guadalupe Pagan Quintero,70
78827,Javier Villagómez Estrada,10
78827,Clemente Romo Velasco,84
78827,Alicia Bustos Granado,47
,Joaquín Ceja Frías,38
78833,Andrea Lomeli Casárez,104
78833,Yolanda Gracia Barajas,39
,Irene Alarcón Ávila,92
78833,Francisca Tafoya Garay,-10
78833,Sancho Valadez Adorno,71
78833,José María Polanco Urrutia,101
78833,Sra. Teodoro Figueroa Contreras,29
78833,Julio César Anaya Negrón,64
78833,,107
78833,Pilar Guzmán Mayorga,56
78845,Mayte Niño Barragán,18
,Isabela Corral Pérez,21
78845,Irene Sanabria Jasso,108
78845,Silvia Tello Núñez,98
78845,Sr. Gerardo Zambrano Heredia,61
78845,Sta. Alicia Jaimes Alicea,102
78845,Sergio Serrato Valdés,15
78845,Ramiro Delagarza Gracia,55
78845,Silvia Serrato Delapaz,101
78846,Sra. Alejandra Candelaria Camacho,84
78846,Elena Valle Sandoval,
78846,Rodrigo Galván Corral,65
,Julio Arias Solano,72
78846,Adriana Castro Rojo,98
78846,Gilberto Gastélum Nava,
78846,Sr. Cecilia Lerma Gracia,58
,Sra. Germán Chávez Mesa,-87
78846,Sr. Julio Laboy Hidalgo,19
78848,Verónica Coronado Mercado,59
78848,Rodrigo Chapa Covarrubias,
78848,Marcela Brito Almaraz,25
78848,Sr. Estela Benavides Rivero,56
78848,Sta. Benjamín Ochoa Espino,35
78848,Vicente Henríquez Olivares,103
78848,Adela Pelayo Castañeda,89
78848,,53
78848,Ramona Corral Gamez,9
,Lilia Valdés Montaño,67
78854,Patricio Montoya Merino,18
78854,Sr. Natalia Cedillo Montoya,44
78854,Sra. Alfonso Lucero Mora,62
78854,Felipe Rosario Arenas,95
78855,Sta. Catalina Zúñiga Cerda,55
78855,Guadalupe Polanco Corral,43
78855,Sofia Araña Reséndez,8
78855,Sr. Rosa Navarrete Pérez,56
78855,José Luis Parra Valadez,16
78856,Ramiro Casas Adorno,75
78856,María Soledad Mena Galarza,19
78856,Marcela Menchaca Varela,104
,Teodoro Merino Valles,55
78856,José Emilio Anguiano Garza,56
78857,Sr. Guillermina Pulido Naranjo,74
78857,,22
78857,Natalia Benavides Vargas,83
78857,Magdalena Maya Ballesteros,40
78857,José Luis Collado Apodaca,20
78864,,31
78866,Jacobo Montoya Hinojosa,-11
78867,Marcos Curiel Patiño,19
78867,Sr. Luis Miguel Salas Burgos,71
78867,Laura Medina Zepeda,74
78867,Jesús Badillo Villalpando,83
78867,Graciela Martínez Esparza,29
78870,Clara Godínez Ochoa,81
78870,Luis Cotto Medrano,54
78870,,58
78870,Sra. Rubén Cervántez Baca,65
78870,Jorge Luis Medina Casares,95
78870,,13
78870,Rosa Almaraz Villareal,13
78886,Alfonso Ureña Alfaro,-75
78887,,34
,Sr. Marta Macías Valverde,57
78892,Carlota Leyva Zamora,98
78892,Carlos Anguiano Corral,83
78892,Sta. Silvia Rubio Cortés,81
78896,Sra. Raúl Cerda Delarosa,75
78896,Luisa Blanco Tapia,25
78896,Lorena Jurado Delarosa,81
78896,Caridad Romo Aparicio,
78896,Daniel Negrete Fajardo,39
78896,Sra. Juana Corona Escamilla,5
78896,Yolanda Tovar Castro,-87
78899,Jaime Ayala Mendoza,38
78899,Claudio Feliciano Medina,
78899,Felipe Anguiano Velázquez,89
78899,Sra. Luis Bañuelos Perales,104
78899,Alfonso Romo Saiz,17
78899,Carmen Cavazos Castillo,81
78899,Mayte Archuleta Villalpando,56
78903,Marcela Bueno Mena,96
78903,Sr. Homero Almonte Barrientos,20
78903,,74
78903,Gloria Montez Serrano,80
78903,Lola Ureña Bonilla,28
78903,,64
78903,Jerónimo Peralta Fernández,48
,Mónica Miramontes Alarcón,34
78904,,79
,Barbara Matos Salcido,20
78904,Jerónimo Márquez Carreón,-90
78905,Ignacio Carvajal Cerda,-96
,Ernesto Quintanilla Palomino,84
,Juan Carlos Marroquín León,47
78915,Sr. Sergio Delgado Rosado,103
78915,Cecilia Narváez Espinal,-101
78915,Alicia Arevalo Torres,76
78917,Sra. Laura Delgado Delvalle,79
78917,Verónica Banda Orozco,69
78917,Ana Luisa Calvillo Loera,74
78918,Jorge Luis Aranda Canales,55
78918,Graciela Paredes Llamas,18
,Alejandro Ledesma Gutiérrez,3
78919,Gregorio Castellanos Mejía,-35
,Adriana Rivera Preciado,
78922,Sancho Fuentes Balderas,12
78922,Alfredo Santana Garica,-95
78922,Lilia Candelaria Esparza,13
78922,Manuel Ureña Menéndez,56
78922,Arturo Carvajal Montaño,25
78922,Sra. Marilu Cantú Mata,45
78922,Mateo Delao Feliciano,
78923,María del Carmen Riojas Esparza,78
78923,Maricarmen Alvarado Cotto,37
78923,Laura Godínez Espinal,-82
78923,Mónica Carrasco Tamez,18
78923,Tomás Cornejo Iglesias,106
78923,Bernardo Balderas Delacrúz,76
,Alejandro López Jaime,18
78923,Sta. Joaquín Armenta Villareal,63
78924,Salvador Luna Vallejo,92
78924,Jacobo Banda Fuentes,80
78924,Marta Olivas Abeyta,78
78924,Clara Gurule Villa,104
78924,Maricarmen Balderas Cruz,20
78924,Sr. Eva Cruz Fernández,110
78924,Débora Nájera Robles,18
78924,Luis Oquendo Gómez,3
,Sr. Eva Salcedo Gurule,63
78933,María del Carmen Montalvo Palomo,70
78933,Arturo Pantoja Delarosa,18
78933,Ramiro Llamas Piña,82
78933,Andrés Santana Rivera,63
78933,Gonzalo Jasso Concepción,12
78934,,80
78934,Sta. Gregorio Cortez Romero,45
78934,,40
78934,Enrique Orosco Solorzano,61
78934,Joaquín Aguayo Venegas,49
78934,Sra. Soledad Flórez Alvarez,
78935,,95
,Rafael Narváez Domínguez,97
78936,,58
78937,Reina Barrios Saiz,42
78937,Anita Mesa Roque,-60
78937,Sancho Santiago Nieto,20
78937,Dorotea Alanis Laboy,4
78937,Sancho Estrada Hidalgo,50
78937,Sr. Lourdes Agosto Luevano,105
78938,Víctor Gracia Villegas,14
,Sra. Ester Arguello Olivárez,67
78938,Elsa Estévez Valdivia,31
78938,Martín Santana Robledo,70
78938,Esteban Hidalgo Crespo,52
78938,Adela Montez Calderón,7
78945,Hernán Salgado Correa,23
78945,Victoria Garza Vega,41
78945,Manuela Miranda Rangel,50
78945,Gustavo Patiño Guevara,62
78945,Luis Miguel Loya Castañeda,60
78945,Jesús Muro Carrasco,63
78945,César Gamez Rosado,83
78945,Sr. Alberto Esparza Galindo,76
,Sr. José María Fernández Rael,53
78947,Óscar Guerra Cruz,-34
78948,Luis Miguel Madera Maestas,
78948,Dorotea Arguello Apodaca,45
78948,Sra. Irene Quintanilla Carvajal,76
78948,Jorge Luis Villagómez Villegas,26
