id,correo_usuario,reserva_id,valor,clausula,empresa,tipo
24,Sta.cardenas262@viajesanma.com,,42000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
25,sra.1772343@outluc.com,79054,12000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
26,sr.5323939@outluc.com,79098,45000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
27,sr.5323939@outluc.com,79100,91000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Responsabilidad Civil
28,srmatoro508@wass.com,79137,,,,
29,Liliacolunga414@tourket.com,79148,25000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",,
30,sressoga952@tourket.com,79190,,,,
31,,79191,93000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Vida Cámara S.A.,Seguro de Equipaje y Efectos Personales
32,Cristinalaboy646@outluc.com,79192,,,,
33,juan5231635@marmol.com,79238,47000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",MetLife Chile Seguros de Vida S.A.,Seguro por Demoras en el Viaje
34,Sta.arenas800@tourket.com,79278,,,,
35,alejandra4698273@wass.com,79402,9000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Seguros Generales Suramericana S.A.,Seguro de Interrupción del Viaje
36,Franciscosantiago432@outluc.com,,,,,
37,ana570903@edubus.cal,79591,9000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",HDI Seguros S.A.,Seguro por Demoras en el Viaje
38,,79594,45000,"Cobertura de medicamentos recetados, Evacuación y repatriación sanitaria",BICE Vida Compañía de Seguros S.A.,Seguro de Asistencia Médica
39,Hernánespino970@edubus.cal,79603,,,,
40,claudia8569766@viajesanma.com,79625,,,,
41,grzama501@wass.com,,,,,
42,srtobeal705@outluc.com,79715,,,,
43,vídere636@edubus.cal,79727,78000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro por Demoras en el Viaje
44,Susanaserrato707@outluc.com,79730,38000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
45,mónica8395890@wass.com,79813,,,,
46,mónica8395890@wass.com,79814,56000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",Confuturo S.A.,Seguro de Equipaje y Efectos Personales
47,mónica8395890@wass.com,79818,31000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Confuturo S.A.,
48,concepción7470878@wass.com,79842,,,,
49,concepción7470878@wass.com,79843,56000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Cancelación de Viaje
50,virginia2661573@tourket.com,79868,,,,
51,edhina669@viajesanma.com,79921,99000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",Seguros Generales Suramericana S.A.,Seguro de Interrupción del Viaje
52,Manuelcarrion396@outluc.com,79984,,,,
53,Manuelcarrion396@outluc.com,79987,99000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",HDI Seguros S.A.,Seguro por Demoras en el Viaje
54,srjoemroze756@outluc.com,79997,24000,,MetLife Chile Seguros de Vida S.A.,Seguro por Demoras en el Viaje
55,gregorio8360443@wass.com,80046,56000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",Consorcio Nacional de Seguros Vida S.A.,Seguro de Responsabilidad Civil
56,Germánpelayo635@outluc.com,80062,,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",BICE Vida Compañía de Seguros S.A.,Seguro por Demoras en el Viaje
57,Germánpelayo635@outluc.com,80067,35000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",Vida Cámara S.A.,Seguro de Responsabilidad Civil
58,lumidejegr954@edubus.cal,,,,,
59,laarpe870@tourket.com,80153,88000,"Cobertura por pérdida, robo o daño de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Seguros Generales Suramericana S.A.,Seguro de Equipaje y Efectos Personales
60,pedro635524@marmol.com,80173,48000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Seguros Generales Suramericana S.A.,Seguro de Interrupción del Viaje
61,daniel1491180@viajesanma.com,80232,32000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
62,Sr.rivas330@outluc.com,80235,19000,"Cobertura de artículos electrónicos bajo ciertos límites, Indemnización por retraso en la entrega de equipaje",Consorcio Nacional de Seguros Vida S.A.,Seguro de Equipaje y Efectos Personales
63,Sr.rivas330@outluc.com,80243,,,,
64,Martazepeda699@edubus.cal,80328,95000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
65,stcrurch737@wass.com,,67000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",Seguros Generales Suramericana S.A.,Seguro de Asistencia Médica
66,sranmoac645@marmol.com,80386,,,,
67,sranmoac645@marmol.com,80387,,,,
68,Germánpelayo635@outluc.com,80412,32000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura de penalidades por cambio de vuelo",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
69,ana8305224@wass.com,80420,45000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",Seguros Generales Suramericana S.A.,Seguro de Responsabilidad Civil
70,patricia2243343@tourket.com,80441,,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
71,,80463,,,,
72,Isabeltreviño375@edubus.cal,80515,74000,,Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
73,essaca988@tourket.com,80555,,,,
74,,80561,83000,"Asistencia para reemplazo de documentos de viaje perdidos, Indemnización por retraso en la entrega de equipaje",BICE Vida Compañía de Seguros S.A.,Seguro de Equipaje y Efectos Personales
75,alfama854@outluc.com,80580,54000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",Vida Cámara S.A.,Seguro por Demoras en el Viaje
76,eva9441686@viajesanma.com,80590,,,,
77,Octavioroldán829@edubus.cal,80612,7000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",MetLife Chile Seguros de Vida S.A.,Seguro de Asistencia Médica
78,germán7896769@wass.com,80697,,,,
79,sta.2056184@viajesanma.com,80702,79000,"Cobertura por pérdida, robo o daño de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Renta Nacional Compañía de Seguros Generales S.A.,
80,,80727,,,,
81,,80745,93000,"Cobertura de penalidades por cambio de vuelo, Cobertura por cancelaciones debido a desastres naturales o disturbios",Consorcio Nacional de Seguros Vida S.A.,Seguro de Cancelación de Viaje
82,sra.1772343@outluc.com,80761,96000,"Cobertura de artículos electrónicos bajo ciertos límites, Asistencia para reemplazo de documentos de viaje perdidos",Consorcio Nacional de Seguros Vida S.A.,Seguro de Equipaje y Efectos Personales
83,sra.1772343@outluc.com,80764,,,,
84,berta455677@outluc.com,80787,56000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",Seguros Generales Suramericana S.A.,Seguro por Demoras en el Viaje
85,srinmoca501@viajesanma.com,80795,,,,
86,ocsaso237@outluc.com,,46000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",BICE Vida Compañía de Seguros S.A.,Seguro por Demoras en el Viaje
87,joaquín6801476@tourket.com,80829,,,,
88,joaquín6801476@tourket.com,80832,,,,
89,Luisportillo880@marmol.com,80892,47000,"Hospitalización y cirugías de emergencia, Cobertura de medicamentos recetados",MetLife Chile Seguros de Vida S.A.,Seguro de Asistencia Médica
90,Luisportillo880@marmol.com,80895,,,,
91,sra.3720171@viajesanma.com,80917,,,,
92,sra.3720171@viajesanma.com,,,,,
93,esteban6021415@edubus.cal,81020,11000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",MetLife Chile Seguros de Vida S.A.,Seguro de Responsabilidad Civil
94,esteban6021415@edubus.cal,81022,,,,
95,esteban6021415@edubus.cal,81026,32000,"Cobertura de gastos médicos por enfermedad o accidente, Hospitalización y cirugías de emergencia",HDI Seguros S.A.,Seguro de Asistencia Médica
96,Salvadorpalacios290@viajesanma.com,81069,99000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",Vida Cámara S.A.,Seguro por Demoras en el Viaje
97,Analomeli512@outluc.com,81167,95000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Responsabilidad Civil
98,Sra.cantú510@edubus.cal,81186,,,,
99,visaca599@outluc.com,81209,24000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Asistencia Médica
218,,83990,,"Cobertura de medicamentos recetados, Hospitalización y cirugías de emergencia",,Seguro de Asistencia Médica
12507,,,,,,
100,juan4715798@outluc.com,81235,13000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",Consorcio Nacional de Seguros Vida S.A.,Seguro de Interrupción del Viaje
101,Ignacioceja226@viajesanma.com,,,,,
102,sta.5368684@edubus.cal,81254,100000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Liberty Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
103,sta.5368684@edubus.cal,81255,,,,
104,guadalupe9639467@tourket.com,81268,46000,"Cobertura de artículos electrónicos bajo ciertos límites, Indemnización por retraso en la entrega de equipaje",BICE Vida Compañía de Seguros S.A.,Seguro de Equipaje y Efectos Personales
105,horacio4338693@tourket.com,81277,,,,
106,jucasa710@tourket.com,81290,53000,,Consorcio Nacional de Seguros Vida S.A.,Seguro de Cancelación de Viaje
107,jacobo6193596@outluc.com,,,,,
108,,,85000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",,Seguro de Responsabilidad Civil
109,Mariocarrion592@wass.com,81362,,,,
110,Ricardogallegos900@viajesanma.com,81400,76000,,Consorcio Nacional de Seguros Vida S.A.,Seguro por Demoras en el Viaje
111,sra.4815900@wass.com,,25000,"Cobertura de penalidades por cambio de vuelo, Cobertura por cancelaciones debido a desastres naturales o disturbios",Confuturo S.A.,
112,Luismota517@outluc.com,81516,58000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura de penalidades por cambio de vuelo",,Seguro de Cancelación de Viaje
113,,81521,54000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
114,stcrurch737@wass.com,81529,64000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Vida Cámara S.A.,Seguro de Responsabilidad Civil
115,jogrbr450@edubus.cal,81544,,,,
116,jogrbr450@edubus.cal,81547,,,,
117,Franciscaprado488@edubus.cal,81558,5000,"Indemnización por retraso en la entrega de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",Consorcio Nacional de Seguros Vida S.A.,Seguro de Equipaje y Efectos Personales
118,jogaes577@marmol.com,81608,,,,
119,,81662,,,,
120,hugo1217548@outluc.com,81685,,,,
121,clemente3647232@marmol.com,81701,,,,
122,gucovi741@edubus.cal,,,,,
123,ariadna715708@marmol.com,81769,85000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Responsabilidad Civil
124,siaypa710@viajesanma.com,81791,20000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
125,arbago102@marmol.com,81812,88000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",BICE Vida Compañía de Seguros S.A.,Seguro de Cancelación de Viaje
126,Sr.agosto700@tourket.com,81834,,,,
127,Claudiareyna794@tourket.com,81839,,,,
128,sra.4898493@marmol.com,81870,54000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",MetLife Chile Seguros de Vida S.A.,Seguro de Asistencia Médica
129,stmaeutile367@outluc.com,81933,,,,
130,Alfredosaucedo875@tourket.com,81946,,,,
131,srmateorág301@tourket.com,81964,68000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",HDI Seguros S.A.,Seguro de Interrupción del Viaje
132,saveal718@tourket.com,81987,26000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
133,Reinagutiérrez890@marmol.com,82041,,,,
134,Raúlrendón304@viajesanma.com,82042,,,,
135,felipe5223170@outluc.com,82089,,,,
136,,82112,,,,
137,sta.4933899@tourket.com,82134,34000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
138,,82180,,,,
139,isabel1825952@marmol.com,82197,46000,"Asistencia para reemplazo de documentos de viaje perdidos, Indemnización por retraso en la entrega de equipaje",,Seguro de Equipaje y Efectos Personales
140,isabel1825952@marmol.com,,,,,
141,germán7298769@outluc.com,82267,50000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro por Demoras en el Viaje
142,víctor7118912@edubus.cal,82284,,,,
143,víctor7118912@edubus.cal,82287,,,,
144,Rosalianegrete921@marmol.com,82355,,,,
145,lopate290@wass.com,82398,,,,
146,sta.4694344@outluc.com,82411,,,,
147,horoma820@marmol.com,82423,,,,
148,Sr.aguayo835@viajesanma.com,,,,,
149,somaco153@wass.com,,,,,
150,magrga513@tourket.com,82449,,,,
151,srsopead321@viajesanma.com,82465,,,,
152,Sta.terán104@edubus.cal,82495,80000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
153,Albertozamora667@wass.com,,,,,
154,roberto8863130@marmol.com,82595,,,,
155,roberto8863130@marmol.com,82600,6000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
156,Marcorivas892@edubus.cal,82609,,,,
157,Blancaacevedo582@tourket.com,82623,,,,
158,raampa918@marmol.com,82632,96000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Confuturo S.A.,Seguro de Responsabilidad Civil
159,graciela1787859@tourket.com,82636,33000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",BICE Vida Compañía de Seguros S.A.,Seguro de Responsabilidad Civil
160,,82647,24000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",,
449,gigrme282@wass.com,90172,,,,
450,,,,,,
12508,,,,,,
161,,82662,19000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",,Seguro de Cancelación de Viaje
162,marcos7824125@viajesanma.com,82682,,,,
163,rodrigo6562850@edubus.cal,82684,6000,,MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Responsabilidad Civil
164,sta.3731668@viajesanma.com,82716,,,,
165,srfeesce671@tourket.com,,77000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",,Seguro de Interrupción del Viaje
166,srfeesce671@tourket.com,82792,,,,
167,srfeesce671@tourket.com,82796,40000,"Evacuación y repatriación sanitaria, Cobertura de gastos médicos por enfermedad o accidente",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Asistencia Médica
168,disoes972@edubus.cal,82853,,,,
169,Sta.gómez547@wass.com,82855,,,,
170,Sta.gómez547@wass.com,82857,34000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",HDI Seguros S.A.,Seguro por Demoras en el Viaje
171,Cristianpalomino925@wass.com,82872,7000,,HDI Seguros S.A.,Seguro de Interrupción del Viaje
172,Gonzalomiramontes254@wass.com,82878,,,,
173,francisca9727560@marmol.com,82908,91000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",HDI Seguros S.A.,Seguro de Asistencia Médica
174,cecahi896@marmol.com,82963,,,,
175,mefian457@wass.com,83009,,,,
176,mefian457@wass.com,83018,34000,"Cobertura por pérdida, robo o daño de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Equipaje y Efectos Personales
177,mefian457@wass.com,83023,,,,
178,Claravela647@wass.com,83035,,,,
179,Mónicareséndez326@viajesanma.com,83069,34000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Confuturo S.A.,Seguro de Cancelación de Viaje
180,Timoteobernal673@tourket.com,,90000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",Seguros Generales Suramericana S.A.,Seguro de Responsabilidad Civil
181,youryb332@tourket.com,83127,,,,
182,youryb332@tourket.com,83128,43000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",BICE Vida Compañía de Seguros S.A.,Seguro de Interrupción del Viaje
183,Déborasolano286@marmol.com,83130,,,,
184,srmabeme159@marmol.com,83151,,,,
185,sra.4898493@marmol.com,,64000,"Cobertura de medicamentos recetados, Cobertura de gastos médicos por enfermedad o accidente",BICE Vida Compañía de Seguros S.A.,Seguro de Asistencia Médica
186,micaela196704@outluc.com,,12000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",Confuturo S.A.,Seguro por Demoras en el Viaje
187,,83187,,,HDI Seguros S.A.,Seguro de Interrupción del Viaje
188,savaam408@wass.com,83229,12000,"Asistencia para reemplazo de documentos de viaje perdidos, Indemnización por retraso en la entrega de equipaje",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Equipaje y Efectos Personales
189,dapael281@outluc.com,83255,,,,
190,rubén9665405@viajesanma.com,83277,,,,
191,jucasa710@tourket.com,83287,19000,"Cobertura de gastos médicos por enfermedad o accidente, Cobertura de medicamentos recetados",,Seguro de Asistencia Médica
192,escapa296@viajesanma.com,83303,19000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
193,escapa296@viajesanma.com,83308,65000,"Indemnización por retraso en la entrega de equipaje, Cobertura por pérdida, robo o daño de equipaje",Vida Cámara S.A.,
194,sta.2056184@viajesanma.com,83342,61000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",BICE Vida Compañía de Seguros S.A.,Seguro por Demoras en el Viaje
195,Sr.alonzo115@outluc.com,,,,,
196,Gracielagarica981@edubus.cal,83391,98000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
197,Marisolsauceda149@viajesanma.com,83400,,,,
198,Marisolsauceda149@viajesanma.com,83401,,,,
199,,83467,,,,
200,magdalena5113521@outluc.com,83504,,,,
201,Marcotejeda365@viajesanma.com,83526,,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",Confuturo S.A.,Seguro de Asistencia Médica
202,sta.4222658@outluc.com,83532,83000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Responsabilidad Civil
203,loorur460@marmol.com,,,,,
204,Jerónimonevárez456@edubus.cal,83644,,,,
205,Jerónimorosas255@viajesanma.com,83755,97000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro por Demoras en el Viaje
206,Maríagaytán831@marmol.com,,,,,
207,,83784,,,,
208,Leonorcovarrubias580@wass.com,83818,,,,
209,rosario2287575@outluc.com,83831,,,,
210,maocpa190@marmol.com,83843,83000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro por Demoras en el Viaje
211,Sergiopérez925@marmol.com,83847,15000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro por Demoras en el Viaje
212,,83857,44000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",HDI Seguros S.A.,Seguro de Cancelación de Viaje
213,,83874,,,,
214,,83916,,,,
215,srjamuag493@wass.com,83929,24000,,HDI Seguros S.A.,Seguro de Responsabilidad Civil
216,,83980,5000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
217,,83982,57000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",HDI Seguros S.A.,Seguro de Cancelación de Viaje
219,girelo892@viajesanma.com,83992,31000,"Cobertura de artículos electrónicos bajo ciertos límites, Asistencia para reemplazo de documentos de viaje perdidos",Consorcio Nacional de Seguros Vida S.A.,Seguro de Equipaje y Efectos Personales
220,caolli626@edubus.cal,84006,,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",HDI Seguros S.A.,Seguro de Responsabilidad Civil
221,sr.5767805@edubus.cal,84011,,,,
222,galova384@marmol.com,84024,,,,
223,galova384@marmol.com,84031,,,,
224,Nataliabeltrán632@outluc.com,84034,,,,
225,Arturomesa113@wass.com,84042,8000,,,Seguro de Asistencia Médica
226,Amaliabarrientos651@viajesanma.com,84048,,,,
227,Andreaguardado405@marmol.com,,,,,
228,Germánbriseño409@viajesanma.com,84085,56000,"Cobertura de penalidades por cambio de vuelo, Reembolso por cancelaciones laborales imprevistas",Confuturo S.A.,Seguro de Cancelación de Viaje
229,Germánbriseño409@viajesanma.com,84086,27000,"Cobertura de artículos electrónicos bajo ciertos límites, Cobertura por pérdida, robo o daño de equipaje",Confuturo S.A.,Seguro de Equipaje y Efectos Personales
230,Germánbriseño409@viajesanma.com,84091,23000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",Consorcio Nacional de Seguros Vida S.A.,
231,Germánbriseño409@viajesanma.com,84092,28000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",BICE Vida Compañía de Seguros S.A.,Seguro de Cancelación de Viaje
232,margarita8382853@tourket.com,84117,,,,
233,eloisa5952422@outluc.com,84152,,,,
234,pablo6068667@tourket.com,84159,,,,
235,srguaral557@wass.com,84192,31000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",MetLife Chile Seguros de Vida S.A.,Seguro de Cancelación de Viaje
236,srguaral557@wass.com,84199,9000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
