nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Horacio Brito Mondragón,Horaciomondragón671@viajes.cl,FoV4CKKB9d,Horaciomondragón620,+56 9 6309 3594,23119308,,Diurno,Colmena,Part time,1
Salvador Tafoya Valencia,satava538@marmol.com,L69cINeI5,satava439,+56 2 8922 5784,14407817,1282,,,,9
Ana María Solorzano Ledesma,anmasole255@marmol.com,d3KBs54QTV,Analedesma879,+56 9 4970 0391,14398569,-4451,,,,5
César Alejandro Beltrán,céalbe602@outluc.com,,,+56 9 6507 6863,16378798,23868,,,,9
Esteban Rojas de Anda,esrodean849@outluc.com,8Z0QJ1eMWWPzCx7,esrodean545,+56 9 6162 9540,29815907,25663,,,,4
Mario Terán Ocasio,Marioocasio558@tourket.com,ow2XRdO8xQrvkTe,mario1581363,+56 9 9188 3122,,15988,,,,
Luis Miguel Arguello Ulibarri,Luisulibarri495@outluc.com,JeMxFC8fkq1mTe4,,+56 2 5805 7964,10145933,0,,,,0
Silvia Ayala Paredes,siaypa710@viajesanma.com,nfHIet8dE292,Silviaparedes473,+56 9 0288 4765,,4413,,,,
Adela Estévez Valadez,Adelavaladez917@viajes.cl,5ZEiEB18DVgg7,adesva669,+56 9 1658 2783,,,Diurno,Colmena,Part time,
Elena Puente Rascón,,RT8qvA2pt,Elenarascón584,+56 9 2903 1620,22030988,0,,,,6
Agustín Rodríguez Covarrubias,agroco155@viajes.cl,KJmninb93iIEb,Agustíncovarrubias398,+56 2 4355 6453,23752105,,Diurno,Consalud,Part time,6
Yolanda Grijalva Solorio,yolanda9740504@tourket.com,5O8pCJepAj3rV,Yolandasolorio101,+56 9 7038 6484,21259319,6620,,,,2
Federico Segura Gonzales,Federicogonzales535@edubus.cal,Vjj6aFZDzV2dV,,+56 2 1541 6895,,5184,,,,
Timoteo Casas de Anda,timoteo7741506@viajes.cl,8aEsBCGEdq,ticadean651,+56 2 3950 7465,,,Nocturno,Banmédica,Part time,
Sr. Pablo Solorio Olivera,srpasool693@edubus.cal,7pqKcEWwhKaYD,Sr.olivera464,+56 2 1746 8469,1148395,1164,,,,K
Rafael Solorzano Guzmán,rasogu224@viajes.cl,59JkacjCp,rasogu744,+56 2 5714 6119,1284257,,Diurno,Fonasa,Part time,0
José María Cazares Olivárez,jomacaol823@viajes.cl,wt6zSATIrc,jomacaol279,+56 2 5533 8763,13025266,,Diurno,Colmena,Part time,4
Daniel Tovar Orozco,daniel9564115@viajes.cl,rSDU5LZVyiZ530Dp,datoor784,+56 9 9961 8616,10188544,,Nocturno,Colmena,,5
Sra. Sancho Maya Rentería,Sra.rentería193@wass.com,xCxr0y0SN7,sra.1284367,,,0,,,,
Roberto Delvalle Merino,roberto6254109@viajes.cl,,roberto652719,+56 9 2830 7539,-28550826,,Nocturno,,Full time,6
Alejandro Ramos Gálvez,alragá795@marmol.com,wtvcEf7ArJbXy,Alejandrogálvez870,+56 9 8179 0592,27334479,,,,,9
Rubén Palacios Urrutia,Rubénurrutia461@viajesanma.com,IHXcQk4W6O,rubén4669176,+56 9 9465 9295,18765288,5496,,,,K
Sra. Joaquín Rocha Aguirre,sra.4187466@outluc.com,,sra.6621384,+56 2 5101 8962,2016612,0,,,,6
,starlovi445@viajesanma.com,QMLOzccrm7hU1C2,starlovi826,+56 2 1161 2098,10263947,6846,,,,2
Hugo Figueroa Dávila,,4LhChSdTO5LjaHLX,Hugodávila664,,25261641,16003,,,,1
Beatriz Sandoval Molina,beatriz6030988@wass.com,B2ZkrAAX,Beatrizmolina770,+56 2 7975 8365,28932616,0,,,,2
Ricardo Olmos Otero,,pJjwf4wkeYHDto8b,Ricardootero102,,20454407,9800,,,,7
Yolanda Berríos Amaya,yobeam796@outluc.com,Aekl9V5v,Yolandaamaya752,+56 9 4325 1893,25917143,5742,,,,1
Joaquín Quesada Terán,joaquín5779688@edubus.cal,kVY4I98IyQB,joqute474,+56 9 3166 0414,6217823,0,,,,K
Clemente Cazares Dávila,Clementedávila394@wass.com,kuCkuF9p,clcadá870,+56 2 5325 7108,12881824,0,,,,3
Sta. Margarita Chávez Quiñónez,,xXL2bzjPsAziLfft,Sta.quiñónez514,+56 2 1690 7131,6194219,0,,,,K
Juana Cotto Valle,jucova846@wass.com,k3t1IGxLYlY,juana8108812,+56 9 7705 7602,8449259,10127,,,,0
Claudia Cuellar Briseño,clcubr185@tourket.com,,clcubr871,+56 9 3779 6622,17386340,0,,,,3
Ana María Ordóñez Ibarra,ana168390@viajes.cl,e1Rqo4oPNR7okJsi,anmaorib399,+56 9 3275 7794,21245655,,Nocturno,,Part time,1
Rodrigo Márquez Pizarro,romápi821@outluc.com,KXx7L3264qyOU9,romápi412,+56 2 6429 1205,15773690,10130,,,,6
Conchita Ávalos Muñiz,,ZOXg3UhguN17jj5W,coávmu849,+56 9 5905 4230,6949938,,Diurno,Colmena,Full time,4
Sta. Beatriz Ureña Calderón,sta.6372483@wass.com,f052qmOV,Sta.calderón925,+56 2 4737 0091,3197907,0,,,,2
Juan Carlos Rangel Herrera,,47w4MMlWe0Y,jucarahe651,+56 9 5445 8998,10308907,,Diurno,Colmena,Part time,7
Eloisa Navarrete Angulo,elnaan603@marmol.com,IdVvwfNiSpLHOl8L,elnaan850,+56 9 0283 0253,18788444,9950,,,,6
Sr. Teresa Arreola Orta,Sr.orta737@tourket.com,bYCtWRW7NC89bqeD,sr.1685200,+56 2 6082 9251,14760771,3680,,,,7
Sr. Ángela Ocampo Zayas,sránocza476@viajes.cl,3AHQ5hr5,Sr.zayas958,+56 2 4292 4598,710952,,Nocturno,Colmena,Full time,0
Sara Coronado Pelayo,sacope302@edubus.cal,D3086REYignWrT,,+56 2 0787 1570,28699422,-706,,,,9
Sta. Luz Robles Maya,Sta.maya232@tourket.com,iSwknp97E8G,stluroma285,+56 9 9941 3401,24930696,5673,,,,7
Sra. Esperanza Zapata Ortiz,sreszaor222@edubus.cal,pq7amRaGWW,sra.6735429,+56 9 9121 6907,25810653,4263,,,,9
Sra. Raúl Quintanilla Aranda,srraquar307@viajesanma.com,iPKmehP87BPo,srraquar508,+56 9 5114 3887,-26603194,0,,,,7
Sra. José Luis Saucedo Espinoza,Sra.espinoza743@outluc.com,ybJw8QWZTl8idoRZ,srjolusaes958,+56 2 0877 5639,14187322,5184,,,,9
Elsa Crespo Villalpando,Elsavillalpando941@viajes.cl,H6M7qLG5m,Elsavillalpando465,+56 2 2866 5111,5524282,,Nocturno,Más vida,Part time,8
Jorge Alicea Concepción,Jorgeconcepción562@outluc.com,U3pUPAN2e8s,Jorgeconcepción432,+56 2 5340 8052,25208119,22708,,,,4
Claudia Serna Pichardo,clsepi736@viajes.cl,9dnlBquXQG7,Claudiapichardo392,+56 9 9988 6738,20193189,,Nocturno,Banmédica,Part time,4
Sr. Ramiro Cortez Zamora,sr.4154206@viajes.cl,5ZcZgfr0Rz,sr.1164210,,28707987,,Diurno,Banmédica,Part time,7
,,N3NMwwntJTp55m,maría377164,+56 2 6394 6518,20340678,0,,,,9
Tomás Cornejo Adorno,Tomásadorno795@tourket.com,xwu3Vx2KvlHUS5K,tomás1082449,+56 9 4559 4159,14924591,29268,,,,K
Lucas Peña Almonte,lupeal718@viajes.cl,Wf50uEo3NLXMfg,Lucasalmonte986,+56 2 8332 2553,19396780,,Nocturno,Consalud,,9
Sr. Javier Aranda Jaime,srjaarja449@marmol.com,FAtjeEvJc22L,srjaarja976,+56 9 8481 9190,2535701,10414,,,,9
Ana Duarte Jáquez,ana8383232@tourket.com,5NG0gOQq,Anajáquez186,+56 9 0010 2610,-15097621,22804,,,,9
Sra. Adán Delao Guevara,sra.9489774@viajes.cl,CgxupkUUvcG53S,sra.9118895,+56 9 4711 1810,16680382,,Diurno,Fonasa,Part time,9
Juan Carlos Cortés Alaniz,,M8PopqxB,Juanalaniz456,+56 2 6775 6779,6365109,3773,,,,5
Laura Loera Reséndez,laura7467553@edubus.cal,OylAfT9cJjE,lalore208,+56 9 1017 0003,11006057,,,,,2
Luz Montañez Casillas,lumoca977@wass.com,N2va140UzQZH,luz5150894,,23979277,1269,,,,4
Pedro Varela Nieves,pedro2380727@tourket.com,5JrW9f5SxFi36X,Pedronieves447,+56 9 5393 4879,26660729,13766,,,,6
,,ld30kRYw,Teresaflórez761,+56 2 1088 1794,10990638,6378,,,,7
Martín Saldivar Lara,Martínlara796@wass.com,OZ3qX1g7A,masala872,+56 2 1136 3107,360197,2103,,,,8
Luisa Márquez Bermúdez,lumábe240@viajesanma.com,1mlRUNMX9w,luisa2791123,+56 9 4717 7911,5431874,0,,,,K
Gilberto Carrasco Soria,Gilbertosoria980@viajes.cl,2a1VX4nNeest,Gilbertosoria580,+56 9 2199 9808,10970262,,Nocturno,Colmena,Part time,5
Ángela Berríos Alba,Ángelaalba718@viajesanma.com,aFQ1XeKP,ánbeal178,,9409857,3164,,,,2
Marilu Rivas Avilés,,Ce4Avna2mk9HNZw,mariav146,+56 2 8261 5154,-19126049,,Diurno,Fonasa,Full time,K
Sta. Homero Solorzano Navarro,sthosona654@tourket.com,78K1wMYLqUOWym,sthosona910,+56 9 1997 2555,16573393,0,,,,2
Cristian Lira Arguello,crliar308@viajesanma.com,ZxA8eDvHyoq,cristian7229945,+56 2 0065 4079,11797741,0,,,,2
Alejandro Parra Zavala,alpaza322@outluc.com,zYzL5VgZGia,alejandro1564688,+56 2 9192 0145,4248324,0,,,,9
Florencia Rivera Menéndez,Florenciamenéndez180@marmol.com,S5G3nlqA,florencia687672,+56 2 9833 5968,-26541556,4994,,,,3
Lucas Apodaca Ferrer,Lucasferrer412@outluc.com,5uNcM8ldmQ,Lucasferrer600,+56 2 2489 6344,17869014,10558,,,,0
Amalia Arreola Carrillo,Amaliacarrillo783@viajesanma.com,DBYWX4bQYuoum,Amaliacarrillo404,+56 2 4189 4485,20289289,2820,,,,2
Dorotea Mejía Acevedo,dorotea2336994@edubus.cal,tQzS7VLNuV5i0cCm,dorotea1524736,+56 2 5388 6045,11796100,,,,,1
Juan Carlos Carrera Terrazas,jucacate176@tourket.com,Uxk0uVBKI,Juanterrazas209,+56 9 4376 1672,11976567,5589,,,,6
Lorena Sevilla Rojo,losero995@viajesanma.com,3W1pYvKJ,losero389,+56 9 9355 2955,1012366,,,,,6
Esteban Oquendo Guevara,esteban1628932@outluc.com,7pYexkUi,Estebanguevara964,,15908392,848,,,,6
Raquel Cazares Robledo,raquel6455489@edubus.cal,sF2kDV4x2I,,+56 9 4861 1181,27445347,4224,,,,8
Fernando Acevedo Vásquez,feacvá813@viajes.cl,8ii2qpI9BvsQdb1,Fernandovásquez253,+56 9 2395 3055,11961604,,Nocturno,Banmédica,Full time,2
Octavio Córdova Varela,Octaviovarela475@tourket.com,X10slt1HXp5AIg,Octaviovarela851,+56 2 6891 0665,226155,5061,,,,3
Sta. Victoria Camacho Rodrígez,stvicaro967@viajes.cl,mO3PDFD7V7Jip,sta.8669640,+56 9 5177 0454,,,Diurno,Fonasa,Full time,
Eva Mata Cepeda,Evacepeda737@edubus.cal,1zFS74vX2,evmace692,+56 2 7051 7043,29265642,,,,,4
Nicolás Parra Villalobos,nipavi377@edubus.cal,8CbKsG5EFo,Nicolásvillalobos619,+56 9 0573 8626,2300926,13952,,,,9
Juan Carlos Acevedo Barreto,juan3970653@edubus.cal,OFNpLD58FwOF,Juanbarreto654,+56 2 2411 3942,14624313,11102,,,,4
Sergio Ledesma Esquivel,sergio7457862@tourket.com,4jGz2qfVau1,sergio3952580,+56 9 2798 8654,19105198,0,,,,K
Débora Grijalva Serrano,Déboraserrano711@edubus.cal,CHcE1xIX8j,débora4074112,+56 2 3621 7182,657775,591,,,,K
María del Carmen Mata Peralta,madecamape194@viajesanma.com,K2cXHtKKwjh7yRzV,maría9787144,+56 9 1233 3298,28259208,-43202,,,,8
Leonor Urrutia Calvillo,leonor2290253@marmol.com,64G6Trbk0oN,leurca572,+56 9 0326 8782,-25689751,8712,,,,2
Víctor Palomo Macías,vípama583@viajes.cl,91X5uio0qq8,Víctormacías696,+56 2 2639 8913,10054876,,Diurno,Más vida,Full time,3
Guillermina Zamudio Tovar,guillermina9251831@edubus.cal,NfjhGMVo0DtJ49,guillermina8139193,+56 2 5403 4992,13893708,14878,,,,9
Sra. Susana Ruiz Ponce,sra.1334886@marmol.com,,srsurupo186,+56 9 0109 3141,,12226,,,,
Sr. Sara Tafoya Delrío,sr.3433158@viajesanma.com,jG1SPtguA5,sr.3669499,+56 9 8221 7232,9809784,0,,,,8
Ariadna Naranjo Gálvez,Ariadnagálvez137@marmol.com,m5UhLKx6d5DpvcHY,ariadna4684296,+56 2 5924 6865,12720991,0,,,,K
Ernesto Moya Navarro,Ernestonavarro302@viajes.cl,INrNCJIL7Yb0E,Ernestonavarro978,+56 2 7320 7210,5831554,,Diurno,Colmena,Part time,0
Emilio Orellana Olivárez,emilio9564568@edubus.cal,Q0ocI3dC,emorol519,+56 2 4906 2941,20888373,0,,,,9
Sr. Ramona Orosco Sáenz,sr.4903927@viajes.cl,hkeI6OnTA5SuSCqy,Sr.sáenz495,+56 2 3878 5887,4725381,,Diurno,Colmena,Part time,0
Victoria Báez Dueñas,victoria8736123@marmol.com,S6EYd1Rq,vibádu596,+56 9 2682 5016,24400895,2219,,,,K
Germán Riojas Rivas,Germánrivas719@wass.com,l0868CVoKZnT5k,geriri630,+56 9 0082 7572,17075078,3109,,,,0
Graciela Corral Montañez,graciela726552@outluc.com,m7fWrqT2Jtq9,grcomo301,,8039914,0,,,,6
Reina Rivas Rosario,reina1002348@wass.com,,reriro210,+56 2 4724 5262,17363300,7333,,,,9
Sra. Alejandro Montenegro Limón,sra.9186560@outluc.com,KMzN0KJ7YtI,sralmoli618,+56 2 2217 7887,2932943,6873,,,,5
Sra. Salvador Carreón Bueno,sra.1385508@viajesanma.com,h5kGfA8Ky,srsacabu460,+56 2 2904 2034,7838115,7588,,,,9
Patricia Palomino Adame,Patriciaadame600@viajes.cl,N5DkZkzbGC,papaad535,+56 2 6976 7083,-13672787,,Nocturno,Fonasa,Part time,7
Sta. Mariano Gallegos Iglesias,stmagaig212@outluc.com,oQP3Ralm0i6lOGMu,sta.9072502,+56 2 1773 8776,8093035,23631,,,,6
Rosa Escobedo Delgadillo,rosa6148769@tourket.com,2thTGzi6tBz9T,Rosadelgadillo959,+56 2 7556 2507,24457716,0,,,,4
Miguel Guzmán Lebrón,miguel3924625@edubus.cal,5RkIyx4oAINxMe,miguel945474,+56 9 7756 2167,5963628,0,,,,6
,Lucasfernández994@wass.com,TQl8ZvjrpFjmXln2,Lucasfernández957,+56 9 7279 3752,-7839402,0,,,,1
Óscar Hernández Zambrano,ósheza630@viajes.cl,,ósheza687,+56 9 7656 0208,9072998,,Diurno,Colmena,Part time,5
Leonor Molina Granado,,r0LmGcYIMxn5,,+56 9 4697 5495,3824246,2187,,,,6
Sra. Claudia Quiñónez Sánchez,Sra.sánchez672@outluc.com,Y3CA3IDgFjvj3,Sra.sánchez385,+56 9 8894 7961,26389295,,,,,K
Anita González Acevedo,angoac972@viajes.cl,zCUeIWGib6756b,anita278408,+56 9 2062 3139,9940474,,Nocturno,Fonasa,Full time,4
Julia Menchaca Anguiano,julia5060345@viajes.cl,pCQM3a06SgrLw,julia9439635,+56 2 3364 0671,24885000,,Diurno,Más vida,Part time,0
Sta. Mayte Ordóñez Arenas,stmaorar895@tourket.com,RFyL8I53flyTE5K,Sta.arenas199,+56 9 3584 6072,4235544,0,,,,5
Federico Montero Saldaña,Federicosaldaña402@tourket.com,Hj0dOF2y,femosa713,+56 9 6804 8335,23670343,8626,,,,6
María Teresa Tijerina Valencia,maría4022366@marmol.com,TgagXkFfZ4,Maríavalencia295,+56 9 2713 7445,28661271,18377,,,,7
Antonio Barajas Narváez,antonio5143423@viajes.cl,dl7SLivz,Antonionarváez896,+56 2 0204 9982,12574439,,Nocturno,Banmédica,Full time,7
Alfonso Laureano Avilés,alfonso860574@tourket.com,bEoe7OLxRf4P55ZH,allaav584,+56 9 7845 5372,12601250,0,,,,0
Sara Muñiz León,,LxWTy49xbV74GhI,sara5449654,+56 2 3762 6277,7713558,0,,,,8
,ariadna8670327@outluc.com,T4XPUJWFYw3UY,ariadna9687685,+56 9 5728 8087,23918243,0,,,,7
Teresa Rojo Zamora,teresa1918326@outluc.com,MB5b7NavnVv,Teresazamora501,+56 2 6089 4740,25874787,0,,,,9
María Luisa Rosario Leyva,maría836291@marmol.com,,malurole167,+56 2 0334 5087,14585169,0,,,,6
Emilia Aranda Cintrón,emarci670@edubus.cal,FCSt971B2,Emiliacintrón830,+56 2 4049 0429,6731491,,,,,3
Hernán Burgos Hernández,hernán9175520@edubus.cal,bmLna6MPs,hernán9463251,+56 2 2247 1388,14714658,2084,,,,2
Horacio Bañuelos Fajardo,hobafa743@edubus.cal,auaHmz6gILiOh,Horaciofajardo391,+56 9 6038 8039,28389142,4340,,,,9
Mariano Navarrete Linares,manali180@viajes.cl,6GPMu5WZvx,Marianolinares110,+56 9 4012 3527,18733620,,Nocturno,Fonasa,Full time,1
Pablo Cervántez Alcaraz,pablo1161196@viajes.cl,C1VwQeE5uAZCqXgW,Pabloalcaraz453,+56 2 0427 9828,16598559,,Diurno,Consalud,Part time,1
,caveto330@wass.com,9PnMMot5VJXFlTYm,carolina4884585,+56 2 8500 1178,29825092,0,,,,6
Mariano Bravo Quintanilla,Marianoquintanilla475@viajesanma.com,N8qwN5VSc,mariano9729633,+56 9 6749 0504,15432294,0,,,,9
Sta. Gerardo Lovato Cabán,Sta.cabán461@tourket.com,T2F3Tbcp,stgeloca434,+56 9 0220 9502,6048418,23166,,,,K
María del Carmen Polanco Ortega,maría8658580@wass.com,dCFiTscwr5TH6SA,Maríaortega474,+56 2 3923 4241,22745384,8947,,,,2
José María Valencia Villegas,Josévillegas181@viajesanma.com,1JXl5i6X8avSaG,Josévillegas171,,9243107,27925,,,,K
Verónica Casárez Rodrígez,verónica1481805@viajes.cl,mTBDOV3jNtNo0,vecaro880,+56 9 7472 6950,4122017,,Nocturno,Consalud,Full time,1
Federico Robledo Valentín,ferova525@viajes.cl,criWWj3hInq0cy,ferova846,+56 2 9650 2430,1999756,,Diurno,Fonasa,Full time,1
Salvador Samaniego Campos,,jIyzirA32HQTDl,Salvadorcampos949,+56 2 7346 9326,8241240,5966,,,,9
Ramón Saldivar Arredondo,ramón5115143@edubus.cal,etQEcufhA7qpUQ,rasaar469,+56 2 8303 5513,29680422,,,,,3
Ricardo Garrido Aguilera,,Q6AJ8q0FzRGwaMQp,ricardo2474929,+56 9 9391 5210,4479646,,Diurno,Fonasa,Part time,5
Federico Solano Gaona,fesoga241@wass.com,Y3bSkRCtkfIM,fesoga402,+56 9 4689 4140,20715270,3768,,,,6
Sra. Francisco Gaytán Angulo,Sra.angulo414@marmol.com,80s5U0XvG7NFPWw,Sra.angulo543,+56 2 7772 1309,2628684,0,,,,0
Gonzalo Colunga Vergara,gonzalo1079651@viajes.cl,M43tIekCE,gonzalo2205430,+56 2 0439 9217,4906880,,Nocturno,Consalud,Part time,8
Agustín Ibarra Trujillo,agustín3885216@wass.com,pq0vryTnOOCp4x,agibtr668,+56 2 4829 3107,7620641,0,,,,4
Sr. Alfredo Escamilla Segovia,sralesse716@viajesanma.com,63PRWZu2M2e,sralesse942,+56 2 7835 5408,3505050,0,,,,7
Emilia Arguello Montaño,emilia1000632@tourket.com,5Z09rRDiqtgSRP,,+56 2 0525 6881,18223061,1992,,,,8
,Ernestobarraza502@viajes.cl,INGtwz9MZX,ermeba875,+56 2 6059 5508,14042825,,Nocturno,Banmédica,Full time,6
Leticia Muñiz Villanueva,,,Leticiavillanueva572,+56 2 0853 2580,16155457,20573,,,,K
Sta. Alejandro Vázquez Paredes,sta.7659466@edubus.cal,4YdQ1R7wsLKlOCq,stalvápa993,+56 2 6862 7195,27451601,11328,,,,1
Leonor Vanegas Duran,levadu330@marmol.com,,Leonorduran442,+56 9 8536 8650,11600909,2061,,,,9
Ana Luisa Meza Santillán,anlumesa385@outluc.com,RzsQhUB2N,ana5877179,+56 9 6754 6802,22124764,0,,,,7
Eva Lemus Carranza,Evacarranza419@viajes.cl,TRmJ4303abymm,,+56 2 7613 2942,15119234,,Nocturno,Consalud,Full time,3
Sta. Dolores Deleón Colón,sta.8353426@wass.com,PzHU5U289xwVCSlh,sta.6683383,,,2705,,,,
Guadalupe Chávez Garica,,WvDnBtNAxS9,guadalupe3643604,+56 2 1575 0017,23522043,13783,,,,1
Teresa Montalvo Rivera,temori623@tourket.com,LK4CtA6JYBhvl39,temori782,+56 2 6700 4182,18716367,357,,,,6
Daniela Frías Ramos,Danielaramos196@viajesanma.com,,dafrra470,+56 9 9171 1991,6394319,5008,,,,3
Teresa Alemán Zúñiga,,K2RnK0g0nwgBbiZ,teresa6284141,+56 2 0852 9601,22463486,469,,,,2
Salvador Valle Amaya,savaam408@wass.com,fuDjDlOM1MlBu,salvador5026336,+56 2 1462 3377,13802250,4316,,,,1
Ana Luisa Barraza Henríquez,anlubahe592@viajes.cl,YtVMd1ikA0,anlubahe699,,1913440,,Diurno,Banmédica,Part time,7
Sr. Raúl Carrion Gurule,Sr.gurule806@wass.com,,srracagu524,+56 2 5151 2018,20880807,4816,,,,9
Santiago Niño Sisneros,sanisi981@outluc.com,9OZ2LlwibIX,Santiagosisneros930,+56 9 3303 2502,23984517,6453,,,,7
Esteban Aguirre Vigil,Estebanvigil908@tourket.com,UWMw6haP,esagvi235,+56 2 2583 3891,3354252,0,,,,6
Irene Romo Quintana,Irenequintana176@viajes.cl,lPp8ZNP7vCSt,irroqu907,+56 9 8057 8874,23833937,,,Colmena,Part time,5
Ramiro Colunga Manzanares,ramiro8561965@viajes.cl,37HKScgcUnyQoa,Ramiromanzanares827,+56 2 8484 3712,25277761,,Diurno,Más vida,Full time,K
Mónica Navarrete Guzmán,mónagu274@viajes.cl,ZPo3NdSVSBpnb,mónagu115,+56 9 5909 1248,11158144,,,Colmena,Full time,4
Blanca Zúñiga Gracia,blanca6823666@viajesanma.com,sSpV877S4Nj5TKLY,blzúgr127,+56 9 7870 3992,3773914,9895,,,,6
Conchita Corrales Santiago,,cE68j5Ar1YrJ3W,Conchitasantiago523,+56 2 7156 8033,8169717,,Diurno,Consalud,Part time,5
Lilia Almanza Castillo,lilia8931915@viajes.cl,zAcCv9O6WCkn92k,Liliacastillo579,+56 9 9565 1220,4950197,,Nocturno,Más vida,Part time,8
Sr. Federico Araña Arguello,srfearar146@outluc.com,fWq6GOnQtZTKYd,Sr.arguello323,+56 2 9044 2710,3720150,23343,,,,2
Ester Aponte Mares,Estermares578@viajes.cl,s57vRk3f5N,esapma695,+56 2 6514 6286,7356158,,Nocturno,Más vida,Part time,2
Cristian Echevarría Suárez,Cristiansuárez831@viajesanma.com,Knv03GHDYH9,crecsu680,+56 9 5984 1217,17505068,26164,,,,K
Sra. Salvador Duarte Romo,,3yyEiE2f9RWq,srsaduro114,+56 9 2128 4319,20722616,,Diurno,Colmena,,5
Berta Mejía Angulo,bemean765@wass.com,Ygyv7UYOq01,berta6855889,+56 9 2668 8520,11866169,9520,,,,9
Graciela Cuellar Gollum,graciela1787859@tourket.com,PvV2CnLJjXF34fP,grcugo121,+56 2 8234 0344,-15785754,24039,,,,1
Sancho Villalpando Caraballo,sancho6368448@outluc.com,v75DGzODySQU2mv,sancho4350320,+56 9 5973 9978,26211119,6288,,,,9
Benjamín Padilla Vázquez,benjamín9121501@edubus.cal,9h25k6zMBbdV,benjamín6006986,+56 2 9215 7381,3836198,16340,,,,8
Horacio Duarte Ortega,hoduor430@marmol.com,uB9aGcqt,hoduor704,+56 9 1691 5165,3601361,-574,,,,3
Claudia Ortiz Bermúdez,Claudiabermúdez356@viajes.cl,M2O0IuFh,Claudiabermúdez608,+56 9 7146 6863,25305983,,Nocturno,Fonasa,Full time,4
Ana María Ayala Duran,anmaaydu522@viajes.cl,xGk8h8xNO7HoHr,anmaaydu726,+56 9 4919 8159,6706893,,Nocturno,Banmédica,Part time,9
Magdalena Galván Tamayo,magata187@marmol.com,,magata106,+56 9 3227 7945,19583369,0,,,,9
Rocio Salas Flores,rocio8701276@tourket.com,,rosafl192,+56 2 1649 1339,18040173,2478,,,,3
