nombre,run,0,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
"Ramiro Ayala Correa",16532544,3,,,u7irjEg7p,+56-9-0506-2356,7890,70812,,542014,2025-03-14,,
,0,10,,Maríamoya,5KpX72ieDPBU,"+56 9 2189 8335",7794,70336,"Salida con Amigos",,2025-04-14,,9
"Patricio Hidalgo Collado",8546676,3,,patricio783,,"+56 2 8938 3699",2071,70191,,542134,2025-03-21,,
"Mercedes Alicea Ayala",21598373,10,,,AbDuWijGh4xb,"+56 2 5782 8935",8847,61279,"Salida con Amigos",,2025/05/17,,
"Mercedes Alicea Ayala",21598373,10,,mercedes574,,,8847,61279,"Salida con Amigos",542182,,86000,2
"César Zayas Burgos",11999010,6,,Césarburgos,DSnsM0sD,,,69201,,542191,,328000,2
"Carlota Rocha Agosto",6281654,10,,Carlotaagosto,,+56-9-5673-5004,505,,"Cena de Trabajo",,2025-09-20,-1260000,9
,28658356,10,,sergio656,4UanmYeao4x1Vm,"+56 9 3676 1718",7858,69198,"Cena de Trabajo",542379,2025-07-14,,
"Lorena Carrion Varela",0,6,,lorena8807,haXouFI4d25,"+56 9 0744 3416",5945,64825,,542466,,,7
"Marcos Delrío Gaona",6163899,7,,marcos301,,,345,70592,Aniversario,542501,2025/07/12,,
"Ernesto Terrazas Cano",15364904,10,,erteca,WRWdwoxWEm0lg0KK,"+56 2 3328 5120",,63746,Aniversario,,2025/04/09,192000,
"Sta. José Eduardo Montañez Fonseca",15228351,2,,Sta.fonseca,wqzkMrM9wCN9,,,70001,,542648,,-456000,6
"Mariano Tejada Razo",20579260,10,,,znQGIcUW9P,"+56 2 0344 4807",1949,68804,"Salida con Amigos",542681,,854000,
"Pablo Saldivar Correa",8488975,10,,pasaco,aq64l09Ut0VXk,"+56 2 7005 6906",,69481,,,2026-06-21,254000,
"Martín Tovar Trujillo",0,8,,matotr,7Ffc3MELhV3QgT,,6116,,,543094,2025-08-10,440000,5
"Raquel Acosta Toledo",20411338,6,,,dqVwt2OQQoSF0l,,3124,67106,Vacaciones,,,3096000,9
,20523287,7,,,pPLFMb349mrcYV,,6287,70274,Vacaciones,543117,,1393000,7
"Sta. Rocio Franco Preciado",0,10,,sta.5223,8Zmet8YCL6IOr,"+56 9 0067 4304",,65467,,543198,2025/07/14,3640000,
,13638182,2,,Ernestoarredondo,,,1019,62642,"Cena de Trabajo",543327,,504000,3
"Sr. Pedro Tafoya Angulo",7127261,3,,sr.4222,OFbkmkK4PlBTd,"+56 9 8688 8947",6268,,,543464,,3101000,
"Lucia Barrientos Nieves",6270268,10,,lubani,Y1cHmGlVPG1Yu8,"+56 9 2991 8288",2360,,Aniversario,,2025-01-13,,3
,0,5,,irene1466,,,2078,63735,Aniversario,543496,2025/01/04,-1072000,8
,5329459,6,,elvira6944,QcIo7N3B,+56-9-4151-4288,1645,61183,,543642,,-732000,
,729128,10,,,2dznBSPTlo,"+56 2 6903 8597",3290,67280,"Salida con Familia",543683,,,9
"Marcos Zamudio Moya",7973731,3,,,J382S8pZvWECkYe,"+56 9 8861 3070",5517,64724,"Cena de Trabajo",,2025-12-06,,
"Mariana Nieves Chacón",13447297,10,,,0wg4xUKh9erG,"+56 9 4144 0328",4916,66470,"Salida con Familia",,,748000,4
"Claudia Navarro Caldera",8406616,10,,clnaca,U0Sqt64tNzr8ue,,,70282,Aniversario,544035,2025/08/30,99000,
,0,9,,emcoto,i7NVVaMBvRCr29R,"+56 2 8287 8156",543,,"Salida con Amigos",,2026-05-11,375000,5
"Joaquín Escobar Valadez",607980,6,,joesva,,+56-9-3830-3008,,69463,"Cena de Trabajo",544348,2025-01-04,,
,477889,10,,barale,HahUY728hMDIwK,"+56 2 6075 2033",2284,61746,Aniversario,544410,2025-01-21,,
"Barbara Rael León",477889,8,,,HahUY728hMDIwK,"+56 2 6075 2033",2284,61746,Aniversario,544413,,,
"Ricardo Ulloa Matías",0,10,,riulma,oJre6LR7O,,1054,63482,"Cena de Trabajo",,2026-05-10,171000,
"Ana María Barajas Ávalos",0,4,,Anaávalos,Nyw3aPrlSGm,"+56 9 6955 2310",,62096,"Salida con Familia",,,1180000,10
,6421634,1,,,ScF8y3rWX,"+56 9 7433 0428",8478,70768,Aniversario,,2026-01-24,,9
"Anita Padrón Ruiz",0,2,,Anitaruiz,oRzsTvBAa5iA3d,,3663,,Vacaciones,544903,2025/01/04,,2
"Ana María Bonilla Zúñiga",0,9,,,p7e3tYcAmULBc,+56-9-6903-0045,6021,70099,,544940,2025-09-16,420000,
"Sra. Bernardo Nevárez Mojica",0,10,,srbenemo,2J7TfxLd,"+56 2 3406 2416",2540,,Aniversario,545084,2026-05-14,903000,
"Carolina Acuña Arroyo",10827112,4,,carolina5048,oGY4J1zIBt6r,"+56 9 6428 3233",266,69775,"Salida con Amigos",,,,
"Alfredo Parra Granados",9124446,2,,,m4nhGvFBjAwUR9M,"+56 2 4248 9581",5599,67747,,545496,2025-11-07,,
"Sta. Diego Miranda Huerta",22439598,10,,stdimihu,,"+56 2 0417 2708",9647,71443,Vacaciones,,2025-05-12,104000,
"Hernán Saucedo Canales",17203840,9,,,,"+56 2 3401 2905",3824,65746,,545821,2026-08-30,812000,
"Sra. Adán Lemus Gollum",16714056,4,,sradlego,awW1w2hozzsT3395,,3476,70172,,545850,,,3
,22255490,10,,,,"+56 2 8393 3626",5686,68512,"Salida con Amigos",,2025-01-30,3429000,9
"Hernán Mares Delagarza",0,10,,hemade,isOohePril9XoY,"+56 2 6562 9632",4391,,,545924,,1480000,10
"Elsa Treviño León",0,10,,eltrle,zJ8PoZPjIf0qt,,1399,,"Cena de Trabajo",546034,2025-01-30,2412000,9
"Andrés Sosa Trejo",0,10,,andrés1649,,"+56 9 0419 7956",3383,69638,,546159,2025-12-10,750000,5
"Arturo Pelayo Melgar",10986958,10,,Arturomelgar,,"+56 9 0472 2384",667,,Vacaciones,546324,,-447000,3
"Sta. Mariana Vega Raya",12534752,5,,sta.2876,,+56-2-9681-4326,,,,546541,2025-12-18,2550000,10
"Lorena Ulibarri Almonte",0,10,,lorena8282,,"+56 9 7938 4498",5480,69265,,546589,2025-05-21,-435000,5
"Leticia Rivero Nájera",0,2,,leriná,rr1IXFMH,+56-9-3580-0802,9727,61577,,,2025-01-18,,3
"Norma Méndez Olivo",28215990,2,,,EOvOjPaAUL9J,+56-2-4206-5844,5512,71552,"Cena de Trabajo",,,,3
"Cristobal Zambrano Sosa",0,6,,,,"+56 2 5467 5559",5738,70414,"Cena de Trabajo",546936,2025-01-13,1134000,
,23583229,1,,Rosaliagranado,eSxrM3wc5OGd,"+56 9 9641 7393",2866,71412,,,2025/01/26,,9
"Salvador Aparicio Paz",23108084,10,,Salvadorpaz,,"+56 2 4600 6715",,71351,"Salida con Amigos",,2026-03-05,2262000,6
"Sra. Gregorio Padilla Valles",13885167,2,,srgrpava,,"+56 9 2915 6231",3224,66703,,547493,,680000,
"Sr. Natalia Arteaga Llamas",0,7,,,CDVTW5wK33zsr7X,"+56 9 3887 9376",6960,,Aniversario,547560,2025-01-05,,1
,11305831,5,,,,"+56 9 9954 9328",,66434,"Cena de Trabajo",547667,2025/11/02,1488000,6
"Antonia Cazares Ayala",10801640,10,,,uq8n3pZO,"+56 2 2737 5437",5328,62707,"Salida con Amigos",,2025/06/19,,9
"Marta Zúñiga Juárez",0,10,,Martajuárez,,"+56 2 3162 9106",6767,63810,"Salida con Familia",,,832000,8
,28180936,9,,ispari,wsQUB1h7GBx,+56-9-6057-2042,3974,,"Salida con Familia",547994,,,10
"Homero Ojeda Ávila",0,10,,homero7815,Pm8nV5PPc9Z0Sdm,+56-9-1926-1848,4831,70587,,548016,2026-01-17,308000,
"Antonia Cazares Ayala",10801640,10,,Antoniaayala,,+56-2-2737-5437,5328,62707,,548026,,240000,
"Teodoro Benavídez de Jesús",10688578,8,,Teodorojesús,,+56-2-0417-3365,4490,71002,Aniversario,,,,7
"Rubén Tamez Matos",10081941,4,,rubén9128,,,8232,66107,Aniversario,,2025-09-10,668000,
,0,6,,maricarmen3282,,"+56 2 9836 8397",1496,66302,Aniversario,548524,,644000,4
"Juan Carlos Gallardo Mora",26145070,4,,jucagamo,3qKDO7GxbXisYA,"+56 2 6944 8994",,,"Salida con Familia",,,239000,1
"Ester Tirado Mendoza",0,1,,ester4996,,,5447,,"Salida con Amigos",548645,2025-01-09,-400000,10
"Daniel Tirado Alejandro",28793645,1,,,Du0PEvF8xauscpg,"+56 2 1589 9653",4350,,,548711,2025-11-16,765000,
"Sr. Cristian Bermúdez Delao",9977043,10,,sr.1330,X45mLZyspjJHM,"+56 9 0323 1858",7615,,,548717,,392000,
,1391823,6,,srrodufu,,"+56 2 0885 6400",,,"Salida con Familia",548878,2026-02-14,791000,7
"Sr. Rosa Dávila Carrera",0,4,,srrodáca,okWhX4ksKgULylNz,"+56 2 8373 2245",,67592,"Salida con Amigos",,2025-11-15,2004000,
,13793165,10,,,nPBXr34ZGd,,8262,72206,"Salida con Amigos",548982,2025-03-29,258000,3
"Rafael Caraballo Gallardo",12657234,10,,racaga,2gR7TULQlKZwjLzk,,,62811,Vacaciones,549059,2025-04-26,,9
,8005200,6,,,QHdoSDorj3,,9330,,Vacaciones,549081,2025-01-26,440000,8
,583921,1,,,yueSds32U6TlD0L,+56-9-1793-1318,9563,62174,"Salida con Familia",549103,2025-03-05,,
,14537785,4,,grpelo,lZJO9JmCQPXm,"+56 9 6682 7456",,62326,,549309,2025-02-17,228000,
"Luisa Almaraz Merino",0,10,,lualme,NHJu5a0vu,+56-9-8595-7798,8668,,Vacaciones,549423,,910000,10
"Adela Sarabia Alvarado",0,3,,Adelaalvarado,XrsBSk89Lnz,,2687,70438,,,2025-02-05,1197000,9
"Reina Carranza Olivo",27137015,6,,,,"+56 9 1002 8705",,62260,Vacaciones,549595,2025-01-05,,10
"Benjamín Enríquez Piña",25905105,10,,benjamín9940,,,2615,70987,Aniversario,,2025-03-30,720000,2
"Cristobal Murillo Montez",0,10,,Cristobalmontez,gOXdrpEyfJLx7C0M,"+56 2 7124 9685",735,71511,,549767,,212000,2
"Andrea Ornelas Angulo",0,6,,Andreaangulo,,"+56 2 1393 5003",,72206,,550071,2025/02/01,1064000,8
"Sr. Santiago Méndez Barrios",0,10,,sr.4536,AJe2wcnKOM1,"+56 9 2610 3088",,72016,,550132,2025-12-07,712000,8
,0,10,,pasaza,pYZHpMiL5mIb,,3748,68661,"Cena de Trabajo",550162,2025-02-20,159000,1
,17612433,4,,dorotea5174,YkIuOqZjY0Q2QI,+56-9-3360-1534,,64823,"Cena de Trabajo",550212,,-920000,
"Lourdes Benavides Abrego",0,8,,lourdes2806,,,1720,66621,Vacaciones,550298,2025-12-03,-218000,
"Sr. Carlos Curiel Portillo",0,3,,,RGIkm6dkmL5gAdAQ,"+56 2 0535 7152",160,64453,,550301,2025-05-14,,4
,3321021,10,,srcacupo,,+56-2-0535-7152,160,64453,Aniversario,550304,2025-06-06,,4
,4288224,10,,dacaga,,,4241,62890,Aniversario,550465,2025-11-14,257000,
"Amalia Burgos Hurtado",0,2,,ambuhu,BWh5rp2lZQgmEb,,5471,69730,"Cena de Trabajo",550472,2025/03/28,,
,5262164,10,,soozga,,,3174,63692,"Salida con Amigos",550498,,954000,9
"Sta. Mariano Agosto Ávalos",21235927,10,,,phbHj22DA2v,"+56 2 7801 2152",2882,,"Salida con Familia",550552,2025-02-01,,
"Sergio Ureña Torres",0,2,,sergio353,kvlvc8Dt2EE,"+56 2 5709 3307",,,Vacaciones,550633,2025-08-02,552000,
"Micaela Oquendo Páez",24586073,10,,mioqpá,Pi319U4irhL,,3175,,,550666,2025/07/09,,1
"Micaela Oquendo Páez",24586073,10,,mioqpá,Pi319U4irhL,"+56 9 1905 3605",,,Aniversario,,,141000,1
"Sr. Conchita Cornejo Contreras",13155675,10,,Sr.contreras,,,5674,66685,"Salida con Familia",550854,,1071000,7
"Sra. Eduardo Almanza Pizarro",12721625,8,,sredalpi,KAyScXuqLybK6Hx6,"+56 9 2351 4278",,,,550937,2025-03-20,,8
"Mayte Partida Sanches",8005720,10,,mapasa,,"+56 2 3024 0476",1973,69541,,551122,2025-06-05,,8
"Anita Zamudio Aponte",12270429,7,,anita6070,,+56-9-6141-7562,2264,68300,,551131,,-1488000,
"Cristina Acuña Batista",22195736,10,,cracba,j7y7qYfG49kvKr4,,,66742,"Salida con Amigos",,2026-02-06,363000,3
"Josefina Negrón Fajardo",20961743,10,,,USDEBxxV0,"+56 2 6587 0525",,,"Salida con Amigos",551319,2025-06-28,1675000,5
"Raquel Calderón Fonseca",17543585,10,,racafo,nG7HZtwpVQ6G5pEU,"+56 2 5900 6593",9825,,"Salida con Amigos",,,860000,5
"Sta. David Regalado Olvera",0,4,,,p9FT5oD1X9yN99,"+56 2 4397 1637",1146,65435,,551527,2025-04-09,-1320000,
"Sergio Ureña Torres",12675167,10,,,kvlvc8Dt2EE,"+56 2 5709 3307",9863,66536,Vacaciones,551747,,2512000,
"Sta. María Cristina Baca Romo",12018990,10,,,hdZu58wmSDWET,"+56 2 1786 8670",3334,68883,,551749,2025/02/21,,6
"Ángela Vela Aragón",12138923,10,,Ángelaaragón,,"+56 9 7523 5090",6476,70100,"Salida con Amigos",551796,,190000,
"Concepción Arellano Aponte",24821851,10,,concepción6426,GV2VNkscDlsDP2Xg,"+56 2 2245 8820",3087,69176,,551846,,,6
,19633058,5,,Sr.estrada,MtOroM4P,,9062,62383,,552424,2025-06-17,,4
,19635968,10,,Josefinarobledo,1Fppu7KkGW,"+56 9 6828 0215",,,Vacaciones,552526,2025-12-11,460000,
,19393479,10,,,FcLImU429niLe8Ho,,1159,71046,Vacaciones,552588,2025-04-01,2982000,7
,8005200,6,,Claudiayáñez,QHdoSDorj3,"+56 9 9379 3069",9330,72077,"Cena de Trabajo",,,-147000,
,29290081,10,,fecafe,,"+56 9 5919 4468",5033,65818,"Cena de Trabajo",552625,2025/05/14,,5
"Catalina Nájera Franco",0,8,,,35O0KtnTJ2xkE,"+56 2 6033 6344",4879,,"Salida con Familia",552643,2025-11-01,,9
"César Guzmán Blanco",5765019,10,,cégubl,5MN4Lh3e,"+56 2 1654 9655",2795,69036,,,2025-03-26,,6
"Sr. Adriana Perales Esquibel",26459627,10,,,rNLeOA4aE,"+56 2 4023 7760",2492,,"Cena de Trabajo",,2025/06/27,,2
"Ricardo Delatorre Mascareñas",0,6,,Ricardomascareñas,,"+56 9 2667 8049",,68571,"Cena de Trabajo",,2025-03-27,-1584000,9
"Adán Sanches Lozano",18259580,10,,,,+56-2-9133-5951,6859,65116,"Salida con Familia",553165,2025/12/08,,2
"Rosa Acuña Sáenz",0,7,,roacsá,OiMBtRrAw3eUd6jB,"+56 9 6612 0040",7548,,"Salida con Familia",,,338000,2
,0,8,,,Y9foNq16DEnEh58l,,3249,70801,"Salida con Familia",553375,2025/12/02,224000,4
,4272403,10,,srdamaca,eimpYdCySP5cRt5,,5838,,"Cena de Trabajo",553419,2025-08-25,1086000,6
"Leticia Valencia Loera",18526352,5,,levalo,u8FN6x79u,+56-2-5072-2989,,,Aniversario,,,1800000,9
,5252566,7,,Víctormaya,7Rmac93dAs,"+56 2 6929 0240",,71343,,553590,2025-03-12,,5
"Marcos Mares Casares",0,2,,marcos3023,9O5VcwAy,+56-2-1447-1435,,,"Salida con Amigos",553806,,158000,2
"Timoteo Dueñas Pabón",9632174,10,,Timoteopabón,3rRVs4SeHzBoJfOA,,,,,553955,2025-05-17,684000,4
"Marta Benítez Alarcón",0,2,,Martaalarcón,Bov8gk2OU5Y,"+56 2 0892 5487",1751,65226,Vacaciones,,,,9
,0,8,,sr.4631,PycpKAD4tGeKEyTX,"+56 9 8555 7984",517,70755,Aniversario,554192,,1270000,
"Elena Cotto Orozco",0,9,,elena8190,2KbM4Pg3kPLl,,1768,,Vacaciones,554226,,1290000,10
"Cristina Matos Baca",22154843,10,,,,"+56 2 3861 0924",3125,68382,,554331,2025/05/29,163000,1
"Sr. Armando Solorzano Laboy",16641052,5,,srarsola,2TAlLqhR,,6548,61813,,,2025/02/01,123000,
,16641052,5,,srarsola,2TAlLqhR,"+56 9 8695 8424",6548,61813,,554716,2025-01-31,,
"Luz Pantoja Arellano",0,10,,luz1278,ulEShXnbwRrV30,,244,70029,Aniversario,554782,2026-07-25,,
,924432,10,,sr.4631,PycpKAD4tGeKEyTX,"+56 9 8555 7984",517,62733,Aniversario,554875,2025-05-16,,
,924432,8,,sr.4631,PycpKAD4tGeKEyTX,,,62733,,554884,2025-01-13,2496000,6
"Sofia Escobar Delapaz",0,3,,soesde,HXFa3ypSk,,6756,68223,"Salida con Amigos",554904,,315000,
"Rubén Sanabria Posada",0,10,,rubén6341,oouk1Nk1qrHN5iPU,,6179,65586,"Salida con Amigos",554916,2025/10/05,,7
"César Guzmán Blanco",5765019,10,,cégubl,5MN4Lh3e,"+56 2 1654 9655",,,,555151,2025-01-20,308000,2
"Hernán Sotelo Bañuelos",29218558,10,,hesoba,,"+56 2 3166 2589",1421,68361,,,2026-01-31,252000,6
,29803292,9,,Diegobarajas,,"+56 2 4029 1434",,70680,,555269,2025-06-19,204000,4
,17130861,5,,,5domIG7OJBxujXBo,"+56 9 8969 0186",9455,63511,,,2025-02-11,725000,5
,29811944,7,,,,"+56 9 5262 6919",4614,63271,"Cena de Trabajo",555553,,852000,6
,23419291,4,,Sta.hernández,KQd6WbT8lPVl,,8342,71960,"Cena de Trabajo",555664,2025-03-05,,
"Alfonso Rodríguez Castro",468611,10,,alroca,,"+56 2 6264 3144",,,Aniversario,555789,2025-06-18,,9
"Ramiro Rendón Quintana",0,7,,rarequ,eOn5UW1wL6zUua,"+56 2 4412 7682",,,"Salida con Familia",555850,2025-06-18,978000,
"Sta. Claudio Domínquez Valadez",26473212,3,,sta.1118,,"+56 9 9034 6625",9760,63805,,556039,,,7
,10081941,4,,rubén9128,,"+56 9 9274 2641",8232,,,556163,2026-01-12,558000,2
"Rubén Tamez Matos",0,4,,rubén9128,,"+56 9 9274 2641",8232,66107,Aniversario,,2026-07-24,398000,
"Ramiro Ayala Correa",16532544,3,,,,+56-9-0506-2356,7890,,,556206,2025-06-12,512000,4
"Barbara Lucero Gonzales",0,5,,barbara1730,3h4dAgjwiWPU,,,67693,Vacaciones,556234,,-682000,2
"Gabriel Almanza Benítez",15661113,1,,gaalbe,,+56-9-1455-4588,,62634,"Salida con Familia",556291,2025-02-09,,
,23937176,10,,,DItqC4199,"+56 2 4929 5074",1488,,Vacaciones,556487,,128000,2
"Arturo Vélez Adorno",16332607,10,,Arturoadorno,,"+56 9 0594 8940",254,,Vacaciones,556581,2025-07-25,644000,
"Vicente Villaseñor Ceja",4291583,1,,vivice,mCE8PzIGQXMzmW7l,+56-9-5105-0897,,68386,"Cena de Trabajo",,,,2
"Irene Tapia Urrutia",13461735,7,,irene8534,lGvsc1c1v9IDI,"+56 2 7230 6854",6679,,Vacaciones,556681,,,
"Antonio Matías Baeza",0,10,,antonio6568,,"+56 2 0517 2384",9999,,"Salida con Familia",556729,2026-02-22,784000,7
"Catalina Leiva Estévez",4168258,2,,,,+56-2-5106-8443,,61340,"Salida con Amigos",556817,2025-07-20,1392000,
,27301303,2,,alberto5890,GyKQi5OnMV,"+56 9 8256 2283",7360,62324,,,,576000,3
,11005195,6,,,,"+56 9 9854 3312",120,,"Salida con Amigos",557077,2025-11-06,1480000,5
,544962,10,,,384lq8JLpo,"+56 9 5575 2218",5239,70880,Aniversario,,2025-10-05,432000,3
,28084105,6,,rosalia5283,9W9N42A4tggqUhA,,,71769,,557188,2025-04-07,450000,6
"Diana Saldivar Roybal",26741114,10,,,,+56-9-6364-5867,,71603,"Cena de Trabajo",557196,2025-02-04,,7
"Sra. Olivia Paz Saldivar",0,4,,sra.6196,gb83Ua7Xd1A3BP2e,,6782,,Aniversario,,2025-02-02,2224000,8
"Jacobo Lucio Treviño",16107423,10,,jacobo9649,,"+56 2 6367 2113",2104,71364,"Salida con Familia",,2025-03-08,,8
,20530106,2,,maría3064,,"+56 2 7135 8417",3980,65027,Vacaciones,557478,,880000,
"María Cristina Ávalos Pizarro",0,2,,,4KiW3OKk0IMGUfC,"+56 2 2987 3635",5313,66012,"Cena de Trabajo",,2025-01-04,,5
"Irene Tapia Urrutia",13461735,7,,irene8534,,,6679,,Vacaciones,557665,2025-01-20,1940000,
"Gabriel Almanza Benítez",15661113,1,,,,"+56 9 1455 4588",5287,,"Salida con Familia",557680,2025-01-05,,5
"Elisa Espinal Beltrán",15391657,8,,,iWqmwX35g,"+56 2 3154 1433",4818,,"Salida con Amigos",557755,2026/02/08,,
"Gloria Serrato Velásquez",10988517,10,,gloria3464,pHS6lFol73knk,,8107,70585,,,2025-02-28,372000,4
"María Ojeda Chapa",18951189,10,,,aeXwHI0AbH0Vq,"+56 9 5918 8785",8800,64873,"Salida con Familia",,2025-01-22,505000,
,10333237,10,,sta.8356,,"+56 2 2554 9219",1035,,"Salida con Amigos",558176,2025-01-03,292000,
,28487908,2,,jeagma,Wx1fSlxei7D,,9534,62503,,558392,2025/04/29,440000,
,14633209,9,,sta.2543,,,5062,63412,,558411,2025-01-06,120000,2
,10622797,7,,Josézelaya,,+56-9-2313-4418,3174,,"Cena de Trabajo",558422,2025-02-20,,6
"Armando Malave Urrutia",0,5,,Armandourrutia,prCgkSekC3YxQ6Tf,+56-9-1896-2738,5050,,"Salida con Amigos",558456,,-1710000,
"Lucas Fernández Samaniego",7444408,3,,lufesa,h810wpVgQrM,"+56 2 1067 3787",,,,,2025-02-19,165000,1
"Carlota Padilla Martínez",15526704,6,,Carlotamartínez,,"+56 2 1009 5221",,65336,"Salida con Familia",558611,2026-03-22,,
"Andrés Quintanilla Romero",0,10,,Andrésromero,,"+56 9 9194 4124",,68322,"Salida con Familia",558618,,351000,3
"Sr. Ángela Ortiz Montalvo",4244658,10,,,MTD6Fb4mKOW,"+56 9 1847 9616",9922,,"Cena de Trabajo",558677,,,9
"Lorenzo Collazo Rosales",0,9,,lorenzo3262,ru4C1g1qGWx,+56-9-2387-6161,,,"Cena de Trabajo",558791,2025/02/18,792000,
"Salvador Guajardo Villanueva",0,10,,saguvi,eICOwZEQ2eq0,"+56 9 6223 9171",990,64954,,558868,2025-01-17,,3
"Guadalupe Castro Centeno",2310759,10,,Guadalupecenteno,2jWJu8VsFP3fATD,,,65698,Aniversario,559213,,450000,9
