nombre,run,0,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Miguel Ángel Valladares Niño",18875216,10,,,lHbmAZ9v7FjzgzbS,"+56 9 6779 4809",Diurno,Banmédica,"Full time",544547,,2025-09-29,1460000,5,"No disponible",,"Mollet del Vallés","San Cristróbal de la Laguna",2026-11-08,2026-11-10,49,3154,292000,"VRZ (Croacia)",,,{},,"{""San Sebastián"",Elche,""Castellón de la Plana"",""Alcalá de Henares""}"
"Ester Delao Miranda",27647892,3,,,oNqpYaA1Ro,"+56 9 8577 7250",Diurno,Colmena,"Full time",544582,71553,2025/01/01,1430000,10,"No disponible",77702,Manresa,"El Puerto de Santa María",2025/01/02,,64,1451,143000,"Deutsche Bahn (DB)",,"{""Asientos reclinables"",TV,Wifi,Calefacción}",,,{}
"Dolores Meraz Aguilera",14424730,2,,Doloresaguilera,Vbyz5Aehf2Z44,"+56 9 1296 1998",Diurno,Colmena,"Part time",544709,62629,,-474000,6,,23596,"Cornellá de Llobregat",Vitoria,2025-05-24,2025-05-24,41,1334,79000,Chevallier,,"{Comida,TV,""Aire acondicionado""}",,,{}
"Rosalia Villaseñor Madrid",0,7,,rovima,nD62QTdr2VTt69,"+56 9 9130 2923",Diurno,Banmédica,"Part time",,64732,2025/03/26,,10,"No disponible",24607,"San Sebastían de los Reyes","Santa Cruz de Tenerife",2025/07/02,2025/07/03,83,2457,173000,Qantas,,{},"{Rivas-Vaciamadrid,""El Puerto de Santa María"",Lorca}","Primera clase",{}
"Rodrigo Brito Samaniego",7320740,1,,,ytlLhYWQ0MIeTb,"+56 9 6165 6311",Diurno,,"Full time",545107,70833,2026-04-25,1830000,10,"No disponible",56334,Benidorm,Irún,2026-05-21,,44,2299,183000,"Primera Plus",Cama,"{Wifi,Baño,""Aire acondicionado""}",{},,
,12433175,7,,Sra.ornelas,,"+56 9 0687 6420",Diurno,Consalud,"Full time",545177,68909,2026-05-17,1240000,8,"No disponible",,Majadahonda,Guadalajara,2026-10-01,2026-10-01,44,1279,155000,"El Rápido Internacional",Cama,,{},,{}
"Andrés Domínquez Zaragoza",8540280,3,,,zNLU23ElWf,"+56 9 0043 5813",,Fonasa,"Part time",545355,68788,2025-05-21,,,"No disponible",59559,Albacete,Burgos,2026-11-28,2026-11-28,62,762,36000,"Air France",,{},"{""Ciudad Real""}","Clase económica",{}
,25461292,8,,srdavech,yZ129dCeKpjk,"+56 9 1624 3541",Nocturno,"Más vida",,545690,67319,2025/08/24,351000,,"No disponible",67034,"Santa Cruz de Tenerife",Elda,,2025/09/21,21,2163,117000,"CD (República Checa)",,"{Wifi,Baño,""Asientos reclinables"",""Aire acondicionado"",TV}",{},,{}
"Timoteo Alarcón Montenegro",2343389,3,,tialmo,8UACbI4Tje,"+56 2 2550 2528",Diurno,,"Part time",546439,70541,2025-02-13,,9,"No disponible",3948,Manresa,"Sanlúcar de Barrameda",2025-07-21,2025-07-23,82,4228,258000,WestJet,,,"{Gerona,""Mollet del Vallés"",Viladecans,Benalmádena}",,{}
"Sara Malave Venegas",0,10,,sara6521,sX01xo2KxaFFQ3m,"+56 2 3343 1495",Nocturno,Fonasa,"Full time",546901,69171,2025-04-18,92000,1,"No disponible",22797,,Estepona,2026-07-26,2026-07-26,53,1144,92000,"LATAM Airlines",,{},{},"Clase económica",{}
"Esteban Segura Salazar",0,3,,Estebansalazar,wE6DFz9qrMCRnVZ,"+56 9 6711 0601",Nocturno,Consalud,"Part time",546905,71851,,1460000,,"No disponible",29569,León,OVIEDO!!!,2025-02-04,2025-02-04,32,1333,146000,"BDZ (Bulgaria)",,"{Baño,Wifi,Comida}",{},,{}
"Norma Franco Téllez",20681627,9,,,g93klybSQU5rEZc4,"+56 2 4741 3121",Diurno,"Más vida","Full time",547024,63090,,,,"No disponible",49969,parla#,GERONA!!!,2026-11-04,2026-11-05,50,1917,157000,BoltBus,Cama,"{""Asientos reclinables"",Baño,Calefacción}",{},,{}
"Sr. Alfonso Montes Rodrígez",0,6,,Sr.rodrígez,oSEVbGQW16hPqpC,"+56 9 6904 6958",,Banmédica,"Part time",547326,61612,2025/01/12,390000,6,"No disponible",22523,"Santa Coloma de Gramanet","El Puerto de Santa María",2026/01/26,2026/01/26,,,65000,Socibus,Cama,"{""Asientos reclinables"",TV,Agua}",{},,{}
"Sta. Raúl Alcaraz Navarrete",8361953,8,,sta.8270,0EWEaG3Z3fmjHD,"+56 9 7696 5543",Diurno,Banmédica,"Full time",,69606,2025/11/28,-438000,6,"No disponible",41190,Linares,Almería,2026/03/25,2026/03/25,46,1139,,FlixBus,Cama,"{Calefacción,Agua,Baño}",{},,
"Óscar Vela Cerda",0,8,,Óscarcerda,5Gr6Ykg9oz,,Diurno,Consalud,"Part time",547658,70161,2025-01-04,171000,1,"No disponible",11448,Madrid,"LA LíNEA DE LA CONCEPCIóN!!!",2025-01-17,,27,3215,171000,Italo,,"{""Asientos reclinables"",Calefacción,Baño,Agua,Wifi,Comida}",,,"{""El Ejido""}"
,29619747,5,,garaal,8UAuq0JIIw,"+56 9 1066 5413",Diurno,Consalud,"Full time",,67724,2026-03-13,760000,2,"No disponible",95372,"collado villalba#",Calahorra,2026-11-03,2026-11-05,37,3810,,,,"{Baño,""Asientos reclinables"",Wifi,Comida,Agua,""Aire acondicionado"",Calefacción}",{},,"{""San Fernando""}"
"César Arredondo Valverde",2038251,1,,Césarvalverde,x1PVBtlp9Lcfm,+56-2-0196-9646,,Banmédica,"Part time",548062,63425,2026-01-04,300000,6,"No disponible",59951,"cerdañola del vallés#",Granollers,2026-02-26,,49,3422,50000,Monbus,Cama,"{Comida,Baño,TV}",{},,
,24238695,7,,Raúlestévez,8wFZxHYfX4,"+56 2 6132 9929",Diurno,Fonasa,"Part time",548114,71163,2025-01-01,364000,,,8881,Madrid,"Dos Hermanas",,2025-09-30,41,3864,52000,"Primera Plus",Cama,"{""Aire acondicionado"",""Asientos reclinables"",Baño}",{},,{}
"Luis Cordero Escobedo",2621110,7,,lucoes,yYlCNPL6XYd,+56-9-2465-8061,Diurno,Fonasa,"Full time",548393,69186,2025-03-28,,10,"No disponible",,huelva#,Rubí,,2025-05-05,,2418,131000,Renfe,,"{TV,Wifi,""Aire acondicionado"",Comida,Agua}",{},,{}
"Ana María Vaca Patiño",4858183,8,,Anapatiño,,"+56 2 5596 2391",Diurno,Banmédica,"Part time",,66206,2025-09-07,122000,2,"No disponible",21991,"Dos Hermanas",Alcoy,2026-10-25,2026-10-25,30,,61000,FlixBus,Normal,"{TV,Calefacción,""Asientos reclinables""}",{},,
"Barbara Carrion Aparicio",0,3,,Barbaraaparicio,NTwBGHo7bZ,"+56 2 7962 7979",Diurno,Fonasa,"Full time",548789,68471,2025-09-18,-376000,,,90056,,Tarrasa,2026-04-14,2026-04-14,49,583,94000,"EME Bus",Semi-cama,"{""Asientos reclinables"",TV,""Aire acondicionado""}",{},,{}
"Gabriela Rael Alcaraz",29619747,5,,garaal,8UAuq0JIIw,"+56 9 1066 5413",Diurno,Consalud,"Full time",,66783,2026-06-20,396000,6,"No disponible",42938,Pontevedra,Estepona,2026-07-24,2026-07-26,38,4172,66000,,,"{Comida,Calefacción,""Asientos reclinables""}",{},,
"Guadalupe Perales Olivera",6674009,9,,guadalupe1869,CDs2qj6q,,Diurno,,"Full time",549139,67213,2025-10-30,124000,2,"No disponible",,Majadahonda,"Molina de Segura",2026-04-21,2026-04-22,91,1978,62000,"Turkish Airlines",,{},"{Tarrasa,Algeciras}","Clase ejecutiva",{}
"Ana Luisa Tamez Ortega",19522942,2,,Anaortega,fh2Dtz3PZb5msLd,"+56 9 3106 6061",Nocturno,,"Part time",549227,64693,2025-08-08,-1336000,,"No disponible",9130,Elche,"Palma de Mallorca",2025-09-04,,34,2112,167000,Greyhound,Cama,"{Agua,TV,Comida}",{},,{}
"Diana Padrón Rosario",26208213,10,,Dianarosario,,+56-2-1766-3007,Diurno,"Más vida","Part time",549757,70329,2025-01-07,114000,1,"No disponible",1663,"El Prat de LLobregat",,2025-03-18,,9,1588,,"SBB (Suiza)",,"{""Aire acondicionado"",Wifi,Calefacción,Agua}",{},,{}
"Magdalena Lira Treviño",10301962,1,,magdalena1756,h25xOaK9q1TtPNB,"+56 9 3005 1484",Diurno,Fonasa,,,64490,2025-09-03,725000,5,"No disponible",95311,,,2026-09-05,2026-09-05,39,521,145000,Damas,Semi-cama,"{""Aire acondicionado"",TV,Comida}",{},,{}
"Rebeca Olmos Arriaga",3301990,4,,rebeca5625,ukfJX74JS,"+56 2 0357 7145",Nocturno,"Más vida","Full time",549957,70059,2026-04-09,2547000,,"No disponible",3936,"Santa Cruz de Tenerife","ALCALá DE HENARES!!!",2026-11-24,2026-11-25,,2258,,"Deutsche Bahn (DB)",,"{""Aire acondicionado"",Wifi,""Asientos reclinables"",Baño,TV}",{},,"{Algeciras,Móstoles}"
"Roberto Maestas Vanegas",25806283,3,,Robertovanegas,K6c5OWQzshQJQQ4U,,Diurno,Colmena,"Full time",550318,67889,2025-02-18,570000,3,"No disponible",9930,"santa coloma de gramanet#",Gerona,2025-08-05,2025-08-06,18,2033,,"ÖBB (Austria)",,,{},,"{Sagunto,Reus,""Cornellá de Llobregat""}"
"Florencia Gamez Arias",3134790,4,,florencia5166,Kae3fvvvJvOFnIn4,"+56 9 4133 5545",Nocturno,,"Part time",550359,64238,2025-01-31,-650000,10,"No disponible",42585,"Pozuelo de Alarcón","Santa Lucía de Tirajana",2026-07-13,2026-07-13,,,65000,,,{},{},"Clase económica",{}
"María José Santillán Meza",4954408,1,,Maríameza,EdsZw4iFOITyM,+56-9-1060-5970,Nocturno,Consalud,"Part time",550709,68018,,354000,,"No disponible",22232,León,"Cornellá de Llobregat",2025-10-24,2025-10-24,31,864,177000,,Cama,"{""Asientos reclinables"",Calefacción,Agua}",,,{}
"Emilio Agosto Almaraz",8922208,10,,emagal,3ueavFH3j,"+56 2 4121 8821",Nocturno,Banmédica,"Part time",550771,62230,2025-01-02,,3,,42505,Calahorra,,2025-01-04,2025-01-04,34,1102,73000,Damas,Cama,"{Comida,TV,Wifi}",{},,{}
"Ana Abrego Ulloa",2966786,1,,ana938,DFOXJ7tAelQNWdKL,+56-2-3084-2388,Diurno,Consalud,"Part time",550923,66919,2025-08-25,,2,"No disponible",,Parla,Cartagena,,2026-02-07,29,2166,288000,,,"{""Aire acondicionado"",Wifi,""Asientos reclinables"",Baño,Comida}",{},,"{Toledo,Alcobendas}"
"Natalia Longoria Escobedo",13973123,10,,naloes,,+56-9-4965-0733,Nocturno,"Más vida","Full time",551089,64882,2025-01-13,456000,8,"No disponible",84189,"El Ejido",Cartagena,2026-10-18,,33,2728,57000,ADO,Cama,"{Calefacción,Baño,Agua}",{},,
"Luz Acosta Sotelo",5524939,3,,,Wha2GpFwrpJ,"+56 2 4792 7138",Nocturno,Colmena,"Full time",551533,64966,2026-04-09,-476000,7,"No disponible",,Alicante,"Hospitalet de LLobregat",,2026-06-12,,359,68000,"Delta Air Lines",,{},{},"Clase económica",{}
"Gonzalo Lozada Regalado",22422162,2,,golore,wc8QXb57RUoA,"+56 2 7844 5486",Diurno,,"Full time",551789,,2026-03-05,194000,2,"No disponible",22749,Ferrol,Calahorra,2026-05-11,,93,2298,97000,"American Airlines",,{},"{Orense,Granollers,Huelva}","Clase ejecutiva",
"Inés Blanco Barajas",17604743,7,,inés8423,OwBxbQ1r,"+56 9 5987 9777",Diurno,,"Full time",,66746,,460000,5,"No disponible",99709,Vigo,"Dos Hermanas",2025-11-10,2025-11-12,34,2912,,"Buses Nilahue",Cama,"{Comida,Baño,TV}",{},,{}
,25420364,5,,adriana5748,0xnK2r5xfB2,,Diurno,Consalud,"Part time",,70034,2025-02-19,-570000,10,"No disponible",67526,,"Las Palmas de Gran Canaria",2026-10-03,2026-10-03,7,1018,57000,"Turkish Airlines",,{},{Torrevieja},"Clase económica",{}
"Alejandro Vigil Vallejo",23041724,5,,alejandro8631,PNiw6H4efSIO,"+56 2 1171 7579",,"Más vida",,552612,72077,,147000,1,"No disponible",25123,"Pozuelo de Alarcón",,2026-04-08,2026-04-08,100,246,147000,"Ethiopian Airlines",,{},{},"Clase ejecutiva",{}
"Sra. Julio Díaz Arias",25383116,2,,Sra.arias,5LLWoilAU,"+56 9 5470 6818",Nocturno,Banmédica,"Part time",,66211,2026-04-01,,10,"No disponible",65569,Zaragoza,Pontevedra,2026-09-13,,13,1964,113000,,,"{""Aire acondicionado"",TV,Comida,Agua}",{},,"{Vigo,Cáceres,Jaén}"
"Agustín Camarillo Rosas",22651889,4,,Agustínrosas,bhxYKS6ex5d6LeE1,+56-9-3357-2609,,"Más vida","Part time",552662,62584,2025/01/08,428000,4,,91209,"Santiago de Compostela","Las Palmas de Gran Canaria",2026/09/17,2026/09/17,52,1180,107000,"Japan Airlines",,{},,"Clase económica",{}
"Homero Delvalle Agosto",1582677,10,,,69uAu9W7o,"+56 9 0176 0484",Nocturno,Banmédica,"Part time",552702,62603,2025-05-02,606000,6,"No disponible",4092,Ponferrada,,2025-08-03,2025-08-05,,3788,101000,"Condor Bus",Cama,"{Comida,TV,Calefacción}",{},,
"Benjamín Madera Nieto",22592392,10,,benjamín8713,VZpMOy7vZwPWxVAe,"+56 2 5182 6707",Nocturno,Banmédica,"Part time",553135,69678,2025-06-17,-1122000,,"No disponible",68629,Logroño,CóRDOBA!!!,2025-07-21,2025-07-21,,287,187000,Lufthansa,,{},,"Clase económica",{}
"Armando Garica Escamilla",26097433,5,,Armandoescamilla,YsQ1nM1xZf4raLtm,"+56 2 4486 7438",Diurno,Banmédica,"Full time",,64839,,-2352000,7,"No disponible",21763,Rubí,"Talavera de la Reina",2026-11-14,2026-11-16,,4158,336000,,,{},"{""Roquetas de Mar"",Estepona,""Alcalá de Guadaira""}","Primera clase",{}
"Benito Llamas Madrigal",1081785,4,,,zNURTtelR9iA9Z,"+56 2 0770 4738",Nocturno,Banmédica,"Part time",553457,63272,2025-01-01,-978000,,"No disponible",83985,Tarragona,Avilés,2025-10-15,2025-10-16,30,,163000,Megabus,Cama,"{Comida,Calefacción,""Aire acondicionado""}",,,{}
"Sra. Gregorio Olvera Raya",1890551,5,,,XieM64CSdSt4,+56-9-4797-0227,Nocturno,"Más vida","Full time",,68267,2025/07/28,164000,1,"No disponible",88054,rivas-vaciamadrid#,,2026/01/31,2026/01/31,,158,164000,"All Nippon Airways (ANA)",,{},{},"Clase económica",{}
,25433367,10,,viviqu,G6hwL5nPl,"+56 9 2420 7521",Nocturno,Consalud,"Part time",554800,61591,2026-06-06,-1168000,8,,,Elda,Ávila,2026-10-11,2026-10-12,43,1920,146000,Avanza,Cama,"{Comida,""Aire acondicionado"",""Asientos reclinables""}",{},,
"Alfonso Toledo Valenzuela",2560093,2,,altova,1zgDDk2p,,Nocturno,"Más vida","Full time",555581,69638,2025-04-03,1107000,9,"No disponible",59094,Gandía,,2026-08-11,2026-08-13,36,2941,,,Cama,"{TV,""Asientos reclinables"",Baño}",{},,{}
"Gloria Bonilla Oquendo",15160537,10,,gloria1956,cSWJU2Z28,"+56 2 8105 3143",Nocturno,Banmédica,,555905,70644,2025-08-17,-1900000,10,"No disponible",20487,Lorca,,2026-03-11,2026-03-13,,3201,190000,"PKP (Polonia)",,"{Comida,Wifi,Calefacción,""Aire acondicionado"",Agua,TV}",{},,{Córdoba}
"Sta. Norma Miramontes Ruiz",24441036,10,,stnomiru,,"+56 9 8882 1013",Nocturno,Fonasa,"Part time",556133,,2025-01-10,1020000,10,"No disponible",8105,torremolinos#,ZAMORA!!!,2025-02-18,,28,2743,102000,"VRZ (Croacia)",,"{Wifi,Agua,""Aire acondicionado"",Comida,Baño}",{},,{}
,0,6,,javier4399,fJUBI6GMOoHVN,"+56 9 6718 2374",Nocturno,Banmédica,"Full time",556425,68827,,-931000,7,"No disponible",75003,"molina de segura#",Calahorra,2026-11-27,2026-11-28,96,2852,133000,AVE,,,{},,{}
,11865308,4,,luisa9700,8wWry6oRblO1,"+56 9 5485 1436",Diurno,,"Full time",556428,62400,2025-04-22,560000,4,"No disponible",29216,Coslada,"JEREZ DE LA FRONTERA!!!",2025-05-03,2025-05-04,52,,,JetBlue,,{},"{""Torrejón de Ardoz""}","Clase ejecutiva",{}
"Sta. Adela Casillas Arteaga",23267777,5,,sta.5522,T4IxQCitwm7,"+56 9 7036 5557",Nocturno,Colmena,"Full time",,65958,2025-06-30,936000,,"No disponible",11760,Gecho,,2026-02-15,2026-02-16,47,2825,156000,Socibus,Cama,"{Comida,Agua,""Aire acondicionado""}",{},,
"Esteban Villagómez Godoy",1412359,8,,Estebangodoy,7Gc9lV5B6aKPmFb,"+56 9 7340 9232",Diurno,Consalud,,556834,62885,,175000,1,"No disponible",57015,"Molina de Segura",FUENLABRADA!!!,2025-01-04,2025-01-06,76,3179,175000,,,"{Comida,Wifi,""Aire acondicionado"",Baño,TV,""Asientos reclinables""}",{},,{}
"Sta. Jaime Ojeda Ortiz",806936,10,,sta.9648,L71X3xSG08e,,Nocturno,Colmena,"Part time",556893,70310,2025/02/23,707000,,"No disponible",92180,Telde,"Molina de Segura",2025/04/10,2025/04/12,47,4301,,Socibus,Cama,"{Agua,Calefacción,Comida}",{},,
,4935377,4,,,7B31ez1qVe14tfi,"+56 9 7129 8981",,Colmena,"Full time",557209,64959,2025-01-26,2550000,10,"No disponible",78368,Ávila,"Talavera de la Reina",2025-01-31,2025-02-02,50,4192,255000,"CFR (Rumania)",,,{},,"{Majadahonda,Coslada,""San Sebastián"",Telde}"
